"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"道隆","","「いってくる」","",""
0,464,"","","背後の建物に向けて声を掛ける。","",""
0,448,"","","一人暮らしなのは知れ渡ってるので、千歳さん以外の人に\n見られたらおかしく思われるだろうけど、何も言わないのも\n気が引けた。","一人暮らしなのは知れ渡ってるので、千歳さん以外の人に見られたらおかしく思われるだろうけど、何も言わないのも気が引けた。","一人暮らしなのは知れ渡ってるので、千歳さん以外の人に見られたらおかしく思われるだろうけど、何も言わないのも気が引けた。"
0,448,"汐音","","「誰かいるの？」","",""
0,448,"","","そして案の定、汐音が聞いてくる。","",""
0,448,"千歳","","「挨拶が癖になっちゃうと、誰も居なくても言っちゃうのよ。\n汐音も心当たりあるんじゃない？」","「挨拶が癖になっちゃうと、誰も居なくても言っちゃうのよ。汐音も心当たりあるんじゃない？」","「挨拶が癖になっちゃうと、誰も居なくても言っちゃうのよ。汐音も心当たりあるんじゃない？」"
0,448,"汐音","","「あ、そうだね。みんな出かけてるって分かってるのに、帰る\n時についついただいまって言っちゃうもん」","「あ、そうだね。みんな出かけてるって分かってるのに、帰る時についついただいまって言っちゃうもん」","「あ、そうだね。みんな出かけてるって分かってるのに、帰る時についついただいまって言っちゃうもん」"
0,448,"道隆","","「俺もそんな感じ」","",""
0,448,"千歳","","「二人が授業受けてる間に、少し掃除しておいてあげるから、\n遅れないうちに行ってきなさい」","「二人が授業受けてる間に、少し掃除しておいてあげるから、遅れないうちに行ってきなさい」","「二人が授業受けてる間に、少し掃除しておいてあげるから、遅れないうちに行ってきなさい」"
0,448,"","","そう言って少し含みのある頬笑みをした。","",""
0,448,"","","桜花の事は千歳さんに任せるとしよう。","",""
0,448,"道隆","","「よろしくお願いします」","",""
0,464,"","","校門で自転車を降りて、駐輪場に行く。","",""
0,448,"","","学年ごとに使う場所が区切られており、昨日の利用登録に\n基づいて、それぞれ指定の番号が振られている。","学年ごとに使う場所が区切られており、昨日の利用登録に基づいて、それぞれ指定の番号が振られている。","学年ごとに使う場所が区切られており、昨日の利用登録に基づいて、それぞれ指定の番号が振られている。"
0,448,"","","ちゃんと自分の所に置いている限り、盗まれた場合も誰の物か\n記録として判断出来る。","ちゃんと自分の所に置いている限り、盗まれた場合も誰の物か記録として判断出来る。","ちゃんと自分の所に置いている限り、盗まれた場合も誰の物か記録として判断出来る。"
0,448,"","","その場合は、学園側から盗難届も出して貰える形になっている。","",""
0,448,"汐音","","「お待たせ」","",""
0,448,"","","離れた女子の駐輪場に自転車を置いて、汐音がやってくる。","",""
0,448,"","","今日入学式を迎える一年生の駐輪場はガラガラだ。","",""
0,448,"","","俺たち二年や三年の駐輪場は、割り振られたばかりの新しい\n置き場を探す生徒で、少し混雑していた。","俺たち二年や三年の駐輪場は、割り振られたばかりの新しい置き場を探す生徒で、少し混雑していた。","俺たち二年や三年の駐輪場は、割り振られたばかりの新しい置き場を探す生徒で、少し混雑していた。"
0,448,"汐音","","「あ……おはようございます」","",""
0,448,"雫","","「おはよう」","",""
0,448,"道隆","","「おはようございます」","",""
0,448,"","","汐音につられて頭を下げる。","",""
0,448,"","","……生徒会長だ。","",""
0,448,"","","昨日の件があったから、少し気まずい……。","",""
0,448,"","","……が、当然ながら俺の内心の動揺に気づいた様子もなく、\n生徒会長は通り過ぎていく。","……が、当然ながら俺の内心の動揺に気づいた様子もなく、生徒会長は通り過ぎていく。","……が、当然ながら俺の内心の動揺に気づいた様子もなく、生徒会長は通り過ぎていく。"
0,448,"道隆","","「……ほ」","",""
0,448,"雫","","「あら……あなた」","",""
0,448,"道隆","","「は、はいっ？」","",""
0,448,"","","先輩が足を止めている。","",""
0,448,"","","俺の事を覗きこむように、じろじろと見ている。","",""
0,448,"道隆","","「あ、あの……何か……」","",""
0,448,"雫","","「ごめんなさい。どこかで会った事があるような気がしたの\nだけれど、私の勘違いのようでした」","「ごめんなさい。どこかで会った事があるような気がしたのだけれど、私の勘違いのようでした」","「ごめんなさい。どこかで会った事があるような気がしたのだけれど、私の勘違いのようでした」"
0,448,"道隆","","「いや、別に……良くある事ですし」","",""
0,448,"","","多分昨日の件で顔を見たのだろうけど、覚えてなかったようだ。","",""
0,448,"","","……あんな一瞬でじっくりと覚えられても困るけど。","",""
0,448,"雫","","「では」","",""
0,448,"","","先輩は優雅な物腰で一礼すると、背をまっすぐ伸ばしたまま\n歩いて行った。","先輩は優雅な物腰で一礼すると、背をまっすぐ伸ばしたまま歩いて行った。","先輩は優雅な物腰で一礼すると、背をまっすぐ伸ばしたまま歩いて行った。"
0,448,"汐音","","「生徒会長さんって、ぴしーっとしてて見た目綺麗だよね～。\nわたしだったら肩こっちゃうよ」","「生徒会長さんって、ぴしーっとしてて見た目綺麗だよね～。わたしだったら肩こっちゃうよ」","「生徒会長さんって、ぴしーっとしてて見た目綺麗だよね～。わたしだったら肩こっちゃうよ」"
0,448,"道隆","","「俺もだ」","",""
0,448,"","","ここに居たという事は、彼女も自転車通学なのだろう。","",""
0,448,"","","背筋がまっすぐ伸びた生徒会長は歩き姿も様になっている。\nそんな彼女が自転車通学している光景を想像してみると、\n似合っているようなおかしいような、不思議な感じだった。","背筋がまっすぐ伸びた生徒会長は歩き姿も様になっている。そんな彼女が自転車通学している光景を想像してみると、似合っているようなおかしいような、不思議な感じだった。","背筋がまっすぐ伸びた生徒会長は歩き姿も様になっている。そんな彼女が自転車通学している光景を想像してみると、似合っているようなおかしいような、不思議な感じだった。"
0,464,"","","教室に入ると半分くらいの生徒が既に来ていた。","",""
0,448,"汐音","","「それじゃまた後でね」","",""
0,448,"道隆","","「ああ」","",""
0,448,"","","汐音と別れて席に着く。","",""
0,448,"道隆","","「よ、おはよう」","",""
0,448,"修平","","「……ん」","",""
0,448,"","","机に突っ伏してた頭を持ち上げて、一言返してまた寝始める。","",""
0,448,"麗奈","","「おはよう。あなた物好きね」","",""
0,448,"道隆","","「そうか？　別にそうは思わないけど」","",""
0,448,"","","わざわざ赤城修平に挨拶した事だろう。","",""
0,448,"","","それを言うなら聞こえるのもお構いなしの麗奈も、物怖じ\nしない変わり者だ。","それを言うなら聞こえるのもお構いなしの麗奈も、物怖じしない変わり者だ。","それを言うなら聞こえるのもお構いなしの麗奈も、物怖じしない変わり者だ。"
0,448,"恋","","「おはようございます。あ、まだチャイム前なので席に戻ら\nなくて結構ですよ」","「おはようございます。あ、まだチャイム前なので席に戻らなくて結構ですよ」","「おはようございます。あ、まだチャイム前なので席に戻らなくて結構ですよ」"
0,448,"","","予鈴より先に来た先生は、手に出席簿と小さな箱を持っていた。","",""
0,448,"","","新品のチョークをおろして黒板に置く姿は、新学期の始まりに\n相応しくもある。","新品のチョークをおろして黒板に置く姿は、新学期の始まりに相応しくもある。","新品のチョークをおろして黒板に置く姿は、新学期の始まりに相応しくもある。"
0,448,"恋","","「それから今日から授業が始まりますので、日直を決めます。\n男女の出席番号順に頭から行きますね」","「それから今日から授業が始まりますので、日直を決めます。男女の出席番号順に頭から行きますね」","「それから今日から授業が始まりますので、日直を決めます。男女の出席番号順に頭から行きますね」"
0,448,"恋","","「では赤城君と井之上さん、よろしくお願いします。\n……赤城君？」","「では赤城君と井之上さん、よろしくお願いします。……赤城君？」","「では赤城君と井之上さん、よろしくお願いします。……赤城君？」"
0,448,"修平","","「……ん……」","",""
0,448,"","","先生にたしなめられて、目を擦っている。","",""
0,448,"麗奈","","「……まったく。起立。礼」","",""
0,448,"","","見かねた麗奈が号令をかけて、新学期二日目が始まった。","",""
0,448,"恋","","「席には座らなくて構わないわよ。\nこれから入学式になるから、皆で体育館に移動。\n貴重品の責任は自分で持ってね」","「席には座らなくて構わないわよ。これから入学式になるから、皆で体育館に移動。貴重品の責任は自分で持ってね」","「席には座らなくて構わないわよ。これから入学式になるから、皆で体育館に移動。貴重品の責任は自分で持ってね」"
0,448,"","","今日から涼子ちゃんも通うんだよな……。","",""
0,448,"","","今朝はまだ新一年生は来てなかったが、そろそろ登校してきて\nいる頃だろう。","今朝はまだ新一年生は来てなかったが、そろそろ登校してきている頃だろう。","今朝はまだ新一年生は来てなかったが、そろそろ登校してきている頃だろう。"
0,448,"麗奈","","「早く行くわよ」","",""
0,448,"道隆","","「ああ」","",""
0,448,"","","教室を出ようとして、ふと汐音が気にかけていた昨日の先生の\n姿を思い出した。","教室を出ようとして、ふと汐音が気にかけていた昨日の先生の姿を思い出した。","教室を出ようとして、ふと汐音が気にかけていた昨日の先生の姿を思い出した。"
0,448,"","","あの時は何かを失くして探していたようだったけど、今日は\n特に問題ないみたいだ。","あの時は何かを失くして探していたようだったけど、今日は特に問題ないみたいだ。","あの時は何かを失くして探していたようだったけど、今日は特に問題ないみたいだ。"
0,448,"","","昨日は言わなかった貴重品に対する注意が、その理由だったの\nかもしれない。","昨日は言わなかった貴重品に対する注意が、その理由だったのかもしれない。","昨日は言わなかった貴重品に対する注意が、その理由だったのかもしれない。"
0,464,"","","入学式は滞りなく終わった。","",""
0,448,"","","昨日の反省も踏まえてか汐音が話しかけてくる事もなく、\n新入生代表挨拶は、俺の知らない男子生徒が行なっていた。","昨日の反省も踏まえてか汐音が話しかけてくる事もなく、新入生代表挨拶は、俺の知らない男子生徒が行なっていた。","昨日の反省も踏まえてか汐音が話しかけてくる事もなく、新入生代表挨拶は、俺の知らない男子生徒が行なっていた。"
0,464,"汐音","","「行事が二日連続であると、なんか疲れちゃうよね」","",""
0,448,"道隆","","「朝からそんな事ばかり言ってるな」","",""
0,448,"麗奈","","「そもそも、疲れるような事をしていないのでは」","",""
0,448,"汐音","","「そうでもないよー。緊張しながら座ってるのって結構面倒\nだと思わない？」","「そうでもないよー。緊張しながら座ってるのって結構面倒だと思わない？」","「そうでもないよー。緊張しながら座ってるのって結構面倒だと思わない？」"
0,448,"道隆","","「気持ちは分かるけど授業よりは楽だな」","",""
0,448,"麗奈","","「道隆はいっそのこと新入生に混じってもう一回一年生を\nやってきた方がいいんじゃないの？」","「道隆はいっそのこと新入生に混じってもう一回一年生をやってきた方がいいんじゃないの？」","「道隆はいっそのこと新入生に混じってもう一回一年生をやってきた方がいいんじゃないの？」"
0,448,"道隆","","「それもいいな。涼子ちゃんとクラスメートというのも\n楽しそうだ。一緒に体育の授業受けたい」","「それもいいな。涼子ちゃんとクラスメートというのも楽しそうだ。一緒に体育の授業受けたい」","「それもいいな。涼子ちゃんとクラスメートというのも楽しそうだ。一緒に体育の授業受けたい」"
0,448,"汐音","","「うわ……なんか下ごころを感じる発言……」","",""
0,448,"麗奈","","「こんな変質者を余所にやるのは間違いだったわね」","",""
0,448,"道隆","","「あまり言ってると遺憾の意を表明するぞ、お前ら」","",""
0,448,"麗奈","","「ともかくあなた達、今日から上級生なんだからあまり恥ず\nかしくないようにしなさいよ」","「ともかくあなた達、今日から上級生なんだからあまり恥ずかしくないようにしなさいよ」","「ともかくあなた達、今日から上級生なんだからあまり恥ずかしくないようにしなさいよ」"
0,448,"道隆","","「しっかし上級生と言われてもそんな実感もないぞ」","",""
0,448,"汐音","","「後輩の子に『先輩』なんて言われたら、ちょっと変わるかも」","",""
0,448,"道隆","","「部活でもやってない限り、呼ばれる機会なんて少ないだろう\nしな」","「部活でもやってない限り、呼ばれる機会なんて少ないだろうしな」","「部活でもやってない限り、呼ばれる機会なんて少ないだろうしな」"
0,448,"麗奈","","「顔見知りの新入学生くらい居るでしょうに」","",""
0,448,"道隆","","「お前も結局涼子ちゃん頼みじゃねぇかよ」","",""
0,448,"麗奈","","「あの子なんであんなに動物っぽいのかしらね。\n連れ帰りたくなってくるわ」","「あの子なんであんなに動物っぽいのかしらね。連れ帰りたくなってくるわ」","「あの子なんであんなに動物っぽいのかしらね。連れ帰りたくなってくるわ」"
0,448,"汐音","","「妹がいたら涼子ちゃんみたいな子なのかなぁ……。\n一緒のお布団で寝たいよね」","「妹がいたら涼子ちゃんみたいな子なのかなぁ……。一緒のお布団で寝たいよね」","「妹がいたら涼子ちゃんみたいな子なのかなぁ……。一緒のお布団で寝たいよね」"
0,448,"道隆","","「変質者の所在が分かったようだな。後で鏡みてみろ」","",""
0,448,"麗奈","","「ちょっと汐音、桜花荘の鏡歪んでるわよ。\nきちんと大家として備品管理しないとダメじゃない」","「ちょっと汐音、桜花荘の鏡歪んでるわよ。きちんと大家として備品管理しないとダメじゃない」","「ちょっと汐音、桜花荘の鏡歪んでるわよ。きちんと大家として備品管理しないとダメじゃない」"
0,448,"道隆","","「お前らの話してんだよっ」","",""
0,464,"","","雑談しながら教室に戻る。","",""
