scene,idk_1,actual_char,hidden_char,text,text_hira,text_kata
0,464,Ryouko,,"""Senpai, I brought you some water.""",,
0,448,Michitaka,,"""... Oh, thank you. Leave it there.""",,
0,448,Ryouko,,"""Yes... um, senpai...?”",,
0,448,Michitaka,,"""Hmm?""",,
0,448,Ryouko,,"""... I'm sorry. It's nothing.""",,
0,448,,,"With a lowered head, Ryouko-chan returned to her work.",,
0,448,,,I hope I didn't make you feel uncomfortable with...,,
0,448,,,I'll apologize again another time.,,
0,448,,,Half a day has passed since Ouka disappeared.,,
0,448,,,"After that, I spent a sleepless night, and at dawn I dozed\noff for a bit, then jumped up when I thought I heard a\nvoice in my dream.",あれから眠れない夜を過ごし、明け方に少しだけうとうとして夢うつつに声を聞いた気がして飛び起きる。,あれから眠れない夜を過ごし、明け方に少しだけうとうとして夢うつつに声を聞いた気がして飛び起きる。
0,448,,,"... but it was still just an empty room, and I surprised\nmyself with an unexpected loudness of the sigh I let out.",......でもそこはやっぱり誰もいない俺の部屋で、漏らしたため息の予想以上の大きさに、自分自身で驚いた。,......でもそこはやっぱり誰もいない俺の部屋で、漏らしたため息の予想以上の大きさに、自分自身で驚いた。
0,448,Reina,,"""It's a beautiful day, and you're looking so grim.""",,
0,448,Michitaka,,"""... Reina...""",,
0,448,Reina,,"""What's wrong? What's going on?""",,
0,448,Michitaka,,"""When I say it was there, it was there. When I say it\nwasn't there, it wasn't there.""",,
0,448,,,"Ouka is an image that only I can see, and it doesn't exist\nin reality.",,
0,448,,,"So from others point of view, you may just be letting\nyourself in on a fantasy.",だから他者から見れば自分の妄想に入れ込んでるだけなのかもしれない。,だから他者から見れば自分の妄想に入れ込んでるだけなのかもしれない。
0,448,,,But that's just what other people say.,,
0,448,,,"I've seen it, talked to it, said goodbye to it, and it's real to\nme.",,
0,448,Reina,,"""...""",,
0,448,,,-Bam-,,
0,448,Michitaka,,"""Whoa!?""",,
0,448,,,Reina brings her hands together in front of my face.,,
0,448,,,"The sound echoed through the store, and not only the\nother customers but even Ryouko-chan was looking at\nus simultaneously.",店内に響き渡った音に、他の客だけじゃなく涼子ちゃんまで一斉にこっちを見ている。,店内に響き渡った音に、他の客だけじゃなく涼子ちゃんまで一斉にこっちを見ている。
0,448,Reina,,"""Don't be a blabbermouth forever. What are you doing\nhere today?""",「いつまでもボケてるんじゃないの。今日は何をしにきたの？」,「いつまでもボケてるんじゃないの。今日は何をしにきたの？」
