"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","瞼の裏に、日の光を感じた。","",""
0,448,"","","カーテンを開けっぱなしにしていただろうか。","",""
0,448,"","","もう朝になっているのが分かっているのに、まどろみの中で\n眠りについていたいと本能が[めざめ,1]覚醒を拒否している。","もう朝になっているのが分かっているのに、まどろみの中で眠りについていたいと本能がめざめを拒否している。","もう朝になっているのが分かっているのに、まどろみの中で眠りについていたいと本能が覚醒を拒否している。"
0,448,"","","桜花荘に引っ越してきてから色々な事があった。","",""
0,448,"","","今日は休日だ。\nもう少し寝ていたとしてもバチは当たらないだろう。","今日は休日だ。もう少し寝ていたとしてもバチは当たらないだろう。","今日は休日だ。もう少し寝ていたとしてもバチは当たらないだろう。"
0,448,"桜花","","「…………ん……」","",""
0,448,"","","吐息が聞こえた。\nそれだけで誰の物か分かる。桜花だ。","吐息が聞こえた。それだけで誰の物か分かる。桜花だ。","吐息が聞こえた。それだけで誰の物か分かる。桜花だ。"
0,448,"","","桜花と恋人関係になってから、少し時間が過ぎた。","",""
0,448,"","","これまで共に過ごしてきた桜花だ。\n関係が新しくなっても、これまでと同じ日常の延長みたいに\n感じられている。","これまで共に過ごしてきた桜花だ。関係が新しくなっても、これまでと同じ日常の延長みたいに感じられている。","これまで共に過ごしてきた桜花だ。関係が新しくなっても、これまでと同じ日常の延長みたいに感じられている。"
0,448,"","","でも、まだ恋人らしい過ごし方はしていなかった。","",""
0,448,"","","この前デートに行こうと誘っていたのだから、今日はそれを\n実行に移してみるのも良いかもしれない。","この前デートに行こうと誘っていたのだから、今日はそれを実行に移してみるのも良いかもしれない。","この前デートに行こうと誘っていたのだから、今日はそれを実行に移してみるのも良いかもしれない。"
0,456,"桜花","","「やあ、おはよう」","",""
0,456,"","","目を開けると、今思い描いていた顔が視界いっぱいに広がって\nいた。","目を開けると、今思い描いていた顔が視界いっぱいに広がっていた。","目を開けると、今思い描いていた顔が視界いっぱいに広がっていた。"
0,456,"","","いつもの少しぶっきらぼうな挨拶。そこに僅かに照れの混じる\n笑みが加わっただけで、普段より可愛く見えてしまうのは、俺\nが正常な男子だからだろう。","いつもの少しぶっきらぼうな挨拶。そこに僅かに照れの混じる笑みが加わっただけで、普段より可愛く見えてしまうのは、俺が正常な男子だからだろう。","いつもの少しぶっきらぼうな挨拶。そこに僅かに照れの混じる笑みが加わっただけで、普段より可愛く見えてしまうのは、俺が正常な男子だからだろう。"
0,456,"道隆","","「……おはよう」","",""
0,456,"","","覗きこむ桜花を見上げたまま、やっと返事をした。","",""
0,456,"道隆","","「何やってるんだ？」","",""
0,456,"桜花","","「道隆を見ていた」","",""
0,456,"道隆","","「……夜中ずっと？」","",""
0,456,"桜花","","「うん」","",""
0,456,"","","桜花は臆面なく頷く。","",""
0,456,"道隆","","「……面白いもんじゃないだろ」","",""
0,456,"桜花","","「そうでもなかった。色々と興味深い事を言っていたしね」","",""
0,456,"道隆","","「興味……？」","",""
0,456,"","","そもそも今起きたばかりだ。\nなんか話してただろうか。","そもそも今起きたばかりだ。なんか話してただろうか。","そもそも今起きたばかりだ。なんか話してただろうか。"
0,456,"桜花","","「あそこまで想われているとなると、少々照れくさくなるね」","",""
0,456,"","","桜花の笑みを見て、意識が急速に覚醒に向かう。","",""
0,456,"道隆","","「ちょっと待てっ！」","",""
0,464,"","","勢いよく体を起こす。\n桜花はそれよりも早く離れていた。","勢いよく体を起こす。桜花はそれよりも早く離れていた。","勢いよく体を起こす。桜花はそれよりも早く離れていた。"
0,448,"道隆","","「俺、寝言で何か言ってたか？」","",""
0,448,"桜花","","「大した意味はないよ。気にしないでいい」","",""
0,448,"道隆","","「……なぜ目をそらす」","",""
0,448,"桜花","","「……あんな事を言われた後では、直視できないじゃないか」","",""
0,448,"道隆","","「だから何言ったか教えろよっ」","",""
0,448,"桜花","","「…………」","",""
0,448,"","","ぴしっ！","",""
0,448,"","","桜花が指先で俺の鼻をはじく。","",""
0,448,"桜花","","「教えて欲しかったら、道隆がどんな夢を見ていたかを先に\n話すんだ。そこに手がかりがあると思う」","「教えて欲しかったら、道隆がどんな夢を見ていたかを先に話すんだ。そこに手がかりがあると思う」","「教えて欲しかったら、道隆がどんな夢を見ていたかを先に話すんだ。そこに手がかりがあると思う」"
0,448,"道隆","","「……夢……ねぇ……」","",""
0,448,"","","というか、覚えてない。","",""
0,448,"","","寝ている間には何か見てた気がするのだが、目を開けた時の\n桜花の顔に全て吹っ飛んでしまった。","寝ている間には何か見てた気がするのだが、目を開けた時の桜花の顔に全て吹っ飛んでしまった。","寝ている間には何か見てた気がするのだが、目を開けた時の桜花の顔に全て吹っ飛んでしまった。"
0,448,"道隆","","「うう～～ん……」","",""
0,448,"","","だとしても俺だけ恥ずかしい事を聞かれてるというのは嫌だ。\n何とかして思い出したい。","だとしても俺だけ恥ずかしい事を聞かれてるというのは嫌だ。何とかして思い出したい。","だとしても俺だけ恥ずかしい事を聞かれてるというのは嫌だ。何とかして思い出したい。"
0,448,"道隆","","「うううう～～～～～んん……」","",""
0,448,"","","だがいくら頭をひねっても出てこない。","",""
0,448,"","","確かに見ていたはずなのに、映像が記憶として残る前に霧散\nしてしまっていた。","確かに見ていたはずなのに、映像が記憶として残る前に霧散してしまっていた。","確かに見ていたはずなのに、映像が記憶として残る前に霧散してしまっていた。"
0,448,"桜花","","「くっくっく」","",""
0,448,"道隆","","「んん？」","",""
0,448,"","","みると、桜花が意地の悪い顔で笑っている。","",""
0,448,"桜花","","「ごめんごめん、そこまで真剣に考え込むとは思わなかった。\nちょっとした悪戯のつもりだったんだ」","「ごめんごめん、そこまで真剣に考え込むとは思わなかった。ちょっとした悪戯のつもりだったんだ」","「ごめんごめん、そこまで真剣に考え込むとは思わなかった。ちょっとした悪戯のつもりだったんだ」"
0,448,"道隆","","「……ったく、なんだよ……真剣に考えちまった」","",""
0,448,"桜花","","「特に気にせず流すかと思ったのだけれどね。\n道隆は変に真面目な所があるから」","「特に気にせず流すかと思ったのだけれどね。道隆は変に真面目な所があるから」","「特に気にせず流すかと思ったのだけれどね。道隆は変に真面目な所があるから」"
0,448,"道隆","","「うるせー、悪かったな」","",""
0,448,"桜花","","「そこは悪くないよ。むしろ感謝している」","",""
0,448,"","","声が、近づく。","",""
0,448,"","","桜花は一歩俺に歩み寄ると、手を伸ばした。","",""
0,448,"道隆","","「――――――」","",""
0,448,"","","軽く、唇が重ねられた。","",""
0,448,"","","柔らかい感触と、微かにこぼれる吐息が唇を撫でていく。","",""
0,448,"","","触れ合うだけの口づけをして桜花はまた一歩距離を取る。\n人差し指を、自分の唇の前に立てた。","触れ合うだけの口づけをして桜花はまた一歩距離を取る。人差し指を、自分の唇の前に立てた。","触れ合うだけの口づけをして桜花はまた一歩距離を取る。人差し指を、自分の唇の前に立てた。"
0,448,"桜花","","「寝言で言っていたのはボクの名前だ。\n道隆が目覚めるまで、これを我慢するのが大変だった」","「寝言で言っていたのはボクの名前だ。道隆が目覚めるまで、これを我慢するのが大変だった」","「寝言で言っていたのはボクの名前だ。道隆が目覚めるまで、これを我慢するのが大変だった」"
0,448,"道隆","","「お前なぁ……」","",""
0,448,"桜花","","「……おや？　朝から興奮させるような事をしてしまったかな」","",""
0,448,"","","桜花の視線が下にずれる。","",""
0,448,"","","とっさに自分の股間を抑えた。","",""
0,448,"道隆","","「朝だからだよ！　いきなり変なことすんなよっ。襲うぞっ」","",""
0,448,"桜花","","「朝からは掃除が手間だから困るね。\nそれは夜に回してくれるよう、お願いするよ」","「朝からは掃除が手間だから困るね。それは夜に回してくれるよう、お願いするよ」","「朝からは掃除が手間だから困るね。それは夜に回してくれるよう、お願いするよ」"
0,448,"","","またからかうような、それでいて照れの混じった顔で笑い\n廊下へと姿を消した。","またからかうような、それでいて照れの混じった顔で笑い廊下へと姿を消した。","またからかうような、それでいて照れの混じった顔で笑い廊下へと姿を消した。"
0,448,"道隆","","「……ったく……あいつは……」","",""
0,448,"","","桜花と恋人関係になっても、俺たちの距離は基本的には\n変わっていない。","桜花と恋人関係になっても、俺たちの距離は基本的には変わっていない。","桜花と恋人関係になっても、俺たちの距離は基本的には変わっていない。"
0,448,"","","何か起きた時に相談し、あれこれと知恵を絞りあう。\n飄々とした態度も変わらない。","何か起きた時に相談し、あれこれと知恵を絞りあう。飄々とした態度も変わらない。","何か起きた時に相談し、あれこれと知恵を絞りあう。飄々とした態度も変わらない。"
0,448,"","","けれど一つだけ前と大きく違う部分がある。","",""
0,448,"","","今みたいな接触を桜花がするようになってきた事だった。","",""
0,464,"","","朝食が終わって部屋に戻った。","",""
0,448,"桜花","","「道隆は今日は用事があるのかな」","",""
0,448,"道隆","","「…………えーっと」","",""
0,448,"","","実の所、どう切り出すか迷っていた物があった。","",""
0,448,"桜花","","「予定があるなら構わないよ。\nそちらを優先してくれ」","「予定があるなら構わないよ。そちらを優先してくれ」","「予定があるなら構わないよ。そちらを優先してくれ」"
0,448,"道隆","","「わかった。じゃあお言葉にあまえて」","",""
0,448,"","","改めて桜花に向き直る。","",""
0,448,"道隆","","「せっかくの休みだからどこか遊びに行くか」","",""
0,448,"桜花","","「……？　いや、だから道隆の予定を優先して構わないと\n今言ったつもりだったのだけれど」","「……？　いや、だから道隆の予定を優先して構わないと今言ったつもりだったのだけれど」","「……？　いや、だから道隆の予定を優先して構わないと今言ったつもりだったのだけれど」"
0,448,"道隆","","「だから、お前とどこか行こうかと思ってたんだよ。\nで、先に予定を聞かれたから返事に困った。\nちなみに桜花が言いたかった事はなんなんだ？」","「だから、お前とどこか行こうかと思ってたんだよ。で、先に予定を聞かれたから返事に困った。ちなみに桜花が言いたかった事はなんなんだ？」","「だから、お前とどこか行こうかと思ってたんだよ。で、先に予定を聞かれたから返事に困った。ちなみに桜花が言いたかった事はなんなんだ？」"
0,448,"桜花","","「……さっきの仕返しかな？\n道隆はやっぱりたまに意地悪だ」","「……さっきの仕返しかな？道隆はやっぱりたまに意地悪だ」","「……さっきの仕返しかな？道隆はやっぱりたまに意地悪だ」"
0,448,"桜花","","「同じ事を言おうと思っていたんだ。\nそれに道隆に誘われて断る訳がないじゃないか」","「同じ事を言おうと思っていたんだ。それに道隆に誘われて断る訳がないじゃないか」","「同じ事を言おうと思っていたんだ。それに道隆に誘われて断る訳がないじゃないか」"
0,464,"","","日が昇り、店が開く時間になった。\n桜花が着替えるのを待って、外に出た。","日が昇り、店が開く時間になった。桜花が着替えるのを待って、外に出た。","日が昇り、店が開く時間になった。桜花が着替えるのを待って、外に出た。"
0,448,"桜花","","「道隆」","",""
0,448,"道隆","","「ああ……」","",""
0,448,"","","差し出された手を握る。","",""
0,448,"","","桜花とはこれまで散々手を繋いできた。","",""
