"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","週末の日曜、麗奈は桜花荘に泊まりに来ていた。","",""
0,448,"","","これ自体は特に珍しい事じゃなく、最近良くある事だが――。","",""
0,464,"","","……なぜだか視線が鋭い。","",""
0,448,"","","いつもの事と言えるけれど、先日麗奈の家に行った時から\n更にキツくなった気がする。","いつもの事と言えるけれど、先日麗奈の家に行った時から更にキツくなった気がする。","いつもの事と言えるけれど、先日麗奈の家に行った時から更にキツくなった気がする。"
0,448,"麗奈","","「これ、冷蔵庫に運んで」","",""
0,448,"道隆","","「ああ」","",""
0,448,"","","晩飯の食材が入った袋を渡される。","",""
0,448,"","","強引にいたしてしまった訳ではあるけれど、だからといって\n怒っている訳でもなさそうだ。","強引にいたしてしまった訳ではあるけれど、だからといって怒っている訳でもなさそうだ。","強引にいたしてしまった訳ではあるけれど、だからといって怒っている訳でもなさそうだ。"
0,448,"","","教室でも普段でも変化はないし……。","",""
0,448,"","","ただ、修平にこの話をした時に恐ろしい事を言っていたのが\nちょっと引っ掛かっている。","ただ、修平にこの話をした時に恐ろしい事を言っていたのがちょっと引っ掛かっている。","ただ、修平にこの話をした時に恐ろしい事を言っていたのがちょっと引っ掛かっている。"
0,464,"修平","","「……女の怒りというのは表には出てこない」","",""
0,448,"道隆","","「そうなのか？」","",""
0,448,"修平","","「ああ……うちの妹はすぐ口や態度に出るが、昔本気で\n怒らせた事が一度だけあった」","「ああ……うちの妹はすぐ口や態度に出るが、昔本気で怒らせた事が一度だけあった」","「ああ……うちの妹はすぐ口や態度に出るが、昔本気で怒らせた事が一度だけあった」"
0,448,"道隆","","「……美緒ちゃんを？　何をやらかしたんだ？」","",""
0,448,"修平","","「あいつは背が小さい」","",""
0,448,"道隆","","「ん？　ああ、確かに」","",""
0,448,"","","年齢的な所もあるだろうけど、それでも小柄な方だと思う。","",""
0,448,"修平","","「母親の服を着たがってたから、お前の背じゃ作り直した方が\nいいだろうと言ったら、本気で拗ねちまった」","「母親の服を着たがってたから、お前の背じゃ作り直した方がいいだろうと言ったら、本気で拗ねちまった」","「母親の服を着たがってたから、お前の背じゃ作り直した方がいいだろうと言ったら、本気で拗ねちまった」"
0,448,"道隆","","「……な、なるほど」","",""
0,448,"修平","","「普段と態度が全く変わらないくせに、所々で棘が出る\nのが怖かったな……」","「普段と態度が全く変わらないくせに、所々で棘が出るのが怖かったな……」","「普段と態度が全く変わらないくせに、所々で棘が出るのが怖かったな……」"
0,448,"","","修平がしみじみ言うのが印象的だった。","",""
0,464,"麗奈","","「……どうしたの？　ぼうっとして。\n話聞いてた？」","「……どうしたの？　ぼうっとして。話聞いてた？」","「……どうしたの？　ぼうっとして。話聞いてた？」"
0,448,"道隆","","「冷蔵庫だよな。わかった」","",""
0,448,"麗奈","","「すぐに痛む物はないけど、しっかりしなさいよね」","",""
0,448,"","","袋を手に台所に向かう。","",""
0,448,"","","振りかえると麗奈はやっぱりこっちを見ていた……。","",""
0,448,"","","その後も……。","",""
0,448,"","","食事中も。","",""
0,464,"","","桜花の部屋で遊んでる時も。","",""
0,448,"桜花","","「よしボクの上がりだ」","",""
0,448,"桜花","","「……二人とも集中してないね。\n何かあったのかな」","「……二人とも集中してないね。何かあったのかな」","「……二人とも集中してないね。何かあったのかな」"
0,448,"道隆","","「何もない……大丈夫だ」","",""
0,448,"麗奈","","「ええ、平気よ」","",""
0,448,"桜花","","「そうかい？」","",""
0,464,"","","そして、日が暮れてからも……。","",""
0,464,"","","途中で汐音達がやってきたのもあり、特に色っぽい事にも\nならないまま、晩御飯も食べて寝る時間になった。","途中で汐音達がやってきたのもあり、特に色っぽい事にもならないまま、晩御飯も食べて寝る時間になった。","途中で汐音達がやってきたのもあり、特に色っぽい事にもならないまま、晩御飯も食べて寝る時間になった。"
0,448,"","","俺自身も遊び疲れていたので、布団で横になっている。","",""
0,448,"","","瞼が重い。","",""
0,448,"","","眠りに落ちながら色々な事を考えても、それは夢に繋がるだけ\nの雑念でしかない。","眠りに落ちながら色々な事を考えても、それは夢に繋がるだけの雑念でしかない。","眠りに落ちながら色々な事を考えても、それは夢に繋がるだけの雑念でしかない。"
0,448,"","","――ちゅぱ。","",""
0,448,"道隆","","「…………っ……」","",""
0,448,"","","どこかで湿った音が聞こえた気がした。","",""
0,448,"","","猫が水を舐めるように、ぴちゃぴちゃという音がする。","",""
0,448,"","","同時に下半身に温かさと濡れた感触がある。","",""
0,456,"","","夢遊病のように体を起こし、夢うつつにその光景が飛び込んで\nきた。","夢遊病のように体を起こし、夢うつつにその光景が飛び込んできた。","夢遊病のように体を起こし、夢うつつにその光景が飛び込んできた。"
0,456,"麗奈","","「……ちゅ、ぴちゅ、くちゅ……」","",""
0,456,"","","麗奈は豊満な胸に俺のペニスを挟んだまま、口に咥えている。","",""
0,456,"","","露わにされた胸から体温が直に伝わってくる。\n先端の敏感な所が舐められ、口の中に含まれて舌で刺激を\n与えている。","露わにされた胸から体温が直に伝わってくる。先端の敏感な所が舐められ、口の中に含まれて舌で刺激を与えている。","露わにされた胸から体温が直に伝わってくる。先端の敏感な所が舐められ、口の中に含まれて舌で刺激を与えている。"
0,456,"麗奈","","「ん、ぴちゃ、ぺろ……ちゅ。ちゅぱ、くちゅ……」","",""
0,456,"麗奈","","「……ぴちゃ……ん。じゅぷ、くちゅ……」","",""
0,456,"道隆","","「……っ……」","",""
