"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"汐音","","「はやくはやくー」","",""
0,448,"道隆","","「ああ」","",""
0,448,"","","汐音に急かされるように、歩くのを速めた。","",""
0,448,"","","先日汐音が夜にきた後にデートの約束をした。","",""
0,448,"","","とはいっても二人とも金のない身分だ。近場でどこに行こうと\n相談をした結果、二人の思い出の場所を回ってみる事にした。","とはいっても二人とも金のない身分だ。近場でどこに行こうと相談をした結果、二人の思い出の場所を回ってみる事にした。","とはいっても二人とも金のない身分だ。近場でどこに行こうと相談をした結果、二人の思い出の場所を回ってみる事にした。"
0,448,"","","そんな事になったのも、昔の出来事を強く意識する一件が\nあったからかもしれない。","そんな事になったのも、昔の出来事を強く意識する一件があったからかもしれない。","そんな事になったのも、昔の出来事を強く意識する一件があったからかもしれない。"
0,448,"道隆","","「でも秘密基地なんて、もう残ってないだろうなぁ」","",""
0,448,"汐音","","「それはそれで思い出になるよ」","",""
0,448,"道隆","","「そうだな……」","",""
0,448,"","","子供の頃に作った秘密基地は、ここをもう少し行って森の中に\n入った所にある。","子供の頃に作った秘密基地は、ここをもう少し行って森の中に入った所にある。","子供の頃に作った秘密基地は、ここをもう少し行って森の中に入った所にある。"
0,448,"","","今になってからだと神社の方に行って作った方が近くて何かと\n便利で楽だっただろう。","今になってからだと神社の方に行って作った方が近くて何かと便利で楽だっただろう。","今になってからだと神社の方に行って作った方が近くて何かと便利で楽だっただろう。"
0,448,"","","でも子供時代にそこまで頭も回る訳もなく――結局、苦労して\n完成した秘密基地は、行くのが大変というどうしようもない\n理由で飽きて、放置されてしまった。","でも子供時代にそこまで頭も回る訳もなく――結局、苦労して完成した秘密基地は、行くのが大変というどうしようもない理由で飽きて、放置されてしまった。","でも子供時代にそこまで頭も回る訳もなく――結局、苦労して完成した秘密基地は、行くのが大変というどうしようもない理由で飽きて、放置されてしまった。"
0,448,"","","汐音の言う通り、そんな場所だからこそ今現在の姿を知るのは\n昔埋めたタイムカプセルを掘り出すような高揚があった。","汐音の言う通り、そんな場所だからこそ今現在の姿を知るのは昔埋めたタイムカプセルを掘り出すような高揚があった。","汐音の言う通り、そんな場所だからこそ今現在の姿を知るのは昔埋めたタイムカプセルを掘り出すような高揚があった。"
0,464,"汐音","","「えっと……たしか……」","",""
0,448,"道隆","","「この辺りじゃないか？」","",""
0,448,"汐音","","「あ！　そうだね、……多分」","",""
