"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"道隆","","「……ふぅ……」","",""
0,448,"","","女性陣が出た後の最後に風呂に入って、少しのぼせ気味な体を\n涼んでいた。","女性陣が出た後の最後に風呂に入って、少しのぼせ気味な体を涼んでいた。","女性陣が出た後の最後に風呂に入って、少しのぼせ気味な体を涼んでいた。"
0,448,"","","何で今頃打ち上げと思っていたが、先輩の読みは正しかった。","",""
0,448,"","","皆イベントが欲しかっただけなんだ。","",""
0,448,"","","鍋を囲んだ夕食が始まり、先輩との付き合いの中身などを\n根掘り葉掘りと聞かれるのは、祝福ムードであったために\n嬉しくはあったけど大変だった。","鍋を囲んだ夕食が始まり、先輩との付き合いの中身などを根掘り葉掘りと聞かれるのは、祝福ムードであったために嬉しくはあったけど大変だった。","鍋を囲んだ夕食が始まり、先輩との付き合いの中身などを根掘り葉掘りと聞かれるのは、祝福ムードであったために嬉しくはあったけど大変だった。"
0,448,"桜花","","「先ほどは大変だったね」","",""
0,448,"","","いつの間にか部屋に桜花が苦笑する。","",""
0,448,"道隆","","「汐音達の所に一緒に居たと思ったけど」","",""
0,448,"桜花","","「皆が寝てしまったのでね。暇になったんだ」","",""
0,448,"道隆","","「俺で暇つぶしすんな」","",""
0,448,"桜花","","「まあ、いいじゃないか。なかなか面白い物だったよ」","",""
0,448,"","","俺が風呂に入ってる時の事を、桜花は語りだした。","",""
0,464,"汐音","","「それで先輩、タカちゃんとは普段どんな事をしてるんですか」","",""
0,448,"雫","","「ちょっとぉ、またその話？」","",""
0,448,"汐音","","「これは聞いてないですよー」","",""
0,448,"麗奈","","「汐音もそろそろいい加減にしなさい」","",""
0,448,"汐音","","「えー」","",""
0,448,"","","救いの主が現れたと麗奈の方を見る。","",""
0,448,"麗奈","","「恋人同士がする事といったら限られているでしょ。\nそれを克明に聞かされると、今度はこちらが居心地が悪く\nなるわよ」","「恋人同士がする事といったら限られているでしょ。それを克明に聞かされると、今度はこちらが居心地が悪くなるわよ」","「恋人同士がする事といったら限られているでしょ。それを克明に聞かされると、今度はこちらが居心地が悪くなるわよ」"
0,448,"汐音","","「あ、そ、そっか」","",""
0,448,"雫","","「何を想像してるのよ！　誰もそんなこと話さないわよ」","",""
0,448,"桜花","","「……という事は、しているのだね」","",""
0,448,"汐音","","「――――！！」","",""
0,448,"雫","","「ふ、普通のお付き合い程度の事なら……」","",""
0,448,"","","そう言いながら口元を手で隠す。","",""
0,448,"","","照れ隠しなのだろうと３人は解釈して先を続けた。","",""
0,448,"雫","","「ともあれ、あまり根掘り葉掘り聞かれるのもちょっと……。\n別の話にして欲しいのだけれど」","「ともあれ、あまり根掘り葉掘り聞かれるのもちょっと……。別の話にして欲しいのだけれど」","「ともあれ、あまり根掘り葉掘り聞かれるのもちょっと……。別の話にして欲しいのだけれど」"
0,448,"麗奈","","「じゃあ……道隆のどこが良かったんですか？」","",""
0,448,"雫","","「え？　さあ」","",""
0,448,"汐音","","「即答！？」","",""
0,448,"雫","","「どこと言われても困るわよ。私はそもそも、この手の事を\n深く考えた事もなかったし……」","「どこと言われても困るわよ。私はそもそも、この手の事を深く考えた事もなかったし……」","「どこと言われても困るわよ。私はそもそも、この手の事を深く考えた事もなかったし……」"
0,448,"雫","","「ただ……一緒にいると悪くはないわね。\nこちらの事も一生懸命考えてくれて、何をするにしてもついて\n来てくれるから、安心感があるわ」","「ただ……一緒にいると悪くはないわね。こちらの事も一生懸命考えてくれて、何をするにしてもついて来てくれるから、安心感があるわ」","「ただ……一緒にいると悪くはないわね。こちらの事も一生懸命考えてくれて、何をするにしてもついて来てくれるから、安心感があるわ」"
0,448,"汐音","","「……うん……そうなんです」","",""
0,448,"桜花","","「気持ちは分かるね」","",""
0,448,"","","二人が頷いてる横で、麗奈は渋面を浮かべた。","",""
0,448,"麗奈","","「先輩自身はどうなんです？」","",""
0,448,"雫","","「どう、とは？」","",""
0,448,"麗奈","","「道隆の事が好きなんでしょうか。\nそれとも――」","「道隆の事が好きなんでしょうか。それとも――」","「道隆の事が好きなんでしょうか。それとも――」"
0,448,"雫","","「好きよ」","",""
0,448,"","","即答されて言葉に詰まる。","",""
0,448,"雫","","「そうじゃなかったら付き合ってないもの」","",""
0,448,"","","何を当然とばかりに言われた言葉は、率直な分だけまっすぐに\n届いた。","何を当然とばかりに言われた言葉は、率直な分だけまっすぐに届いた。","何を当然とばかりに言われた言葉は、率直な分だけまっすぐに届いた。"
0,448,"麗奈","","「……ま、それもそうですね」","",""
0,448,"","","麗奈の表情から険が取れる。","",""
0,448,"麗奈","","「あいつ馬鹿ですけど、よろしくお願いします」","",""
0,448,"汐音","","「よろしくお願いしますっ」","",""
0,448,"雫","","「ええ……ってなんだかお姉さんとお母さんを前にしている\nみたいね……」","「ええ……ってなんだかお姉さんとお母さんを前にしているみたいね……」","「ええ……ってなんだかお姉さんとお母さんを前にしているみたいね……」"
