"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","日曜日、この日は朝から桜花と出かけていた。","",""
0,448,"","","背負ったリュックの中には、山登りに使える物が詰め込まれて\nいる。","背負ったリュックの中には、山登りに使える物が詰め込まれている。","背負ったリュックの中には、山登りに使える物が詰め込まれている。"
0,448,"","","それ以外にも食糧に飲み物、タオルなどの入念な供えだ。","",""
0,464,"桜花","","「山の上まで行ってみたい」","",""
0,448,"","","昨日の夜、桜花はそう言った。","",""
0,448,"道隆","","「以前に話に聞いた、鏡石があった所か……」","",""
0,448,"桜花","","「ああ。確かめたい事があるんだ」","",""
0,464,"道隆","","「昨日は聞きそびれたけれど、確かめたい事っていうのは？」","",""
0,448,"桜花","","「この街……いや土地か。\nここにある物の正体を知っておきたい」","「この街……いや土地か。ここにある物の正体を知っておきたい」","「この街……いや土地か。ここにある物の正体を知っておきたい」"
0,448,"道隆","","「正体？」","",""
0,448,"桜花","","「祭具に使われていたという奇妙な道具。\n他人の痕跡を見る道隆の目。それから、他の地域ではいない\nであろう本物の幽霊」","「祭具に使われていたという奇妙な道具。他人の痕跡を見る道隆の目。それから、他の地域ではいないであろう本物の幽霊」","「祭具に使われていたという奇妙な道具。他人の痕跡を見る道隆の目。それから、他の地域ではいないであろう本物の幽霊」"
0,448,"桜花","","「あるいはボク達の耳に入っていないだけで、更に不可思議な\n出来事は発生しているのかもしれない」","「あるいはボク達の耳に入っていないだけで、更に不可思議な出来事は発生しているのかもしれない」","「あるいはボク達の耳に入っていないだけで、更に不可思議な出来事は発生しているのかもしれない」"
0,448,"道隆","","「……可能性はあるな」","",""
0,448,"桜花","","「それらを探る原因……と言う確信はないけれど、社の鏡石も\nそんな不思議な出来事のうちの一つには数えられる」","「それらを探る原因……と言う確信はないけれど、社の鏡石もそんな不思議な出来事のうちの一つには数えられる」","「それらを探る原因……と言う確信はないけれど、社の鏡石もそんな不思議な出来事のうちの一つには数えられる」"
0,448,"桜花","","「今は無くなっているそうだけれど、手がかりの一つだ」","",""
0,448,"道隆","","「何も無いかもしれないけれど、見ておいた方がいいな」","",""
0,448,"桜花","","「行ってみて何も無かったというのは、ゼロではないからね。\n手持ちの不明だった情報が新しく上書きされる意味しかない」","「行ってみて何も無かったというのは、ゼロではないからね。手持ちの不明だった情報が新しく上書きされる意味しかない」","「行ってみて何も無かったというのは、ゼロではないからね。手持ちの不明だった情報が新しく上書きされる意味しかない」"
0,448,"桜花","","「……ただ、かなり深い所まで山を登らなくてはならない。\n地元の人間ですら、数年足を踏み入れた事がなく、途中まで\nしか訪れた事が無いと言っていた」","「……ただ、かなり深い所まで山を登らなくてはならない。地元の人間ですら、数年足を踏み入れた事がなく、途中までしか訪れた事が無いと言っていた」","「……ただ、かなり深い所まで山を登らなくてはならない。地元の人間ですら、数年足を踏み入れた事がなく、途中までしか訪れた事が無いと言っていた」"
0,448,"桜花","","「あそこの神社は山に入れる人間を選別する場所だと言う。\n道の険しさも、人を選んでいた理由だったとボクは思うね」","「あそこの神社は山に入れる人間を選別する場所だと言う。道の険しさも、人を選んでいた理由だったとボクは思うね」","「あそこの神社は山に入れる人間を選別する場所だと言う。道の険しさも、人を選んでいた理由だったとボクは思うね」"
0,448,"道隆","","「なるほどなぁ」","",""
0,464,"桜花","","「麓に別の社を置いて入山規制というのは珍しくはない。\n特に険しい山なら当然の事だ」","「麓に別の社を置いて入山規制というのは珍しくはない。特に険しい山なら当然の事だ」","「麓に別の社を置いて入山規制というのは珍しくはない。特に険しい山なら当然の事だ」"
0,448,"道隆","","「訳も分からず入られた揚句に、迷われても困るしな」","",""
0,448,"桜花","","「そういう意味では、ボク一人で行く手もある。\nむしろ安全という意味ではそっちの方がいい」","「そういう意味では、ボク一人で行く手もある。むしろ安全という意味ではそっちの方がいい」","「そういう意味では、ボク一人で行く手もある。むしろ安全という意味ではそっちの方がいい」"
0,448,"","","そこで桜花は逡巡する。","",""
0,448,"桜花","","「……だが、道隆についてきて欲しいと願うのはボクの\n我がままだ。自分自身の事なのに、何かを知るというのが\n怖くてたまらない」","「……だが、道隆についてきて欲しいと願うのはボクの我がままだ。自分自身の事なのに、何かを知るというのが怖くてたまらない」","「……だが、道隆についてきて欲しいと願うのはボクの我がままだ。自分自身の事なのに、何かを知るというのが怖くてたまらない」"
0,448,"桜花","","「だから支えて欲しいと思っている。\n自分勝手だとは思うが、頼まれてくれないだろうか」","「だから支えて欲しいと思っている。自分勝手だとは思うが、頼まれてくれないだろうか」","「だから支えて欲しいと思っている。自分勝手だとは思うが、頼まれてくれないだろうか」"
0,448,"道隆","","「そんなの今さら言う事じゃねぇって」","",""
0,448,"","","桜花の頭に手を置いた。","",""
0,448,"","","少しだけ乱暴に撫でる。","",""
0,448,"桜花","","「うわわ」","",""
0,448,"道隆","","「お前を一人で行かせたら俺が後悔する。\nそれに、桜花だけじゃもしも目の前に何かのヒントがあった\nとしても見過ごしてしまうだろ」","「お前を一人で行かせたら俺が後悔する。それに、桜花だけじゃもしも目の前に何かのヒントがあったとしても見過ごしてしまうだろ」","「お前を一人で行かせたら俺が後悔する。それに、桜花だけじゃもしも目の前に何かのヒントがあったとしても見過ごしてしまうだろ」"
0,448,"桜花","","「そうだな……誰かの足跡があるかもしれない」","",""
0,448,"道隆","","「桜花が俺にそれを期待するのは当然だ。\n俺だって桜花が推理してくれるのを期待して、これまで\n散々頼みごとをしてきたんだから」","「桜花が俺にそれを期待するのは当然だ。俺だって桜花が推理してくれるのを期待して、これまで散々頼みごとをしてきたんだから」","「桜花が俺にそれを期待するのは当然だ。俺だって桜花が推理してくれるのを期待して、これまで散々頼みごとをしてきたんだから」"
0,448,"道隆","","「期待っていうのは、相手の能力を認めているからだ。\n信用も出来ない、認められない相手なら期待もしない」","「期待っていうのは、相手の能力を認めているからだ。信用も出来ない、認められない相手なら期待もしない」","「期待っていうのは、相手の能力を認めているからだ。信用も出来ない、認められない相手なら期待もしない」"
0,448,"道隆","","「だから桜花が俺に期待して頼んでくれるなら、俺としては\n嬉しいだけだ」","「だから桜花が俺に期待して頼んでくれるなら、俺としては嬉しいだけだ」","「だから桜花が俺に期待して頼んでくれるなら、俺としては嬉しいだけだ」"
0,448,"","","言いたい事を言いきった。","",""
0,448,"","","後は桜花がどう受け取るからだ。","",""
0,448,"桜花","","「……わかった。ありがとう」","",""
0,448,"","","俺の手を掴む。\n顔をあげて、まっすぐ言った。","俺の手を掴む。顔をあげて、まっすぐ言った。","俺の手を掴む。顔をあげて、まっすぐ言った。"
0,448,"桜花","","「改めて頼む。手を貸して欲しい」","",""
0,464,"","","神社から森に入る。","",""
0,448,"","","この辺りはまだ足場も踏み固められている。","",""
0,448,"道隆","","「今はまだいいけど、ろくな地図もないし、そのうち道も\nなくなるから、途中から厳しくなる」","「今はまだいいけど、ろくな地図もないし、そのうち道もなくなるから、途中から厳しくなる」","「今はまだいいけど、ろくな地図もないし、そのうち道もなくなるから、途中から厳しくなる」"
0,448,"桜花","","「もう少し先に進んだあたりからが問題になるね」","",""
0,448,"道隆","","「そっちは場所の目安は？」","",""
0,448,"桜花","","「実の所、さっぱりなんだ。\n何と言っても外に出たのがつい最近だから、経験がない」","「実の所、さっぱりなんだ。何と言っても外に出たのがつい最近だから、経験がない」","「実の所、さっぱりなんだ。何と言っても外に出たのがつい最近だから、経験がない」"
0,448,"桜花","","「でたらめに歩いても問題ないだろうけれど、効率は悪い。\n道隆に頼るしかない状況だ」","「でたらめに歩いても問題ないだろうけれど、効率は悪い。道隆に頼るしかない状況だ」","「でたらめに歩いても問題ないだろうけれど、効率は悪い。道隆に頼るしかない状況だ」"
0,448,"道隆","","「じゃあ、これくらいが頼りか……」","",""
0,448,"","","最近はコンビニで携帯のデータを印刷できるから助かる。","",""
0,448,"","","検索サイトから地図を出して、出来るだけ拡大表示した上で\nプリントをしてきた。","検索サイトから地図を出して、出来るだけ拡大表示した上でプリントをしてきた。","検索サイトから地図を出して、出来るだけ拡大表示した上でプリントをしてきた。"
0,448,"","","詳細とは言えないが、山と神社、街の方向くらいは見えている。","",""
0,448,"","","方角も分かるうちは、山頂目指して行けば迷う事はない。","",""
0,448,"桜花","","「崖の辺りまではすんなりつけると言っていたね。\nそれに賭けるしかない」","「崖の辺りまではすんなりつけると言っていたね。それに賭けるしかない」","「崖の辺りまではすんなりつけると言っていたね。それに賭けるしかない」"
0,448,"","","歩き始めてから、大体２時間が経過した。","",""
0,448,"道隆","","「……はぁ。はぁ……」","",""
0,448,"","","俺が持っていた荷物だが、今は桜花にも手伝って貰っている。","",""
0,448,"","","ただ、改めて森に入って分かったのが、桜花の体力も無限と\nいう訳ではないらしい。","ただ、改めて森に入って分かったのが、桜花の体力も無限という訳ではないらしい。","ただ、改めて森に入って分かったのが、桜花の体力も無限という訳ではないらしい。"
0,448,"","","彼女自身と、身につけてる物に対しては体力の消耗はほとんど\nないようだった。","彼女自身と、身につけてる物に対しては体力の消耗はほとんどないようだった。","彼女自身と、身につけてる物に対しては体力の消耗はほとんどないようだった。"
0,448,"","","しかし、物に干渉すると大きく体力を削られていく。","",""
0,448,"道隆","","（この前のもそれが理由か）","",""
0,448,"","","図らずも、先日桜花自身が説明していた事の裏付けになった。","",""
0,448,"桜花","","「……少しだけ、休憩しようか」","",""
0,448,"道隆","","「だな」","",""
0,448,"","","荷物を降ろして地面に座る。","",""
0,448,"道隆","","「神主さんも頂上付近まで行ったのは昔に一度だけって\n言ってたな」","「神主さんも頂上付近まで行ったのは昔に一度だけって言ってたな」","「神主さんも頂上付近まで行ったのは昔に一度だけって言ってたな」"
0,448,"桜花","","「数年単位で人が入っていない場所では、足元もどのように\nなっているか分からないからね」","「数年単位で人が入っていない場所では、足元もどのようになっているか分からないからね」","「数年単位で人が入っていない場所では、足元もどのようになっているか分からないからね」"
0,448,"桜花","","「荷物は道隆に任せる。\n代わりにボクが先頭に立つよ」","「荷物は道隆に任せる。代わりにボクが先頭に立つよ」","「荷物は道隆に任せる。代わりにボクが先頭に立つよ」"
0,448,"道隆","","「……女の子を先に行かせるって、ちょっと気が引けるけど」","",""
0,448,"道隆","","「それが適材適所だな……分かった」","",""
0,448,"桜花","","「すんなり受け入れてくれてありがたい。\n同時に、女の子扱いもね」","「すんなり受け入れてくれてありがたい。同時に、女の子扱いもね」","「すんなり受け入れてくれてありがたい。同時に、女の子扱いもね」"
0,448,"道隆","","「お前の事、最初に会った時から女としてしか見てなかった\nからなぁ」","「お前の事、最初に会った時から女としてしか見てなかったからなぁ」","「お前の事、最初に会った時から女としてしか見てなかったからなぁ」"
0,448,"","","そう言うと、桜花は少しだけ考え込んだ。","",""
0,448,"桜花","","「……確かにそうだね」","",""
0,448,"道隆","","「だからなんつーか、今さらなんだよな」","",""
0,448,"桜花","","「……なるほどね」","",""
0,448,"桜花","","「さて、行こうか。\n早めに行かないと帰りが辛くなるかもしれない」","「さて、行こうか。早めに行かないと帰りが辛くなるかもしれない」","「さて、行こうか。早めに行かないと帰りが辛くなるかもしれない」"
0,464,"","","山に入ってから、４時間が経過している。","",""
0,448,"","","午前中に入ったのに太陽がお昼を越えている。","",""
0,448,"","","今はまだ良いが、もう少ししたら帰りが夜になってしまう。","",""
0,464,"道隆","","「……こんな所を昔の人達は通っていたっていうのか……？」","",""
0,448,"桜花","","「昔は道もあったんだろうね。\nこんな風にどこへ向かってるとも知らない獣道や、木々の\n隙間のような場所ではなく、きちんとした物が」","「昔は道もあったんだろうね。こんな風にどこへ向かってるとも知らない獣道や、木々の隙間のような場所ではなく、きちんとした物が」","「昔は道もあったんだろうね。こんな風にどこへ向かってるとも知らない獣道や、木々の隙間のような場所ではなく、きちんとした物が」"
0,448,"桜花","","「誰かが通っているなら、もっと楽に通れたはずの場所だ。\n人が行くなら痕跡は必ず残る。そこを歩けば済む」","「誰かが通っているなら、もっと楽に通れたはずの場所だ。人が行くなら痕跡は必ず残る。そこを歩けば済む」","「誰かが通っているなら、もっと楽に通れたはずの場所だ。人が行くなら痕跡は必ず残る。そこを歩けば済む」"
0,448,"桜花","","「多分、次に来た時は半分の時間で済んでると思う」","",""
0,448,"道隆","","「……確かにな」","",""
0,448,"","","足元も見えない繁みの中に入り、時間を掛けながら方角を\n見失わないようにして進んで行く。","足元も見えない繁みの中に入り、時間を掛けながら方角を見失わないようにして進んで行く。","足元も見えない繁みの中に入り、時間を掛けながら方角を見失わないようにして進んで行く。"
0,448,"","","たまに開けた場所に出た時に足を止めて、打ち合わせや確認を\nして地図に印をつける。","たまに開けた場所に出た時に足を止めて、打ち合わせや確認をして地図に印をつける。","たまに開けた場所に出た時に足を止めて、打ち合わせや確認をして地図に印をつける。"
0,448,"","","そんな事を繰り返しているのだから、遅くならない訳がない。","",""
0,448,"桜花","","「でも、もう少しで終わりのはずだ。\nさあ、行こうか」","「でも、もう少しで終わりのはずだ。さあ、行こうか」","「でも、もう少しで終わりのはずだ。さあ、行こうか」"
0,448,"","","再び行軍を開始する。","",""
0,448,"","","そして３０分程歩き――。","",""
0,448,"","","その光景が目に入った。","",""
