"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,472,"道隆","","「……わかった……。\n桜花の望み通りにする」","「……わかった……。桜花の望み通りにする」","「……わかった……。桜花の望み通りにする」"
0,456,"桜花","","「……そう、か。よかった。本当に」","",""
0,456,"","","ぽろぽろと涙を零しながら、桜花は幸せそうに笑った。","",""
0,464,"道隆","","「この馬鹿……っ」","",""
0,448,"","","その体を抱き寄せた。","",""
0,448,"","","桜花は俺の胸に顔を埋めて、泣き続ける。","",""
0,448,"桜花","","「短い間だけれど、よろしく頼む」","",""
0,448,"道隆","","「お前は、本当に……」","",""
0,448,"桜花","","「ふふ、良い女だろう？」","",""
0,448,"道隆","","「俺には勿体なすぎるくらいだ」","",""
0,448,"桜花","","「……一つだけ、お願いだ」","",""
0,448,"","","桜花は口元を寄せると、俺に唇を重ねた。","",""
0,448,"桜花","","「離さないでくれ。\n最後の、その時まで」","「離さないでくれ。最後の、その時まで」","「離さないでくれ。最後の、その時まで」"
0,448,"道隆","","「……ああ」","",""
0,448,"","","元より、そのつもりだった。","",""
0,464,"","","週明けから学園に登校する時も、桜花は俺に寄りそうように\nなっていた。","週明けから学園に登校する時も、桜花は俺に寄りそうようになっていた。","週明けから学園に登校する時も、桜花は俺に寄りそうようになっていた。"
0,464,"","","俺以外には姿を見えなくしたまま、共に授業を受ける。","",""
0,448,"桜花","","「…………」","",""
0,448,"","","真面目に授業を聞いている。","",""
0,448,"","","自分がいなくなる前に、やりたかった事の全てをやるように\n一度は試してみるつもりらしい。","自分がいなくなる前に、やりたかった事の全てをやるように一度は試してみるつもりらしい。","自分がいなくなる前に、やりたかった事の全てをやるように一度は試してみるつもりらしい。"
0,464,"","","体育の授業にはさすがに混じらなかったが、それでも\n間近で俺を見ているのが好きらしかった。","体育の授業にはさすがに混じらなかったが、それでも間近で俺を見ているのが好きらしかった。","体育の授業にはさすがに混じらなかったが、それでも間近で俺を見ているのが好きらしかった。"
0,464,"","","帰りには買い食いをした。","",""
0,448,"","","学園が終わるとすぐに校門で待ち合わせをしている。","",""
0,448,"","","その姿は最初は珍しがられたが、すぐに見慣れたようだった。","",""
0,464,"","","桜花荘での暮らしも、少しだけ変わった。","",""
0,448,"","","桜花は俺の部屋でほぼ全て過ごすようになっていた。","",""
0,448,"","","そしてそれは、どこに行くにも一緒で――。","",""
0,448,"","","消える事を受け入れたからこそ、俺たちは互いに\n繋がりを求めていた。","消える事を受け入れたからこそ、俺たちは互いに繋がりを求めていた。","消える事を受け入れたからこそ、俺たちは互いに繋がりを求めていた。"
0,464,"","","室内から音が響いている。","",""
0,448,"","","紙をめくる音。\n微かなそれは、今にもかき消されそうになっている。","紙をめくる音。微かなそれは、今にもかき消されそうになっている。","紙をめくる音。微かなそれは、今にもかき消されそうになっている。"
0,448,"","","そしてもう一つが、情交の音だった。","",""
0,456,"","","桜花の体の奥底に何度目かの精を放った。","",""
0,456,"桜花","","「……すごく沢山出たね……」","",""
0,456,"道隆","","「まだまだ、全然足りないくらいだ」","",""
0,456,"","","事実、桜花の中に放った後も痛いほどに勃起し続けている。","",""
0,456,"桜花","","「じゃあ、こんな感じでどう……かな？」","",""
0,456,"","","読みかけの本から手を離すと、桜花は腰に力を込める。","",""
0,456,"道隆","","「ん……おお、いい感じ……締めつけてきて気持ちいい」","",""
0,456,"桜花","","「道隆は胸が好きだよね」","",""
0,456,"道隆","","「お前のはいつまでも触ってても飽きない」","",""
0,456,"","","桜花の胸を弄びながら、入れっぱなしのペニスを動かす。","",""
0,456,"","","じゅぷじゅぷと愛液と精液の混じりあった物が、結合部から\n泡となってこぼれおちる。","じゅぷじゅぷと愛液と精液の混じりあった物が、結合部から泡となってこぼれおちる。","じゅぷじゅぷと愛液と精液の混じりあった物が、結合部から泡となってこぼれおちる。"
0,456,"桜花","","「ん、んんっ、あ……っ」","",""
0,456,"道隆","","「だんだん集中できなくなってきたんじゃないのか？」","",""
0,456,"桜花","","「そんな、ことは、まだ……」","",""
0,456,"","","桜花荘にいる時は、一日の大半を繋がって過ごしていた。","",""
0,456,"","","……そうしている間は、桜花は決して消えないと、そんな\nおまじないめいた願望が互いに入っていた。","……そうしている間は、桜花は決して消えないと、そんなおまじないめいた願望が互いに入っていた。","……そうしている間は、桜花は決して消えないと、そんなおまじないめいた願望が互いに入っていた。"
0,456,"桜花","","「まだ、本を読んでいるんだから、もう少し……ん、\n静かに動かして欲しい……んっ」","「まだ、本を読んでいるんだから、もう少し……ん、静かに動かして欲しい……んっ」","「まだ、本を読んでいるんだから、もう少し……ん、静かに動かして欲しい……んっ」"
0,456,"道隆","","「……まだ読むだけの事が出来るか」","",""
0,456,"桜花","","「まだまだ、だね……もう少し激しくされると、んんっ。\n難しい、……かもだけど」","「まだまだ、だね……もう少し激しくされると、んんっ。難しい、……かもだけど」","「まだまだ、だね……もう少し激しくされると、んんっ。難しい、……かもだけど」"
0,456,"道隆","","「わかった。それじゃ……」","",""
0,456,"","","桜花の体を支えている両手に力をいれる。","",""
0,456,"","","動かないように固定して、腰を跳ねあげる。","",""
0,456,"桜花","","「んんぁぁ……っ！」","",""
0,456,"","","不意を突かれたのか、嬌声がこぼれた。","",""
0,456,"","","接合部に手を伸ばし、溢れ出る体液をかき混ぜる。","",""
0,456,"","","ぐちゃぐちゃになった体液はローションの代わりだ。\n桜花の膨れ上がったクリトリスを愛撫して、限界まで\n広げられている秘所の周りを指で触っていく。","ぐちゃぐちゃになった体液はローションの代わりだ。桜花の膨れ上がったクリトリスを愛撫して、限界まで広げられている秘所の周りを指で触っていく。","ぐちゃぐちゃになった体液はローションの代わりだ。桜花の膨れ上がったクリトリスを愛撫して、限界まで広げられている秘所の周りを指で触っていく。"
0,456,"桜花","","「あ――ああっ！！　んっ、ああっ、くっ」","",""
0,456,"","","体が跳ねるたびに膣壁が収縮して動いている。","",""
0,456,"","","襞が絡みついて、さらなる精液の迸りを求めて締めあげる。","",""
0,456,"","","――じゅぷっ、びゅぷっ。","",""
0,456,"","","繋がった辺りから締め付けに押し出された粘液が、卑猥な\n音を立てて溢れだす。","繋がった辺りから締め付けに押し出された粘液が、卑猥な音を立てて溢れだす。","繋がった辺りから締め付けに押し出された粘液が、卑猥な音を立てて溢れだす。"
0,456,"道隆","","「今すごいエッチな音がしたな……」","",""
0,456,"桜花","","「……し、しらない……道隆のせいだ」","",""
0,456,"","","クリトリスを撫でながらも、桜花の体にさらなる快感を\n与えるために、少しずつ揺らしていく。","クリトリスを撫でながらも、桜花の体にさらなる快感を与えるために、少しずつ揺らしていく。","クリトリスを撫でながらも、桜花の体にさらなる快感を与えるために、少しずつ揺らしていく。"
0,456,"桜花","","「……あ……ん、ああっ。くっ、ああっ！」","",""
0,456,"桜花","","「あ、あまり……されると、また……っ！」","",""
0,456,"","","体にぴんと力がこもる。","",""
0,456,"","","そうして、桜花はビクビクと震わせた。","",""
0,456,"桜花","","「んっ、ああぁぁっっ！！！」","",""
0,456,"","","……どうやらまた達してしまったようだ。","",""
0,456,"桜花","","「……はぁ、はぁ……んっ、あ」","",""
0,456,"","","もう何度目の絶頂かも分からない。","",""
0,456,"","","達した後に膣内が精液を求めて締めつけてくるが、桜花の\n膣内で俺の精液が掛かってない場所は無いくらい、中に放出\nしている。","達した後に膣内が精液を求めて締めつけてくるが、桜花の膣内で俺の精液が掛かってない場所は無いくらい、中に放出している。","達した後に膣内が精液を求めて締めつけてくるが、桜花の膣内で俺の精液が掛かってない場所は無いくらい、中に放出している。"
0,456,"桜花","","「掃除……大変になるね……」","",""
0,456,"道隆","","「手伝ってくれるんだろ？」","",""
0,456,"桜花","","「……そうしたいのは山々なんだけれど……」","",""
0,456,"","","艶交じりの声で、それでいてどこか透明な色を持って、桜花は\n言った。","艶交じりの声で、それでいてどこか透明な色を持って、桜花は言った。","艶交じりの声で、それでいてどこか透明な色を持って、桜花は言った。"
0,456,"桜花","","「……そろそろ、終わりみたいだ」","",""
0,456,"道隆","","「………………そっか」","",""
0,456,"","","深く繋がったまま、後ろから抱きしめる。","",""
0,456,"桜花","","「このままでいいのかい？」","",""
0,456,"道隆","","「……離れたく、ないんだ」","",""
0,456,"桜花","","「そっか……奇遇だな、ボクもだ」","",""
0,456,"桜花","","「道隆には沢山愛して貰えた。\n女冥利に尽きるよ」","「道隆には沢山愛して貰えた。女冥利に尽きるよ」","「道隆には沢山愛して貰えた。女冥利に尽きるよ」"
0,456,"道隆","","「…………ああ」","",""
0,456,"桜花","","「これからも、色々な事があると思うけれど、ボクはいつも\n側にいるから」","「これからも、色々な事があると思うけれど、ボクはいつも側にいるから」","「これからも、色々な事があると思うけれど、ボクはいつも側にいるから」"
0,456,"道隆","","「ああ」","",""
0,456,"桜花","","「……次の恋人は、早めに作ってくれると嬉しい。\nその方がきっと安心できるから」","「……次の恋人は、早めに作ってくれると嬉しい。その方がきっと安心できるから」","「……次の恋人は、早めに作ってくれると嬉しい。その方がきっと安心できるから」"
0,456,"道隆","","「…………やっぱり、やり直すか？\n裸のままだと情緒も何もないだろ」","「…………やっぱり、やり直すか？裸のままだと情緒も何もないだろ」","「…………やっぱり、やり直すか？裸のままだと情緒も何もないだろ」"
0,456,"桜花","","「ふふ、そうだね。そうかもしれない……けれど、いいよ」","",""
0,456,"桜花","","「ボクも、離れたくないんだ」","",""
0,448,"","","持っていた本が、落ちる。","",""
0,448,"","","共に過ごしてきた時間が、今終わりを迎えた……。","",""
