"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","――俺と桜花で踏みとどまる。","",""
0,448,"道隆","","「汐音！　先行けっ」","",""
0,448,"","","桜花と並んで汐音の盾になるように位置取る。","",""
0,448,"","","背後の汐音に向けて、早く行くように手を振った。","",""
0,448,"汐音","","「で、でもぉっ」","",""
0,448,"道隆","","「いいから！　早くっ」","",""
0,448,"汐音","","「う――うんっ」","",""
0,448,"","","汐音がじりじりと後ろに下がる。","",""
0,448,"道隆","","「お前も行けっ」","",""
0,448,"","","重ねて背後の奴に声を掛ける。","",""
0,448,"道隆","","「そいつも連れてけ――早くっ」","",""
0,448,"汐音","","「わ、わかったよ……っ」","",""
0,448,"","","走る音が徐々に遠ざかっていく。","",""
0,448,"","","いくら公園の奥とはいえ夜の森の中だ。\n一度離れてしまえば追いつく事は出来ないだろう。","いくら公園の奥とはいえ夜の森の中だ。一度離れてしまえば追いつく事は出来ないだろう。","いくら公園の奥とはいえ夜の森の中だ。一度離れてしまえば追いつく事は出来ないだろう。"
0,448,"桜花","","「ボクが囮になろう。\n道隆が後をつけて後ろから攻撃だ」","「ボクが囮になろう。道隆が後をつけて後ろから攻撃だ」","「ボクが囮になろう。道隆が後をつけて後ろから攻撃だ」"
0,448,"道隆","","「わかった」","",""
0,448,"桜花","","「いくよ」","",""
0,448,"","","掛け声とともに、桜花がまっすぐ突っ込んだ。","",""
0,448,"","","金髪めがけて一直線に。\n合図された俺でさえ、あまりの無謀さに面食らった。","金髪めがけて一直線に。合図された俺でさえ、あまりの無謀さに面食らった。","金髪めがけて一直線に。合図された俺でさえ、あまりの無謀さに面食らった。"
0,448,"","","突っ込まれた側は更に驚いた事だろう。","",""
0,448,"桜花","","「ふふ、遅い遅い」","",""
0,448,"","","連中が桜花に向けて手を伸ばす。","",""
0,448,"","","袴は布地が多く掴みやすい。それにも関わらず、桜花は\n紙一重で交わし、すり抜けるように走り抜けた。","袴は布地が多く掴みやすい。それにも関わらず、桜花は紙一重で交わし、すり抜けるように走り抜けた。","袴は布地が多く掴みやすい。それにも関わらず、桜花は紙一重で交わし、すり抜けるように走り抜けた。"
0,448,"道隆","","「……あいつ」","",""
0,448,"","","すり抜けるようにじゃない。\n完全にすり抜けてやがる。","すり抜けるようにじゃない。完全にすり抜けてやがる。","すり抜けるようにじゃない。完全にすり抜けてやがる。"
0,448,"道隆","","（幽霊は反則だな……）","",""
0,448,"","","桜花が注目を集めている間に、出来るだけ足音を消しながら\n反対方向に移動した。","桜花が注目を集めている間に、出来るだけ足音を消しながら反対方向に移動した。","桜花が注目を集めている間に、出来るだけ足音を消しながら反対方向に移動した。"
0,464,"","","連中の『色』の痕跡を見ながら、森の中を回りこんだ。","",""
0,448,"道隆","","「ふぅぅ……」","",""
0,448,"","","深呼吸して心と体を落ち着かせようと努力する。","",""
0,448,"","","その間にも口から飛び出しそうな程に、心臓が鼓動を打ち\n鳴らしている。","その間にも口から飛び出しそうな程に、心臓が鼓動を打ち鳴らしている。","その間にも口から飛び出しそうな程に、心臓が鼓動を打ち鳴らしている。"
0,448,"","","落ち着こうとしても、全然効果がなかった。","",""
0,448,"道隆","","（……でも……行くか）","",""
0,448,"","","正直、この手の事は慣れていない。\n足はがくがくと細かい震えが走っている。","正直、この手の事は慣れていない。足はがくがくと細かい震えが走っている。","正直、この手の事は慣れていない。足はがくがくと細かい震えが走っている。"
0,448,"","","けれど――今この前の空間。","",""
0,448,"","","夜の暗い森の赤に見える、他人の移動した痕跡と色。\nそれらを見分けて後を追うのは、俺だけが出来る利点だ。","夜の暗い森の赤に見える、他人の移動した痕跡と色。それらを見分けて後を追うのは、俺だけが出来る利点だ。","夜の暗い森の赤に見える、他人の移動した痕跡と色。それらを見分けて後を追うのは、俺だけが出来る利点だ。"
0,448,"","","そして連中はこれを知らない。\n警戒すら出来ない。","そして連中はこれを知らない。警戒すら出来ない。","そして連中はこれを知らない。警戒すら出来ない。"
0,448,"","","相手よりも絶対有利な武器を持っている。","",""
0,448,"","","その事に少しだけ安心をおぼえる。","",""
0,464,"桜花","","「どうした、こっちだよ」","",""
0,448,"","","桜花が相手を挑発する声が聞こえる。","",""
0,448,"","","五人中三人は、桜花を捕まえようと躍起になっているようだ。\n俺の事も探しているのは、残りの二人。","五人中三人は、桜花を捕まえようと躍起になっているようだ。俺の事も探しているのは、残りの二人。","五人中三人は、桜花を捕まえようと躍起になっているようだ。俺の事も探しているのは、残りの二人。"
0,464,"道隆","","（…………よし）","",""
0,448,"","","少し考えて、決めた。\n桜花を追い回してる数を減らそう。","少し考えて、決めた。桜花を追い回してる数を減らそう。","少し考えて、決めた。桜花を追い回してる数を減らそう。"
0,448,"","","見つからないように身をひそめながら、森の中を移動する。","",""
0,448,"","","俺を追いかけてくる奴の痕跡、辿った道筋。\nそれから、桜花を追いかけていった連中の経路。","俺を追いかけてくる奴の痕跡、辿った道筋。それから、桜花を追いかけていった連中の経路。","俺を追いかけてくる奴の痕跡、辿った道筋。それから、桜花を追いかけていった連中の経路。"
0,448,"","","これらがすべて分かる現状、見通しの悪い森は完全に俺の味方だ。","",""
0,464,"","","――いた。","",""
0,448,"","","桜花は相手をおちょくるようにしながら、わざとらしく\n飛んだり跳ねたりしながら森の中を動いている。","桜花は相手をおちょくるようにしながら、わざとらしく飛んだり跳ねたりしながら森の中を動いている。","桜花は相手をおちょくるようにしながら、わざとらしく飛んだり跳ねたりしながら森の中を動いている。"
0,448,"桜花","","「ふふ、うふふふ」","",""
0,448,"","","笑い声が森の中に木霊する。","",""
0,448,"道隆","","（あいつ……）","",""
0,448,"","","少しずつ近づき、耳をすませる。","",""
0,448,"","","\x『や、やべぇよ……』\n『こいつ普通じゃねぇよ』","『や、やべぇよ……』『こいつ普通じゃねぇよ』","『や、やべぇよ……』『こいつ普通じゃねぇよ』"
0,448,"","","……その意見には完全に同意だ。","",""
0,448,"","","……桜花は演技なんだろうけど、心底楽しんでいるように\nしか見えない。","……桜花は演技なんだろうけど、心底楽しんでいるようにしか見えない。","……桜花は演技なんだろうけど、心底楽しんでいるようにしか見えない。"
0,448,"","","なるほど、森の中でこれをやられたら、桜花一人で足止めが\n出来る。","なるほど、森の中でこれをやられたら、桜花一人で足止めが出来る。","なるほど、森の中でこれをやられたら、桜花一人で足止めが出来る。"
0,448,"","","ついでに今のような状況でなら……。","",""
0,448,"","","両手を組んで後ろに回る。\n桜花に気を取られてる男の、後頭部目指して――。","両手を組んで後ろに回る。桜花に気を取られてる男の、後頭部目指して――。","両手を組んで後ろに回る。桜花に気を取られてる男の、後頭部目指して――。"
0,448,"","","振り下ろした。","",""
0,448,"","","頭を押さえてうずくまる。","",""
0,448,"","","一撃で失神とはいかないが、かなりのダメージのはずだ。","",""
0,448,"","","ついでにそのまま前に蹴り飛ばして、地面に倒した。","",""
0,448,"金髪","","「てめぇっ。いつのまに！！」","",""
0,448,"","","こっちに怒りをぶつけてくる。","",""
0,448,"","","それを見て、背後の繁みに飛びこんだ。","",""
0,448,"桜花","","「ふふ、いいタイミングじゃないか」","",""
0,448,"","","いつの間にか桜花が隣を走ってる。\nこちらに笑みを送りながら、親指を立てた。","いつの間にか桜花が隣を走ってる。こちらに笑みを送りながら、親指を立てた。","いつの間にか桜花が隣を走ってる。こちらに笑みを送りながら、親指を立てた。"
0,448,"道隆","","「正面、色が見える。最初に俺を追っていた奴だ」","",""
0,448,"桜花","","「数は？」","",""
0,448,"道隆","","「見えてる限り一人」","",""
0,448,"桜花","","「わかった」","",""
