"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,456,"","","修平の妹なのを知ってか、知らずか。","",""
0,456,"","","公園の入り口にたむろしてる連中の一人が、美緒ちゃんを\n捕まえているのが見えた。","公園の入り口にたむろしてる連中の一人が、美緒ちゃんを捕まえているのが見えた。","公園の入り口にたむろしてる連中の一人が、美緒ちゃんを捕まえているのが見えた。"
0,456,"","","見える範囲で四人。","",""
0,456,"","","事前に連絡してたのか、違う方向に行ってたはずの金髪の男\nまで合流してくる。","事前に連絡してたのか、違う方向に行ってたはずの金髪の男まで合流してくる。","事前に連絡してたのか、違う方向に行ってたはずの金髪の男まで合流してくる。"
0,456,"","","そいつがひきつれてるのも合わせて六人。","",""
0,464,"道隆","","「……あいつ。戻ってきてる」","",""
0,448,"桜花","","「会話が聞こえないな……」","",""
0,448,"道隆","","「どうする？　さっきの作戦続行か？」","",""
0,448,"桜花","","「……いやダメだな。女の子一人抱えていたら道隆の\n逃げられる確率が下がる」","「……いやダメだな。女の子一人抱えていたら道隆の逃げられる確率が下がる」","「……いやダメだな。女の子一人抱えていたら道隆の逃げられる確率が下がる」"
0,448,"道隆","","「……倒すか？　さっきみたく」","",""
0,448,"桜花","","「それも難しいだろう。なんせ数が多すぎる」","",""
0,448,"道隆","","「……くそ……どうしろって言うんだ」","",""
0,456,"","","一人か二人ならさっきのようにやれない事もないだろう。","",""
0,456,"","","しかし、森の中で向こうの視界が無い事と、こっちが一方的に\n見えるアドバンテージがあっても、重労働だった。","しかし、森の中で向こうの視界が無い事と、こっちが一方的に見えるアドバンテージがあっても、重労働だった。","しかし、森の中で向こうの視界が無い事と、こっちが一方的に見えるアドバンテージがあっても、重労働だった。"
0,456,"","","それがお互い開けた場所で複数同時は厳しい。\n更には美緒ちゃんが捕まっている。","それがお互い開けた場所で複数同時は厳しい。更には美緒ちゃんが捕まっている。","それがお互い開けた場所で複数同時は厳しい。更には美緒ちゃんが捕まっている。"
0,448,"桜花","","「……最後の手段を使うか……」","",""
0,448,"道隆","","「…………最後の？」","",""
