"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"麗奈","","「それじゃ帰るわ。二人とも安静にしておくのよ」","",""
0,448,"桜花","","「ああ、わかった」","",""
0,448,"道隆","","「今日は悪かったな。また明日」","",""
0,448,"麗奈","","「ええ、それじゃね」","",""
0,448,"","","麗奈が帰るのを見送る。","",""
0,448,"","","建物に戻ろうとした所で、桜花が唐突に言ってきた。","",""
0,448,"桜花","","「少し散歩しないかい？」","",""
0,448,"道隆","","「着物のままでか？」","",""
0,448,"桜花","","「大丈夫、少しだけだよ。\nそれに今さらじゃないか」","「大丈夫、少しだけだよ。それに今さらじゃないか」","「大丈夫、少しだけだよ。それに今さらじゃないか」"
0,464,"","","桜花と大通りまでやってきた。","",""
0,448,"","","袴姿の女の子は珍しいみたいで、あちこちから視線を感じる。","",""
0,448,"桜花","","「……不思議なものだね」","",""
0,448,"道隆","","「何が？」","",""
0,448,"桜花","","「こうして道隆と共に同じ道を歩いている」","",""
0,448,"道隆","","「それ自体は別に変じゃないだろ。\n外にも出られるようになっているんだし」","「それ自体は別に変じゃないだろ。外にも出られるようになっているんだし」","「それ自体は別に変じゃないだろ。外にも出られるようになっているんだし」"
0,448,"桜花","","「いや……そういう意味じゃない」","",""
0,448,"","","桜花は苦笑して続ける。","",""
0,448,"桜花","","「ボクは最初は道隆に手を引かれなくては、外に出る事も\n出来なかった。数日しか経っていないというのに、それが\n今では共に並んで歩いている」","「ボクは最初は道隆に手を引かれなくては、外に出る事も出来なかった。数日しか経っていないというのに、それが今では共に並んで歩いている」","「ボクは最初は道隆に手を引かれなくては、外に出る事も出来なかった。数日しか経っていないというのに、それが今では共に並んで歩いている」"
0,448,"桜花","","「手を繋いでいた頃の方が、お互いの距離は近かったと思う」","",""
0,448,"道隆","","「……まあ、な」","",""
0,448,"","","思い出してもどこか照れ臭くなる。","",""
0,448,"","","桜花の感触。小さな細い手と柔らかさ。\nそして体温……。","桜花の感触。小さな細い手と柔らかさ。そして体温……。","桜花の感触。小さな細い手と柔らかさ。そして体温……。"
0,448,"桜花","","「けれどね道隆。手も離れ、距離も取っている今の方が\nずっと近くに感じるよ」","「けれどね道隆。手も離れ、距離も取っている今の方がずっと近くに感じるよ」","「けれどね道隆。手も離れ、距離も取っている今の方がずっと近くに感じるよ」"
0,448,"","","そんな事を桜花は楽しそうに言ってくる。","",""
0,448,"","","恥ずかしい事を言うのは、桜花の常套手段だ。","",""
0,448,"","","からかって俺の反応を伺っている。\nあるいは本気かもしれないが、それでも本気で踏み込んでは\nこない、桜花なりの照れ隠しだ。","からかって俺の反応を伺っている。あるいは本気かもしれないが、それでも本気で踏み込んではこない、桜花なりの照れ隠しだ。","からかって俺の反応を伺っている。あるいは本気かもしれないが、それでも本気で踏み込んではこない、桜花なりの照れ隠しだ。"
0,448,"","","でも、今はそのどれとも違っていた。\n知り合ってからまだ一ヶ月程度でしかないのに、こんな事まで\n分かるくらい、俺たちは時間を重ねていた。","でも、今はそのどれとも違っていた。知り合ってからまだ一ヶ月程度でしかないのに、こんな事まで分かるくらい、俺たちは時間を重ねていた。","でも、今はそのどれとも違っていた。知り合ってからまだ一ヶ月程度でしかないのに、こんな事まで分かるくらい、俺たちは時間を重ねていた。"
0,448,"道隆","","「俺も……」","",""
0,448,"道隆","","「俺も、そう思う」","",""
0,448,"桜花","","「……そっか……なんだか照れ臭いな」","",""
0,448,"道隆","","「自分で言ったくせに」","",""
0,448,"桜花","","「そうなのだけれどね。ふふ」","",""
0,448,"","","笑いながら身を翻す姿はどこまでも楽しそうで、俺も自然と\n笑みがこぼれていた。","笑いながら身を翻す姿はどこまでも楽しそうで、俺も自然と笑みがこぼれていた。","笑いながら身を翻す姿はどこまでも楽しそうで、俺も自然と笑みがこぼれていた。"
0,464,"","","気がつけば、こんな所まで散歩の足を延ばしていた。","",""
0,448,"桜花","","「よく話には聞いていたからね、一度来てみたかったんだ」","",""
0,448,"道隆","","「その姿で神社に来ると、まるで本物に見えるな」","",""
0,448,"桜花","","「この場合は人間の持つイメージとしての本物という事だね」","",""
0,448,"道隆","","「和服と神社の組み合わせの相性が良すぎるんだよなぁ……」","",""
0,448,"桜花","","「ふふ、そうかもしれないね。\n物語でも出てくる幽霊は大抵が和服だ」","「ふふ、そうかもしれないね。物語でも出てくる幽霊は大抵が和服だ」","「ふふ、そうかもしれないね。物語でも出てくる幽霊は大抵が和服だ」"
0,464,"桜花","","「そういう意味では今のボクはここにおあつらえ向きでは\nあるね」","「そういう意味では今のボクはここにおあつらえ向きではあるね」","「そういう意味では今のボクはここにおあつらえ向きではあるね」"
0,448,"道隆","","「……まぁな」","",""
0,448,"","","桜花は神社の中を興味深げに見渡している。","",""
0,448,"桜花","","「こういう風になっているのか……。\n猫はどこで飼われているんだろう」","「こういう風になっているのか……。猫はどこで飼われているんだろう」","「こういう風になっているのか……。猫はどこで飼われているんだろう」"
0,448,"道隆","","「この時間だと社務所だな。\n神主さんの色がある。優枝さんはもう帰ったみたいだ」","「この時間だと社務所だな。神主さんの色がある。優枝さんはもう帰ったみたいだ」","「この時間だと社務所だな。神主さんの色がある。優枝さんはもう帰ったみたいだ」"
0,448,"桜花","","「そうか」","",""
0,448,"","","桜花は境内を一回りすると、石段の一番上に腰かけた。","",""
0,464,"桜花","","「あの時は道隆の見えている世界が、ボクにも見えた」","",""
0,448,"道隆","","「……ああ」","",""
0,448,"","","俺も桜花の世界が見えていた。","",""
0,448,"","","自分とは違う思考形態。観察すべきポイント、目線の動きまで\n全く違っていた。","自分とは違う思考形態。観察すべきポイント、目線の動きまで全く違っていた。","自分とは違う思考形態。観察すべきポイント、目線の動きまで全く違っていた。"
0,448,"","","今の俺では、あの時のような情報量は得られない。","",""
0,448,"桜花","","「……少しだけ寂しく感じる。これが当たり前なのだけれど\nどこか物足りない」","「……少しだけ寂しく感じる。これが当たり前なのだけれどどこか物足りない」","「……少しだけ寂しく感じる。これが当たり前なのだけれどどこか物足りない」"
0,448,"道隆","","「そうだな……」","",""
0,448,"桜花","","「だとしても、同じ事はもうやらない方がいいだろう」","",""
0,448,"","","桜花を見る。\n視線を俺に合わせる事なく、まっすぐ前を向いていた。","桜花を見る。視線を俺に合わせる事なく、まっすぐ前を向いていた。","桜花を見る。視線を俺に合わせる事なく、まっすぐ前を向いていた。"
0,448,"桜花","","「あの時に道隆の目には現在だけではなく、過去の色まで\n映っていた」","「あの時に道隆の目には現在だけではなく、過去の色まで映っていた」","「あの時に道隆の目には現在だけではなく、過去の色まで映っていた」"
0,448,"桜花","","「どれほどの昔でも関係なく、そこに触れた人間の痕跡全てだ。\nあの時の頭痛は反動に耐えられなかった証だ」","「どれほどの昔でも関係なく、そこに触れた人間の痕跡全てだ。あの時の頭痛は反動に耐えられなかった証だ」","「どれほどの昔でも関係なく、そこに触れた人間の痕跡全てだ。あの時の頭痛は反動に耐えられなかった証だ」"
0,448,"道隆","","「……だろうな」","",""
0,464,"","","更には空間に残る色に介入まで出来ていた。","",""
0,448,"","","ここまで来ると桜花にだって説明も出来ない。","",""
0,448,"","","静寂が落ちる。\n言葉が続かないまま、互いの続きを待っていた。","静寂が落ちる。言葉が続かないまま、互いの続きを待っていた。","静寂が落ちる。言葉が続かないまま、互いの続きを待っていた。"
0,448,"桜花","","「……すまない」","",""
0,448,"","","桜花が不意に言った。","",""
0,464,"桜花","","「道隆にどのような反動が起きるのか、もっとよく考えて\nおくべきだった」","「道隆にどのような反動が起きるのか、もっとよく考えておくべきだった」","「道隆にどのような反動が起きるのか、もっとよく考えておくべきだった」"
0,448,"道隆","","「いや……俺の方こそ。\n桜花が森の中ですごく辛そうにしていた。普段疲れない奴が\nあそこまで疲労するくらい大変なんだって考えなかった」","「いや……俺の方こそ。桜花が森の中ですごく辛そうにしていた。普段疲れない奴があそこまで疲労するくらい大変なんだって考えなかった」","「いや……俺の方こそ。桜花が森の中ですごく辛そうにしていた。普段疲れない奴があそこまで疲労するくらい大変なんだって考えなかった」"
0,448,"道隆","","「あれは結局どうなっていたんだ？」","",""
0,448,"桜花","","「道隆と同じようなものさ」","",""
0,448,"","","桜花の言葉は簡潔だった。","",""
0,448,"桜花","","「こうして実体を保っているからこそ、ボクは今ここに\nいる事が出来るし、触れる事も出来る」","「こうして実体を保っているからこそ、ボクは今ここにいる事が出来るし、触れる事も出来る」","「こうして実体を保っているからこそ、ボクは今ここにいる事が出来るし、触れる事も出来る」"
0,448,"桜花","","「世界との繋がりを解いてしまえば、桜花荘に引き戻される。\nここまではいいかな」","「世界との繋がりを解いてしまえば、桜花荘に引き戻される。ここまではいいかな」","「世界との繋がりを解いてしまえば、桜花荘に引き戻される。ここまではいいかな」"
0,448,"道隆","","「ああ」","",""
0,448,"桜花","","「先にやったのは中途半端に繋がりを解いて、実体を無くす事。\n掴まれた部分を通り抜けさせたりと、非常に便利ではあった」","「先にやったのは中途半端に繋がりを解いて、実体を無くす事。掴まれた部分を通り抜けさせたりと、非常に便利ではあった」","「先にやったのは中途半端に繋がりを解いて、実体を無くす事。掴まれた部分を通り抜けさせたりと、非常に便利ではあった」"
0,448,"桜花","","「でも実際にそれは、部分的にとはいえ世界との繋がりを\n失う行為だ。やるたびに桜花荘に引き戻されそうになっていた」","「でも実際にそれは、部分的にとはいえ世界との繋がりを失う行為だ。やるたびに桜花荘に引き戻されそうになっていた」","「でも実際にそれは、部分的にとはいえ世界との繋がりを失う行為だ。やるたびに桜花荘に引き戻されそうになっていた」"
0,448,"桜花","","「それに抗っていたのだが、疲労となって圧し掛かってきた\nんだ」","「それに抗っていたのだが、疲労となって圧し掛かってきたんだ」","「それに抗っていたのだが、疲労となって圧し掛かってきたんだ」"
0,448,"道隆","","「……じゃあ、俺に憑いていたのは？\nあの時も実体は無かったはずだけど」","「……じゃあ、俺に憑いていたのは？あの時も実体は無かったはずだけど」","「……じゃあ、俺に憑いていたのは？あの時も実体は無かったはずだけど」"
0,448,"桜花","","「あっちは逆に道隆そのものに繋がりを持っていたからね。\n引きもどされる心配は無かった。すこぶる快調だったよ」","「あっちは逆に道隆そのものに繋がりを持っていたからね。引きもどされる心配は無かった。すこぶる快調だったよ」","「あっちは逆に道隆そのものに繋がりを持っていたからね。引きもどされる心配は無かった。すこぶる快調だったよ」"
