"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","着替えを用意して、脱衣所で服を脱いだ。","",""
0,448,"麗奈","","「……改めて服脱ぐって恥ずかしいわね」","",""
0,448,"道隆","","「お前がついてきたんだろうに」","",""
0,448,"麗奈","","「そうなのだけど……」","",""
0,448,"道隆","","「先入ってるぞ」","",""
0,448,"麗奈","","「ええ」","",""
0,464,"道隆","","「……ふぅ」","",""
0,448,"","","体を流して湯船につかる。","",""
0,448,"","","麗奈の親父さんと腹を割って話せて、すっきりした。","",""
0,448,"麗奈","","「入るわよ」","",""
0,448,"道隆","","「ああ」","",""
0,448,"","","しばらく遅れて入ってきた麗奈が、隅っこで隠れるように\n体を流す。","しばらく遅れて入ってきた麗奈が、隅っこで隠れるように体を流す。","しばらく遅れて入ってきた麗奈が、隅っこで隠れるように体を流す。"
0,448,"麗奈","","「……ちょっと。そんなに堂々と足伸ばされたら、私の\n場所がないわよ」","「……ちょっと。そんなに堂々と足伸ばされたら、私の場所がないわよ」","「……ちょっと。そんなに堂々と足伸ばされたら、私の場所がないわよ」"
0,448,"道隆","","「あ、……そうだな。\nじゃあ上にでも」","「あ、……そうだな。じゃあ上にでも」","「あ、……そうだな。じゃあ上にでも」"
0,448,"麗奈","","「…………」","",""
0,448,"","","……睨まれてしまった。","",""
0,448,"道隆","","「すぐどくから、ちょっと待って――」","",""
0,448,"","","麗奈が浴槽をまたいだ。","",""
0,448,"","","あそこがばっちりと見えている。","",""
0,448,"","","それも気にした様子もなく、湯船につかると俺に体を\n預けてきた。","それも気にした様子もなく、湯船につかると俺に体を預けてきた。","それも気にした様子もなく、湯船につかると俺に体を預けてきた。"
0,456,"麗奈","","「……大きいお風呂は気持ちがいいわね」","",""
0,456,"道隆","","「麗奈って結構大胆だよな」","",""
0,456,"麗奈","","「道隆にだけは言われたくないわ」","",""
0,456,"","","気持ちよさそうに吐息をつく。\n白い肌が上気していた。","気持ちよさそうに吐息をつく。白い肌が上気していた。","気持ちよさそうに吐息をつく。白い肌が上気していた。"
0,456,"道隆","","「前に一緒に風呂入ったのっていつだったっけ」","",""
0,456,"麗奈","","「目が見えなかった頃に、洗ってあげたわよね」","",""
0,456,"道隆","","「その時が最後か……見えるようになってからは、一度も\nなかったんだよな」","「その時が最後か……見えるようになってからは、一度もなかったんだよな」","「その時が最後か……見えるようになってからは、一度もなかったんだよな」"
0,456,"麗奈","","「私と汐音が洗ってあげるっていったのに、逃げたでしょ」","",""
0,456,"道隆","","「恥ずかしかったんだよっ」","",""
0,456,"麗奈","","「今ではすっかりエッチな事しか考えなくなったんだから\n大した成長だわ」","「今ではすっかりエッチな事しか考えなくなったんだから大した成長だわ」","「今ではすっかりエッチな事しか考えなくなったんだから大した成長だわ」"
0,456,"道隆","","「……お前にだけは言われたくない」","",""
0,456,"","","手を回して、豊満な胸を揉んでやる。","",""
0,456,"麗奈","","「あらあら、触りたいの？　仕方ないわねぇ」","",""
0,456,"道隆","","「く……慌てやしねぇ」","",""
0,456,"麗奈","","「どれだけ付き合い長いと思ってるのよ」","",""
0,456,"道隆","","「……それもそうか」","",""
0,456,"","","まあ、気持ちいいので胸はこのまま揉ませて貰おう。","",""
0,456,"道隆","","「…………」","",""
0,456,"","","……と思ったのだが、ここで性欲に先に走った方が負ける気が\nしてきた。","……と思ったのだが、ここで性欲に先に走った方が負ける気がしてきた。","……と思ったのだが、ここで性欲に先に走った方が負ける気がしてきた。"
0,456,"","","手を引くと同時に、麗奈が俺に視線を向ける。","",""
0,456,"麗奈","","「しないの？」","",""
0,456,"道隆","","「…………しない」","",""
0,456,"麗奈","","「そう」","",""
0,456,"","","……なんかにやりと笑われたような。","",""
0,456,"道隆","","「ごほん。……よくよく考えると、美少女二人にお風呂も\n介護って、俺すごい事されてたんだな」","「ごほん。……よくよく考えると、美少女二人にお風呂も介護って、俺すごい事されてたんだな」","「ごほん。……よくよく考えると、美少女二人にお風呂も介護って、俺すごい事されてたんだな」"
0,456,"麗奈","","「改めて思うと、とんでもないわね」","",""
0,456,"麗奈","","「でも途中から一人で入るのに慣れて断ってたじゃない」","",""
0,456,"道隆","","「……そうなんだよなぁ」","",""
0,456,"","","お風呂の手伝いといっても、汐音は家が離れている。","",""
0,456,"","","必然的に近くの麗奈に頼る事になってしまう。","",""
0,456,"","","正直大変なだけだし、俺自身も恥ずかしい。","",""
