"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","今度の中間テストの勉強をしに、涼子ちゃんが桜花荘へ\nやってきていた。","今度の中間テストの勉強をしに、涼子ちゃんが桜花荘へやってきていた。","今度の中間テストの勉強をしに、涼子ちゃんが桜花荘へやってきていた。"
0,448,"","","既に一通り試験の範囲をこなし、あらかた片付いている。","",""
0,448,"","","それにも関わらず、教科書を広げたまま、机に向かっていた。","",""
0,464,"桜花","","「はいるよ」","",""
0,448,"桜花","","「おや、まだやっているのかい？」","",""
0,448,"道隆","","「差し入れか？　悪いな」","",""
0,448,"桜花","","「礼は別に構わないよ」","",""
0,448,"","","いつものごとくそっけなく言いながら、桜花はテーブルの上に\nお盆を置く。","いつものごとくそっけなく言いながら、桜花はテーブルの上にお盆を置く。","いつものごとくそっけなく言いながら、桜花はテーブルの上にお盆を置く。"
0,448,"涼子","","「ありがとうございます」","",""
0,448,"桜花","","「なに、いいさ」","",""
0,448,"","","それだけ言ってふっと笑うと、","",""
0,448,"","","――姿を消した。","",""
0,448,"道隆","","「…………もう見慣れたとはいえ」","",""
0,448,"涼子","","「やっぱり心臓に悪い……ですよね」","",""
0,464,"","","桜花は今も気ままに過ごしている。","",""
0,448,"","","以前俺の部屋に居着いていた時のように、毎晩会話をする事も\nなくなったが、桜花荘という建物の中には存在し続けている。","以前俺の部屋に居着いていた時のように、毎晩会話をする事もなくなったが、桜花荘という建物の中には存在し続けている。","以前俺の部屋に居着いていた時のように、毎晩会話をする事もなくなったが、桜花荘という建物の中には存在し続けている。"
0,448,"","","外にも出られるようになり、日常の物も増え、桜花は人と同じ\n生活も送れるようになってるはずだった。","外にも出られるようになり、日常の物も増え、桜花は人と同じ生活も送れるようになってるはずだった。","外にも出られるようになり、日常の物も増え、桜花は人と同じ生活も送れるようになってるはずだった。"
0,448,"","","が、桜花が選択したのは、むしろそれまでとは逆の、自由奔放\nな幽霊としての存在だ。","が、桜花が選択したのは、むしろそれまでとは逆の、自由奔放な幽霊としての存在だ。","が、桜花が選択したのは、むしろそれまでとは逆の、自由奔放な幽霊としての存在だ。"
0,448,"","","距離が出来たようでさびしくはあるが、呼べばちゃんといるし\n困った事があれば相談にも乗ってくれる。","距離が出来たようでさびしくはあるが、呼べばちゃんといるし困った事があれば相談にも乗ってくれる。","距離が出来たようでさびしくはあるが、呼べばちゃんといるし困った事があれば相談にも乗ってくれる。"
0,448,"","","逆に桜花の側から俺に色々と注文をつけたり、涼子ちゃんと\n買い物に出かける事もある。","逆に桜花の側から俺に色々と注文をつけたり、涼子ちゃんと買い物に出かける事もある。","逆に桜花の側から俺に色々と注文をつけたり、涼子ちゃんと買い物に出かける事もある。"
0,448,"","","本人が言うように『ちょうどいい距離感』なのかもしれない。","",""
0,464,"涼子","","「あ！　おいしいです」","",""
0,448,"道隆","","「おお～～、これは前に食べた……」","",""
0,448,"涼子","","「はい。りんごのはちみつ漬けです。\n桜花さんが作ったのでしょうか」","「はい。りんごのはちみつ漬けです。桜花さんが作ったのでしょうか」","「はい。りんごのはちみつ漬けです。桜花さんが作ったのでしょうか」"
0,448,"道隆","","「そうだと思う。涼子ちゃんが来るって言った時にキッチンに\n篭ってたのは、これを準備してたからか……」","「そうだと思う。涼子ちゃんが来るって言った時にキッチンに篭ってたのは、これを準備してたからか……」","「そうだと思う。涼子ちゃんが来るって言った時にキッチンに篭ってたのは、これを準備してたからか……」"
0,448,"涼子","","「なんだか嬉しいですね」","",""
0,448,"道隆","","「だな」","",""
0,448,"","","俺が初めて食った涼子ちゃんの手料理であり、桜花が初めて\n習ったレシピを本人に出すのは気が利いている。","俺が初めて食った涼子ちゃんの手料理であり、桜花が初めて習ったレシピを本人に出すのは気が利いている。","俺が初めて食った涼子ちゃんの手料理であり、桜花が初めて習ったレシピを本人に出すのは気が利いている。"
0,448,"道隆","","「そういや試験勉強熱心にやってたけど、分からない所でも\nあった？」","「そういや試験勉強熱心にやってたけど、分からない所でもあった？」","「そういや試験勉強熱心にやってたけど、分からない所でもあった？」"
0,448,"涼子","","「そういう訳ではないのですが……」","",""
0,448,"","","開いていた参考書のページをこちらに見せる。","",""
0,448,"","","そこは試験の範囲よりも更に先、これから習うであろう場所\nだった。","そこは試験の範囲よりも更に先、これから習うであろう場所だった。","そこは試験の範囲よりも更に先、これから習うであろう場所だった。"
0,448,"涼子","","「受験勉強の事も考えておきたいと思いまして」","",""
0,448,"道隆","","「今から！？　ずいぶん気が早いなぁ」","",""
0,448,"涼子","","「先輩と同じ所に行きたいですから」","",""
0,448,"道隆","","「……いやいや、一応俺も進学希望組だけど、絶対に\n涼子ちゃんの方が偏差値高いって」","「……いやいや、一応俺も進学希望組だけど、絶対に涼子ちゃんの方が偏差値高いって」","「……いやいや、一応俺も進学希望組だけど、絶対に涼子ちゃんの方が偏差値高いって」"
0,448,"涼子","","「そうでしょうか……？」","",""
0,448,"道隆","","「じゃあ、せーので１学期の実力テストの順位を言い合おう」","",""
0,448,"涼子","","「わ、わかりました」","",""
0,464,"道隆","","「せーの」","",""
0,464,"涼子","","「……や、やっぱりわたし、努力しないとダメなんです……」","",""
0,448,"道隆","","「…………あちゃー……」","",""
0,448,"","","自信をつけさせるつもりが落してしまった。","",""
0,448,"","","涼子ちゃんは成績は悪くはない。\nが、ずば抜けて良くもない。","涼子ちゃんは成績は悪くはない。が、ずば抜けて良くもない。","涼子ちゃんは成績は悪くはない。が、ずば抜けて良くもない。"
0,448,"","","俺は特別良い訳じゃない。が、悪いわけでもない。","",""
0,448,"","","お互いに波のある成績だから、こんな時もあるだろう。","",""
0,448,"涼子","","「やっぱり勉強します……！」","",""
0,448,"道隆","","「まあまあ、そんな気合い入れなくても」","",""
0,448,"涼子","","「ですが……」","",""
0,448,"道隆","","「じゃあ、こうしよう！」","",""
0,448,"","","涼子ちゃんを膝の上に座らせる。","",""
0,448,"","","そのまま机の前に向かわせた。","",""
0,448,"涼子","","「あ、あの……これは、一体……」","",""
