"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","――人と言う字は支え合って出来ているという言葉を、よく\n耳にする。","――人と言う字は支え合って出来ているという言葉を、よく耳にする。","――人と言う字は支え合って出来ているという言葉を、よく耳にする。"
0,448,"","","――だが同時に、人と言う漢字は誰にも寄りそわずに人が\n自分の足で立ってるとも聞いた事がある。","――だが同時に、人と言う漢字は誰にも寄りそわずに人が自分の足で立ってるとも聞いた事がある。","――だが同時に、人と言う漢字は誰にも寄りそわずに人が自分の足で立ってるとも聞いた事がある。"
0,448,"","","どちらが正しいのかは、俺には分からない。","",""
0,448,"","","でもどちらが好きかと問われたならば、きっと答えは決まって\nいる……。","でもどちらが好きかと問われたならば、きっと答えは決まっている……。","でもどちらが好きかと問われたならば、きっと答えは決まっている……。"
0,448,"","","夏休みを迎えた海岸は、沢山の人で溢れていた。","",""
0,448,"","","親子連れから恋人。男友達の一団もいれば、ナンパ待ちらしき\n女性グループまで様々だ。","親子連れから恋人。男友達の一団もいれば、ナンパ待ちらしき女性グループまで様々だ。","親子連れから恋人。男友達の一団もいれば、ナンパ待ちらしき女性グループまで様々だ。"
0,448,"","","ビーチに敷いたシートに寝そべり、夏の太陽を感じている。","",""
0,448,"","","泳ぎ疲れた後の休憩の時間、運動神経抜群の彼女は、飲み物を\n買いに行っていた。","泳ぎ疲れた後の休憩の時間、運動神経抜群の彼女は、飲み物を買いに行っていた。","泳ぎ疲れた後の休憩の時間、運動神経抜群の彼女は、飲み物を買いに行っていた。"
0,456,"涼子","","「お待たせしました」","",""
0,456,"道隆","","「お帰り……ありがとう」","",""
0,456,"","","差し出されたコーラを受け取った。","",""
0,456,"涼子","","「風が気持ちいいいですね」","",""
0,456,"道隆","","「こうも暑いと、風くらいないと干上がっちまうしなぁ」","",""
0,456,"涼子","","「もう少ししたら、また泳ぎにいきましょうか」","",""
0,456,"道隆","","「もう体力の限界……でも水に浸かるだけなら気持ちよさそう\nだ」","「もう体力の限界……でも水に浸かるだけなら気持ちよさそうだ」","「もう体力の限界……でも水に浸かるだけなら気持ちよさそうだ」"
0,456,"涼子","","「…………先輩、正直に答えて欲しいのですが」","",""
0,456,"道隆","","「なに？」","",""
0,456,"","","涼子ちゃんに、顔を向ける。","",""
0,456,"","","少し怒った表情で俺に問いただした。","",""
0,456,"涼子","","「気分が悪くなっていたりはしないのですか？\nここは大勢人がいます。ということは今視ている景色は……」","「気分が悪くなっていたりはしないのですか？ここは大勢人がいます。ということは今視ている景色は……」","「気分が悪くなっていたりはしないのですか？ここは大勢人がいます。ということは今視ている景色は……」"
0,456,"道隆","","「あ～……どうだろな」","",""
0,456,"","","青い空と――そして、様々な人の『色』で混ざりあって\n[・]ど[・]す[・]黒[・]く[・]染[・]ま[・]っ[・]た浜と海をこの眼で視た。","青い空と――そして、様々な人の『色』で混ざりあってどす黒く染まった浜と海をこの眼で視た。","青い空と――そして、様々な人の『色』で混ざりあってどす黒く染まった浜と海をこの眼で視た。"
0,456,"","","大勢の人の気配が混ざり合い、どこの誰とも知らない人の\n気配が、俺たちの居場所も侵食していく。","大勢の人の気配が混ざり合い、どこの誰とも知らない人の気配が、俺たちの居場所も侵食していく。","大勢の人の気配が混ざり合い、どこの誰とも知らない人の気配が、俺たちの居場所も侵食していく。"
0,456,"","","前はそれに耐えきれなくて、一人暮らしを願っていた。","",""
0,456,"","","だから涼子ちゃんの言っている事は半分正解。","",""
0,456,"道隆","","「最近は、そんな気にならなくなってきたんだ。\nだから全然大丈夫。せっかくの夏だから、まだまだ楽しもう」","「最近は、そんな気にならなくなってきたんだ。だから全然大丈夫。せっかくの夏だから、まだまだ楽しもう」","「最近は、そんな気にならなくなってきたんだ。だから全然大丈夫。せっかくの夏だから、まだまだ楽しもう」"
0,456,"涼子","","「……本当ですか？」","",""
0,456,"道隆","","「ああ、本当本当」","",""
0,456,"","","そう、嘘偽りなく本当の事だ。","",""
0,456,"道隆","","「だって――」","",""
0,456,"","","涼子ちゃんとの距離を縮めた。","",""
0,456,"","","視界いっぱいに彼女が広がり――そして、俺の見えている\n景色は涼子ちゃんの色で塗りつぶされる。","視界いっぱいに彼女が広がり――そして、俺の見えている景色は涼子ちゃんの色で塗りつぶされる。","視界いっぱいに彼女が広がり――そして、俺の見えている景色は涼子ちゃんの色で塗りつぶされる。"
0,456,"道隆","","「こうしていれば、俺が見えるのは涼子ちゃんの色だけだ。\n……まあ、完全にそれだけって訳でもないけど……」","「こうしていれば、俺が見えるのは涼子ちゃんの色だけだ。……まあ、完全にそれだけって訳でもないけど……」","「こうしていれば、俺が見えるのは涼子ちゃんの色だけだ。……まあ、完全にそれだけって訳でもないけど……」"
0,456,"道隆","","「涼子ちゃんの色は見失わない。どこの、どんな場所に居たと\nしても、俺の道しるべになってくれる」","「涼子ちゃんの色は見失わない。どこの、どんな場所に居たとしても、俺の道しるべになってくれる」","「涼子ちゃんの色は見失わない。どこの、どんな場所に居たとしても、俺の道しるべになってくれる」"
0,456,"涼子","","「…………わかりました。ですが、気分が悪くなったら\nすぐに言って下さいね」","「…………わかりました。ですが、気分が悪くなったらすぐに言って下さいね」","「…………わかりました。ですが、気分が悪くなったらすぐに言って下さいね」"
0,456,"道隆","","「ああ、任せておけ」","",""
0,456,"","","涼子ちゃんは離れない。\nぴったりとくっついたままだった。","涼子ちゃんは離れない。ぴったりとくっついたままだった。","涼子ちゃんは離れない。ぴったりとくっついたままだった。"
0,456,"道隆","","「……あの……涼子さん。\nジュース飲みづらくないですか……？」","「……あの……涼子さん。ジュース飲みづらくないですか……？」","「……あの……涼子さん。ジュース飲みづらくないですか……？」"
0,456,"涼子","","「で、ですが、こうしていれば大丈夫だと先輩が……」","",""
0,456,"道隆","","「いやいや！　ずっとこうしてるって訳でもないからっ」","",""
0,456,"","","……ビーチで公衆の面前で抱き合っている。","",""
0,456,"","","さぞかし滑稽な姿に……と思ったのだが、周囲の人たちは\n俺たちなんて視界に入らないように、それぞれの夏を満喫\nしていた。","さぞかし滑稽な姿に……と思ったのだが、周囲の人たちは俺たちなんて視界に入らないように、それぞれの夏を満喫していた。","さぞかし滑稽な姿に……と思ったのだが、周囲の人たちは俺たちなんて視界に入らないように、それぞれの夏を満喫していた。"
0,456,"道隆","","「…………あれ？」","",""
0,456,"涼子","","「どうかされましたか」","",""
0,456,"道隆","","「……なんでもない」","",""
0,456,"","","こういう事を実感するたびに、思うのだ。","",""
0,456,"","","見えている色も俺自身も含めた世界の一つだ。","",""
0,456,"","","この世界には納得のいく事、行かない事。自分の手の届く事や\n届かない事があって、成り立っている。","この世界には納得のいく事、行かない事。自分の手の届く事や届かない事があって、成り立っている。","この世界には納得のいく事、行かない事。自分の手の届く事や届かない事があって、成り立っている。"
0,456,"","","これも、そんな中の一つなのだろうとただ純粋に思う。","",""
0,456,"道隆","","「それじゃ休憩終わり。また泳ぎに行こう」","",""
0,456,"涼子","","「はいっ」","",""
0,456,"","","人という字は、一人の人間が自分の足で大地をふみしめて\n立っている。","人という字は、一人の人間が自分の足で大地をふみしめて立っている。","人という字は、一人の人間が自分の足で大地をふみしめて立っている。"
0,456,"","","でも立ち続けるには、寄りそってくれる人が必要なのだろうと\n俺は思っている――。","でも立ち続けるには、寄りそってくれる人が必要なのだろうと俺は思っている――。","でも立ち続けるには、寄りそってくれる人が必要なのだろうと俺は思っている――。"
