"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","土曜日――朝食が終わると、桜花と共に外に出た。","",""
0,448,"","","今はあまり長い間外に出る訳ではないし、いざとなったら\n桜花は消えるつもりだ。","今はあまり長い間外に出る訳ではないし、いざとなったら桜花は消えるつもりだ。","今はあまり長い間外に出る訳ではないし、いざとなったら桜花は消えるつもりだ。"
0,448,"","","そのため袴姿のままだった。","",""
0,448,"桜花","","「まずは昨日の家の確認かな」","",""
0,448,"道隆","","「そうだな」","",""
0,448,"","","その後は街を歩いてみるとしよう。","",""
0,448,"汐音","","「二人ともおはよう～。休みなのに朝早いね。\nどこか出かけるの？」","「二人ともおはよう～。休みなのに朝早いね。どこか出かけるの？」","「二人ともおはよう～。休みなのに朝早いね。どこか出かけるの？」"
0,448,"道隆","","「ああ……この前の話の件でちょっと」","",""
0,448,"汐音","","「……危ない事しちゃダメだよ？」","",""
0,448,"道隆","","「しないしない。昨日も桜花と行ってきたけど、散歩してた\nようなもんだった」","「しないしない。昨日も桜花と行ってきたけど、散歩してたようなもんだった」","「しないしない。昨日も桜花と行ってきたけど、散歩してたようなもんだった」"
0,448,"道隆","","「そもそも、怪しそうな事が起きてるから知りたいだけで\nあって、首突っ込んで回ってる訳じゃない」","「そもそも、怪しそうな事が起きてるから知りたいだけであって、首突っ込んで回ってる訳じゃない」","「そもそも、怪しそうな事が起きてるから知りたいだけであって、首突っ込んで回ってる訳じゃない」"
0,448,"汐音","","「う～～ん……そっかぁ。\nじゃあわたしも行く！」","「う～～ん……そっかぁ。じゃあわたしも行く！」","「う～～ん……そっかぁ。じゃあわたしも行く！」"
0,448,"道隆","","「……本気か？」","",""
0,448,"汐音","","「うん」","",""
0,448,"桜花","","「いいんじゃないかな。どうせ今日はこの辺りをぐるっと\n歩いて終わりだ。危険もないだろうしね」","「いいんじゃないかな。どうせ今日はこの辺りをぐるっと歩いて終わりだ。危険もないだろうしね」","「いいんじゃないかな。どうせ今日はこの辺りをぐるっと歩いて終わりだ。危険もないだろうしね」"
0,448,"汐音","","「それじゃ、ちょっと待っててね」","",""
0,448,"","","汐音が自分の家に一度戻る。","",""
0,448,"","","家族に出かけてくると言ってるのが、かすかに聞こえた。","",""
0,448,"汐音","","「お待たせー」","",""
0,448,"桜花","","「それでは行こうか」","",""
0,464,"","","昨日の家を目指して、三人で歩く。","",""
0,448,"","","桜花が唐突に言った。","",""
0,448,"桜花","","「汐音に正直に話すと思わなかった」","",""
0,448,"汐音","","「ひどいよー。黙ってるつもりだったの？」","",""
0,448,"桜花","","「ボクはどちらでも。ただ道隆が誤魔化すかなとも思って\nいたんだ」","「ボクはどちらでも。ただ道隆が誤魔化すかなとも思っていたんだ」","「ボクはどちらでも。ただ道隆が誤魔化すかなとも思っていたんだ」"
0,448,"汐音","","「わたしがついていくって言いだすから？」","",""
0,448,"桜花","","「その通りだ」","",""
0,448,"道隆","","「実際その通りになっているしな」","",""
0,448,"桜花","","「だから、誤魔化すと思ってたんだけれどね。\n道隆は汐音を大事に思っているから、僅かでも危険があれば\n遠ざけると踏んでたんだ」","「だから、誤魔化すと思ってたんだけれどね。道隆は汐音を大事に思っているから、僅かでも危険があれば遠ざけると踏んでたんだ」","「だから、誤魔化すと思ってたんだけれどね。道隆は汐音を大事に思っているから、僅かでも危険があれば遠ざけると踏んでたんだ」"
0,448,"道隆","","「確かにそういう部分はあるけれど……」","",""
0,448,"汐音","","「え？　え？」","",""
0,448,"","","汐音が混乱している。","",""
0,448,"道隆","","「お前、なに照れてるんだ？」","",""
0,448,"汐音","","「だ、だだだって！　今！！」","",""
0,448,"道隆","","「……あー……確かに……。\n少し恥ずかしいな、これ……」","「……あー……確かに……。少し恥ずかしいな、これ……」","「……あー……確かに……。少し恥ずかしいな、これ……」"
0,448,"汐音","","「そうだよ！　こんな所で……もう……っ」","",""
0,448,"桜花","","「初々しいのは結構だけれど、家の中でやって欲しいね。\nそのまま交尾しててくれても構わないよ」","「初々しいのは結構だけれど、家の中でやって欲しいね。そのまま交尾しててくれても構わないよ」","「初々しいのは結構だけれど、家の中でやって欲しいね。そのまま交尾しててくれても構わないよ」"
0,448,"道隆","","「発情期の猫の扱いじゃないんだから……」","",""
0,448,"道隆","","「……それもこれも、昨夜、桜花に昔話しかけたからだ」","",""
0,448,"汐音","","「桜花さんと？　何を話したの？」","",""
0,448,"道隆","","「話そうとしたんだけど、桜花が止めたんだ。\n汐音が居る時に聞くって」","「話そうとしたんだけど、桜花が止めたんだ。汐音が居る時に聞くって」","「話そうとしたんだけど、桜花が止めたんだ。汐音が居る時に聞くって」"
0,448,"道隆","","「昔、夜の散歩をよくやってたの覚えてるか？\n昨夜桜花と外を歩いてて、その時の事思い出したんだ」","「昔、夜の散歩をよくやってたの覚えてるか？昨夜桜花と外を歩いてて、その時の事思い出したんだ」","「昔、夜の散歩をよくやってたの覚えてるか？昨夜桜花と外を歩いてて、その時の事思い出したんだ」"
0,448,"汐音","","「う、うわぁ……そんな事もあったねぇ……」","",""
0,448,"","","汐音はやや引いている。","",""
0,448,"桜花","","「道隆は分かるけれど、汐音がその時間に外に出るとは\n珍しいと思ってね」","「道隆は分かるけれど、汐音がその時間に外に出るとは珍しいと思ってね」","「道隆は分かるけれど、汐音がその時間に外に出るとは珍しいと思ってね」"
0,448,"桜花","","「どうせ聞くなら、本人も交えた方がよさそうだと思った\nだけだよ」","「どうせ聞くなら、本人も交えた方がよさそうだと思っただけだよ」","「どうせ聞くなら、本人も交えた方がよさそうだと思っただけだよ」"
0,448,"汐音","","「……あれ？　確かにわたし怖いの苦手だけど……桜花さんに\nその話したっけ？」","「……あれ？　確かにわたし怖いの苦手だけど……桜花さんにその話したっけ？」","「……あれ？　確かにわたし怖いの苦手だけど……桜花さんにその話したっけ？」"
0,448,"道隆","","「するもしないも、桜花と初めて話をした時にめちゃくちゃ\n怖がってただろ」","「するもしないも、桜花と初めて話をした時にめちゃくちゃ怖がってただろ」","「するもしないも、桜花と初めて話をした時にめちゃくちゃ怖がってただろ」"
0,448,"汐音","","「そ、そういえば……！」","",""
0,448,"桜花","","「それ以前にも、道隆と桜花荘についての噂話をしていた事が\nあったじゃないか。その時にボクも聞いていたんだ」","「それ以前にも、道隆と桜花荘についての噂話をしていた事があったじゃないか。その時にボクも聞いていたんだ」","「それ以前にも、道隆と桜花荘についての噂話をしていた事があったじゃないか。その時にボクも聞いていたんだ」"
0,448,"汐音","","「引っ越してきた日だよねぇ……アレも聞かれてたんだぁ」","",""
