"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"道隆","","（やっぱり怪談話だよな……）","",""
0,448,"","","音楽室にいる人影はもちろんだけど『久住学園のは本物』と\nいう優枝さんの言葉も気になる。","音楽室にいる人影はもちろんだけど『久住学園のは本物』という優枝さんの言葉も気になる。","音楽室にいる人影はもちろんだけど『久住学園のは本物』という優枝さんの言葉も気になる。"
0,448,"","","波多野自身に聞けば何か分かるかもしれないし、そもそも\n本物と言われるだけの何かがあったのだろう。","波多野自身に聞けば何か分かるかもしれないし、そもそも本物と言われるだけの何かがあったのだろう。","波多野自身に聞けば何か分かるかもしれないし、そもそも本物と言われるだけの何かがあったのだろう。"
0,448,"","","改めて思うと先輩があっさりと現場にいったのも、少し\n気になる。","改めて思うと先輩があっさりと現場にいったのも、少し気になる。","改めて思うと先輩があっさりと現場にいったのも、少し気になる。"
0,448,"","","俺が色を見る事が出来るのを知ってたなら、分かる。","",""
0,448,"","","でも先輩はそうと知らずに、率先して現地に行った。","",""
0,448,"","","今までのイメージだと先輩は桜花と同じタイプだ。","",""
0,448,"","","頭が回って物事を考えて、自分なりの解釈をする。\n幽霊の桜花と違って生身だから、自分自身でも動く。","頭が回って物事を考えて、自分なりの解釈をする。幽霊の桜花と違って生身だから、自分自身でも動く。","頭が回って物事を考えて、自分なりの解釈をする。幽霊の桜花と違って生身だから、自分自身でも動く。"
0,448,"","","……その先輩だから『日時的に丁度いい』って理由で見にいく\nのも納得ではあるんだけれど……。","……その先輩だから『日時的に丁度いい』って理由で見にいくのも納得ではあるんだけれど……。","……その先輩だから『日時的に丁度いい』って理由で見にいくのも納得ではあるんだけれど……。"
0,448,"","","積極的すぎるという違和感が、今も残ったままになっている。","",""
0,448,"","","となるとこれから先輩の所に行くべきか？","",""
0,448,"","","一度考え始めた事から抜けられない。","",""
0,448,"","","波多野の事情とかも、その過程で分かるかもしれないし……。","",""
0,448,"","","分からなかったとしても、麗奈もあまり深入りして欲しく\nなかった雰囲気だった。","分からなかったとしても、麗奈もあまり深入りして欲しくなかった雰囲気だった。","分からなかったとしても、麗奈もあまり深入りして欲しくなかった雰囲気だった。"
0,448,"道隆","","（あっちは任せて、俺は先輩の方を手伝うとしよう）","",""
0,448,"","","そう思って、校舎に戻ろうと踵を返す。","",""
0,448,"恋","","「きゃ――」","",""
0,448,"","","歩いてきた人とぶつかりかけて、慌てて避けた。","",""
0,448,"恋","","「わっ、わわっ」","",""
0,448,"","","俺がギリギリで避けた事で、逆にバランスを崩した先生が\n転んでしまった。","俺がギリギリで避けた事で、逆にバランスを崩した先生が転んでしまった。","俺がギリギリで避けた事で、逆にバランスを崩した先生が転んでしまった。"
0,448,"恋","","「いたた……」","",""
0,448,"道隆","","「すみませんっ。大丈夫でした？」","",""
0,448,"恋","","「え、ええ。なんとか……」","",""
0,448,"","","落ちた先生の鞄を拾って、立ちあがるのに手を貸した。","",""
0,448,"","","見た感じ怪我はないようだ。","",""
0,448,"恋","","「びっくりした。いきなり振り返るんだもの」","",""
0,448,"道隆","","「すみません。まさかすぐ後ろにいたとは」","",""
0,448,"恋","","「ずっと立ち止まってたから、どうしたのかと思って。\n声かけようとした直前だったから、それで驚いちゃった」","「ずっと立ち止まってたから、どうしたのかと思って。声かけようとした直前だったから、それで驚いちゃった」","「ずっと立ち止まってたから、どうしたのかと思って。声かけようとした直前だったから、それで驚いちゃった」"
0,448,"道隆","","「あの、先輩……あ、生徒会長ってまだ校舎にいますか？」","",""
0,448,"恋","","「[かささぎ]鵲さん？　さあ、生徒会があるなら残ってると思うけれど」","「かささぎさん？　さあ、生徒会があるなら残ってると思うけれど」","「鵲さん？　さあ、生徒会があるなら残ってると思うけれど」"
0,448,"道隆","","「わかりました。ありがとうございます」","",""
0,448,"","","先生に頭をさげて、校舎に戻った。","",""
0,464,"","","近い所で中庭を見て回ったが、先輩の姿はない。","",""
0,448,"道隆","","（そういや前に猫の里親探しで、校舎で会ったっけな……。\n中を見て回ってる感じだったけど）","（そういや前に猫の里親探しで、校舎で会ったっけな……。中を見て回ってる感じだったけど）","（そういや前に猫の里親探しで、校舎で会ったっけな……。中を見て回ってる感じだったけど）"
0,464,"","","鞄は昇降口に置いて、中に入った。","",""
0,448,"","","先輩がどこにいるか分からないから、適当に足で探して回る。","",""
0,448,"道隆","","（……というか生徒会長なら生徒会室か？）","",""
0,464,"","","廊下に出る。","",""
0,448,"","","生徒会室は３階にあったはず。","",""
0,448,"","","生徒会室とプレートの掛かった部屋をノックする。","",""
0,448,"","","………………。","",""
0,448,"道隆","","「…………誰もいないか」","",""
