"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","桜花の提案で、建物の中を見て回る事にした。","",""
0,448,"","","彼女がこの建物を軸にした想いの幻なら、実際に見た方が\n良いだろうという理屈だ。","彼女がこの建物を軸にした想いの幻なら、実際に見た方が良いだろうという理屈だ。","彼女がこの建物を軸にした想いの幻なら、実際に見た方が良いだろうという理屈だ。"
0,448,"桜花","","「先ほど来られた女性は隣に住んでいる方ですね」","",""
0,448,"道隆","","「ああ、千歳さんって言うんだ。\n以前住んでたじいさんの孫で妹が一人いるけど……。はぁ」","「ああ、千歳さんって言うんだ。以前住んでたじいさんの孫で妹が一人いるけど……。はぁ」","「ああ、千歳さんって言うんだ。以前住んでたじいさんの孫で妹が一人いるけど……。はぁ」"
0,448,"桜花","","「けど、なんですか？\nそしてそのため息も」","「けど、なんですか？そしてそのため息も」","「けど、なんですか？そしてそのため息も」"
0,448,"道隆","","「…………だってコレ、桜花の説明を信じるなら、俺が俺の\n見てる幻に対して、知ってる事を話してる訳じゃないか」","「…………だってコレ、桜花の説明を信じるなら、俺が俺の見てる幻に対して、知ってる事を話してる訳じゃないか」","「…………だってコレ、桜花の説明を信じるなら、俺が俺の見てる幻に対して、知ってる事を話してる訳じゃないか」"
0,448,"桜花","","「ふふ、それは確かに少し虚しくなりますね」","",""
0,448,"道隆","","「だろ？　だから俺が知ってる事は改めて聞かないで欲しい」","",""
0,448,"桜花","","「さてそれはどうでしょう」","",""
0,448,"","","指を形の良い顎につけて、桜花は少し思案する。","",""
0,448,"道隆","","「というと？」","",""
0,448,"桜花","","「そのような理屈だと理解はしていたとして、人はそれで\n『納得』は出来ませんよ。むしろ、私が道隆に説明をされて\nいない自身の内容を口にしたならば……」","「そのような理屈だと理解はしていたとして、人はそれで『納得』は出来ませんよ。むしろ、私が道隆に説明をされていない自身の内容を口にしたならば……」","「そのような理屈だと理解はしていたとして、人はそれで『納得』は出来ませんよ。むしろ、私が道隆に説明をされていない自身の内容を口にしたならば……」"
0,448,"桜花","","「……その時に思うのは、きっと不愉快になるか不気味に思う\nか、いずれにしろ良くない感情のはずです」","「……その時に思うのは、きっと不愉快になるか不気味に思うか、いずれにしろ良くない感情のはずです」","「……その時に思うのは、きっと不愉快になるか不気味に思うか、いずれにしろ良くない感情のはずです」"
0,448,"道隆","","「そういうもんかな」","",""
