"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","翌日。午前中のうちに、藤宮の家を訪ねた。","",""
0,464,"汐音","","「いらっしゃい。どうしたの？」","",""
0,448,"道隆","","「特にどうという訳じゃないんだけど……」","",""
0,448,"","","桜花荘の話を知りたくて訪ねてはきたものの、どうやって\n話を切り出せばいいのか、少しだけ詰まる。","桜花荘の話を知りたくて訪ねてはきたものの、どうやって話を切り出せばいいのか、少しだけ詰まる。","桜花荘の話を知りたくて訪ねてはきたものの、どうやって話を切り出せばいいのか、少しだけ詰まる。"
0,448,"汐音","","「んん？？　遊びに来たんじゃないの？」","",""
0,448,"道隆","","「そっちはヒマしてたのか」","",""
0,448,"汐音","","「だってまだ春休みだもん。お父さんたちもお姉ちゃんも仕事\nだし、家にいてもやる事ないよ」","「だってまだ春休みだもん。お父さんたちもお姉ちゃんも仕事だし、家にいてもやる事ないよ」","「だってまだ春休みだもん。お父さんたちもお姉ちゃんも仕事だし、家にいてもやる事ないよ」"
0,448,"道隆","","「確かに」","",""
0,448,"","","俺も同じだ。\n後３日程で新学期が始まる。","俺も同じだ。後３日程で新学期が始まる。","俺も同じだ。後３日程で新学期が始まる。"
0,448,"","","桜花に付き合ってられるのも今だけだし、そうなったら新しい\n学年の新しい生活で忙しくなってしまう。","桜花に付き合ってられるのも今だけだし、そうなったら新しい学年の新しい生活で忙しくなってしまう。","桜花に付き合ってられるのも今だけだし、そうなったら新しい学年の新しい生活で忙しくなってしまう。"
0,448,"","","桜花の事に頭を悩ませていられるのも、今だけかもしれない。","",""
0,448,"汐音","","「ともかくあがってよ。遊びに来たんでしょ？」","",""
0,448,"道隆","","「あ、ああ。それなんだけど……」","",""
0,448,"道隆","","「一人だと飯もまだだろ？　外に食べにでもいかないか？」","",""
0,464,"","","桜花荘から学園に向かって歩くと、買い物に使うショッピング\nモールがある。","桜花荘から学園に向かって歩くと、買い物に使うショッピングモールがある。","桜花荘から学園に向かって歩くと、買い物に使うショッピングモールがある。"
0,448,"","","そこには昨年新しく出来た少し大きめのファミレスがある。","",""
0,448,"","","いつも謎のフェアを開催していて、定番を残しつつも季節ごと\nにメニューも入れ替わる。","いつも謎のフェアを開催していて、定番を残しつつも季節ごとにメニューも入れ替わる。","いつも謎のフェアを開催していて、定番を残しつつも季節ごとにメニューも入れ替わる。"
0,448,"","","リーズナブルな値段とメニューの目新しさにより、近隣の学生\nの憩いの場になっていた。","リーズナブルな値段とメニューの目新しさにより、近隣の学生の憩いの場になっていた。","リーズナブルな値段とメニューの目新しさにより、近隣の学生の憩いの場になっていた。"
0,464,"","","中に入ると、小柄なウェイトレスさんが目に入った。","",""
0,456,"涼子","ウェイトレス","「いらっしゃいませ」","",""
0,456,"","","若干緊張した面持ちの小柄な女の子だ。","",""
0,456,"涼子","ウェイトレス","「あ、先輩方！　こんにちはです」","",""
0,456,"","","まだ仕事に慣れてないのかややぎこちなさがあった笑みが\n慣れ親しんだ俺たちを見て笑顔になる。","まだ仕事に慣れてないのかややぎこちなさがあった笑みが慣れ親しんだ俺たちを見て笑顔になる。","まだ仕事に慣れてないのかややぎこちなさがあった笑みが慣れ親しんだ俺たちを見て笑顔になる。"
0,456,"汐音","","「こんにちはー」","",""
0,456,"道隆","","「よ。席空いてる？」","",""
0,456,"涼子","ウェイトレス","「はい。ただいまご案内いたしますね」","",""
0,456,"","","先の緊張とは一転し、手慣れた仕草で奥の席に通してくれた。","",""
0,448,"汐音","","「ありがとう。涼子ちゃん」","",""
0,448,"涼子","","「いえいえ。それではオーダーが決まりましたら、お呼び\n下さい」","「いえいえ。それではオーダーが決まりましたら、お呼び下さい」","「いえいえ。それではオーダーが決まりましたら、お呼び下さい」"
0,448,"道隆","","「あー……俺はいつもの」","",""
0,448,"汐音","","「それじゃ分からないでしょ。もう……」","",""
0,448,"涼子","","「いえいえ、分かりますよ。お任せ下さい」","",""
0,448,"","","少女がにっこりと笑ってオーダーに付け加える。","",""
0,448,"","","胸元のプレートが揺れて、そこに書いてある名前が見えた。","",""
0,448,"","","[やく]薬[し]師[りょう]涼[こ]子ちゃん。","やくしりょうこちゃん。","薬師涼子ちゃん。"
0,448,"","","中学の頃の後輩で、来週の入学式で今の学園でも俺たちの後輩\nになる。","中学の頃の後輩で、来週の入学式で今の学園でも俺たちの後輩になる。","中学の頃の後輩で、来週の入学式で今の学園でも俺たちの後輩になる。"
0,448,"","","１５０ｃｍ程度の小柄な体躯と白い肌が、どこか儚げな\n雰囲気を漂わせている。","１５０ｃｍ程度の小柄な体躯と白い肌が、どこか儚げな雰囲気を漂わせている。","１５０ｃｍ程度の小柄な体躯と白い肌が、どこか儚げな雰囲気を漂わせている。"
0,448,"","","しかし本人はそのイメージとは正反対で、運動神経もよく、\n陸上で好成績も残していて何度も表彰もされている。","しかし本人はそのイメージとは正反対で、運動神経もよく、陸上で好成績も残していて何度も表彰もされている。","しかし本人はそのイメージとは正反対で、運動神経もよく、陸上で好成績も残していて何度も表彰もされている。"
0,448,"","","性格でも体育会系のノリを持っていて、人はみかけによらない\nを地でいく子だった。","性格でも体育会系のノリを持っていて、人はみかけによらないを地でいく子だった。","性格でも体育会系のノリを持っていて、人はみかけによらないを地でいく子だった。"
0,448,"涼子","","「新堂先輩がＡランチにライス大盛り。藤宮先輩がコンビの\nプレートにデザートセット。ドリンクバーを２つですね」","「新堂先輩がＡランチにライス大盛り。藤宮先輩がコンビのプレートにデザートセット。ドリンクバーを２つですね」","「新堂先輩がＡランチにライス大盛り。藤宮先輩がコンビのプレートにデザートセット。ドリンクバーを２つですね」"
0,448,"道隆","","「……お前も『いつもの』で通るくらい、同じの頼んでるん\nじゃないか」","「……お前も『いつもの』で通るくらい、同じの頼んでるんじゃないか」","「……お前も『いつもの』で通るくらい、同じの頼んでるんじゃないか」"
0,448,"汐音","","「あ、あはは～……ええっと、じゃあ今日はスープパスタに\nしようかな……」","「あ、あはは～……ええっと、じゃあ今日はスープパスタにしようかな……」","「あ、あはは～……ええっと、じゃあ今日はスープパスタにしようかな……」"
0,448,"涼子","","「はい。かしこまりました」","",""
0,448,"","","手慣れた仕草で打ち込んで、頭を下げる。","",""
0,448,"涼子","","「それでは先輩方。ごゆっくりしていって下さい」","",""
0,448,"","","一連の動作には淀みがなくて、ベテランの風格を感じさせる程\n慣れてるように見える。","一連の動作には淀みがなくて、ベテランの風格を感じさせる程慣れてるように見える。","一連の動作には淀みがなくて、ベテランの風格を感じさせる程慣れてるように見える。"
0,448,"","","でも、彼女がバイトを始めたのは春休みからだ。\nまだ１０日くらいなのに、すっかり一人前になっていた。","でも、彼女がバイトを始めたのは春休みからだ。まだ１０日くらいなのに、すっかり一人前になっていた。","でも、彼女がバイトを始めたのは春休みからだ。まだ１０日くらいなのに、すっかり一人前になっていた。"
0,448,"汐音","","「それで？　何かあったの？」","",""
0,448,"道隆","","「何がという訳じゃないんだけど……」","",""
0,448,"","","やはりというか、汐音には話を切り出すタイミングを読まれて\nいたらしい。","やはりというか、汐音には話を切り出すタイミングを読まれていたらしい。","やはりというか、汐音には話を切り出すタイミングを読まれていたらしい。"
0,448,"","","とはいえ、改めて聞かれると、それはそれで困る。","",""
