"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","子猫の件から二日が過ぎた。","",""
0,448,"","","日曜日の午後は天気も良く、空も晴れ渡っている。","",""
0,464,"","","……だというのに俺は外に出る気にもならず、こうして家の中\nでゴロゴロと転がっていた。","……だというのに俺は外に出る気にもならず、こうして家の中でゴロゴロと転がっていた。","……だというのに俺は外に出る気にもならず、こうして家の中でゴロゴロと転がっていた。"
0,448,"桜花","","「人間は食べて寝てを繰り返すと牛になると言うけれど」","",""
0,448,"道隆","","「ずいぶん古い話持ってくるな。そんなんでなる訳ないだろ」","",""
0,448,"桜花","","「これは牛の習性を元に人を揶揄する言葉だよ。牛になると\n言うのは、ありていに言えば『今の行動は牛そのものだ』と\n馬鹿にしてるのに等しい」","「これは牛の習性を元に人を揶揄する言葉だよ。牛になると言うのは、ありていに言えば『今の行動は牛そのものだ』と馬鹿にしてるのに等しい」","「これは牛の習性を元に人を揶揄する言葉だよ。牛になると言うのは、ありていに言えば『今の行動は牛そのものだ』と馬鹿にしてるのに等しい」"
0,448,"道隆","","「…………」","",""
0,448,"","","わざわざ自分が言った言葉を解説してくれるのだから、親切\nなのか馬鹿にしてるのかよく分からない……。","わざわざ自分が言った言葉を解説してくれるのだから、親切なのか馬鹿にしてるのかよく分からない……。","わざわざ自分が言った言葉を解説してくれるのだから、親切なのか馬鹿にしてるのかよく分からない……。"
0,448,"桜花","","「それより今日は道隆に一つ頼みがあるんだ」","",""
0,448,"道隆","","「なんだ――うわわっ」","",""
0,448,"","","桜花の方を振り向くと、目の前に顔があった。","",""
0,448,"","","彼女の整った容姿が視界一面に入り、軽く鼻がぶつかりあう。","",""
0,448,"","","思わず転がってのけぞると――。","",""
0,448,"","","――ガンッ！！","",""
0,448,"道隆","","「ぐおぉぉぁつっっ！！」","",""
0,448,"","","机の足に痛打した頭を抱えてのたうちまわる。","",""
0,448,"","","目の前にあった気配はとっくに遠のき、頭上から冷ややかな声\nが降ってきた。","目の前にあった気配はとっくに遠のき、頭上から冷ややかな声が降ってきた。","目の前にあった気配はとっくに遠のき、頭上から冷ややかな声が降ってきた。"
0,448,"桜花","","「今のは痛そうだったね」","",""
0,448,"道隆","","「だ、誰のせいだよ……くっそぉ……」","",""
0,448,"","","頭をさすりながら立ち上がる。","",""
0,448,"","","桜花は気にした様子もなく近寄ってきて、俺の手を握った。","",""
0,448,"桜花","","「外を散歩してみたいんだ。\n協力してくれないかな」","「外を散歩してみたいんだ。協力してくれないかな」","「外を散歩してみたいんだ。協力してくれないかな」"
0,448,"道隆","","「………………はい？」","",""
0,448,"","","思わず、聞き返すしかなかった。","",""
0,464,"","","私服に着替えて玄関に行く。","",""
0,448,"","","俺の右手は桜花にしっかりと握られていた。","",""
0,448,"道隆","","「前にここから出られないと言ってなかったっけ」","",""
0,448,"桜花","","「言ったね」","",""
0,448,"道隆","","「それなのに外に出たいと？」","",""
0,448,"桜花","","「その通りだよ。\n出られないからこそ出てみたい。何かおかしいかい？」","「その通りだよ。出られないからこそ出てみたい。何かおかしいかい？」","「その通りだよ。出られないからこそ出てみたい。何かおかしいかい？」"
0,448,"道隆","","「おかしくはない。けど……」","",""
0,448,"桜花","","「けど？」","",""
0,448,"道隆","","「幽霊の言う事じゃねぇだろっ」","",""
0,448,"桜花","","「それは道隆の思い込みだ。\nボクだってずっと同じ所にいたら退屈するし、君が毎日楽し\nそうに外に出ていくのをみたら、憧れだってするさ」","「それは道隆の思い込みだ。ボクだってずっと同じ所にいたら退屈するし、君が毎日楽しそうに外に出ていくのをみたら、憧れだってするさ」","「それは道隆の思い込みだ。ボクだってずっと同じ所にいたら退屈するし、君が毎日楽しそうに外に出ていくのをみたら、憧れだってするさ」"
0,448,"道隆","","「……そんな楽しくないけどな」","",""
0,448,"","","土曜日だからまだ誤魔化せているが、麗奈には桜花に会わせろ\nと言われているし、汐音にも事情は話す約束をしている。","土曜日だからまだ誤魔化せているが、麗奈には桜花に会わせろと言われているし、汐音にも事情は話す約束をしている。","土曜日だからまだ誤魔化せているが、麗奈には桜花に会わせろと言われているし、汐音にも事情は話す約束をしている。"
0,448,"","","そもそも、桜花が他人に見えるかどうかすら分からない現状、\n[ほんにん,1]桜花に相談しなくちゃいけないのだが、いまいち切り出せない\nでいた。","そもそも、桜花が他人に見えるかどうかすら分からない現状、ほんにんに相談しなくちゃいけないのだが、いまいち切り出せないでいた。","そもそも、桜花が他人に見えるかどうかすら分からない現状、桜花に相談しなくちゃいけないのだが、いまいち切り出せないでいた。"
0,448,"","","無理だと言われたら、桜花の存在を証明するのは困難になる。","",""
0,448,"","","麗奈からすれば自称幽霊の世迷言を信じて暴走した頭の可哀想\nな人でしかなくなってしまう。","麗奈からすれば自称幽霊の世迷言を信じて暴走した頭の可哀想な人でしかなくなってしまう。","麗奈からすれば自称幽霊の世迷言を信じて暴走した頭の可哀想な人でしかなくなってしまう。"
0,448,"","","汐音は……千歳さんが話せるから、そっちから何とかなりそう\nだけれど、今度は仲間外れにされた疎外感を強く持ってしまい\nそうだ。","汐音は……千歳さんが話せるから、そっちから何とかなりそうだけれど、今度は仲間外れにされた疎外感を強く持ってしまいそうだ。","汐音は……千歳さんが話せるから、そっちから何とかなりそうだけれど、今度は仲間外れにされた疎外感を強く持ってしまいそうだ。"
0,448,"","","かといって、気軽にＯＫを貰ったとしても、今度はみてくれ\nだけは美少女の桜花と同じ所で住んでるのが問題になるだろう。","かといって、気軽にＯＫを貰ったとしても、今度はみてくれだけは美少女の桜花と同じ所で住んでるのが問題になるだろう。","かといって、気軽にＯＫを貰ったとしても、今度はみてくれだけは美少女の桜花と同じ所で住んでるのが問題になるだろう。"
0,448,"","","話さなくちゃいけないけれど、話しづらい。","",""
0,448,"","","さっきまでそんな状態のまま、結局どう切り出していいのか\n分からずに部屋の中に居た訳だ。","さっきまでそんな状態のまま、結局どう切り出していいのか分からずに部屋の中に居た訳だ。","さっきまでそんな状態のまま、結局どう切り出していいのか分からずに部屋の中に居た訳だ。"
0,448,"桜花","","「ま、楽しいかどうかは実際に出てから決めてみるよ。\nさあ、行こうか」","「ま、楽しいかどうかは実際に出てから決めてみるよ。さあ、行こうか」","「ま、楽しいかどうかは実際に出てから決めてみるよ。さあ、行こうか」"
0,448,"道隆","","「あ、ああ」","",""
0,448,"","","桜花曰く、この建物の敷地の中には見えない壁があると言う。","",""
0,448,"","","その壁は強固な障壁ではない物の、一歩外に出ると強い力で\n家の中に引き戻されそうになるようなのだ。","その壁は強固な障壁ではない物の、一歩外に出ると強い力で家の中に引き戻されそうになるようなのだ。","その壁は強固な障壁ではない物の、一歩外に出ると強い力で家の中に引き戻されそうになるようなのだ。"
0,464,"道隆","","「どうだ？」","",""
0,448,"桜花","","「いつもと変わらないけれど……ふむ、そうだな」","",""
0,448,"","","桜花が手を離す――と思ったら、すぐさま強く握りしめてきた。","",""
0,448,"桜花","","「前言撤回だ。やはり道隆の手を繋いでいると引き戻す力は\nずっと弱くなる。離した途端に戻されそうになった」","「前言撤回だ。やはり道隆の手を繋いでいると引き戻す力はずっと弱くなる。離した途端に戻されそうになった」","「前言撤回だ。やはり道隆の手を繋いでいると引き戻す力はずっと弱くなる。離した途端に戻されそうになった」"
0,448,"道隆","","「……なるほど、繋いでればお前も外に出られる訳か」","",""
0,448,"桜花","","「そうだね。思い付きだったけれど、上手くいった」","",""
0,448,"","","手を繋いだまま、ぶらぶらと前後に揺する。","",""
0,448,"","","ほっそりとした柔らかい手はひんやりとしていて、繋いでると\n悪い気はしないが……。","ほっそりとした柔らかい手はひんやりとしていて、繋いでると悪い気はしないが……。","ほっそりとした柔らかい手はひんやりとしていて、繋いでると悪い気はしないが……。"
0,448,"道隆","","「でもどうしてこんな事で上手くいくんだ？」","",""
0,448,"桜花","","「いくつか推論はあるよ。ともあれ、歩きながら話そうか」","",""
0,464,"","","手を繋いだまま近所を歩く。","",""
0,448,"","","日曜の昼下がりは歩いてる人もまばらだ。桜花は俺の隣を\n歩きながら、小声で話をしている。","日曜の昼下がりは歩いてる人もまばらだ。桜花は俺の隣を歩きながら、小声で話をしている。","日曜の昼下がりは歩いてる人もまばらだ。桜花は俺の隣を歩きながら、小声で話をしている。"
0,448,"桜花","","「一つめの推測として、ボクが桜花荘から離れられないのは\n変わらないのだけれど、あそこの住人である道隆がいるから\n何とかなっているというもの」","「一つめの推測として、ボクが桜花荘から離れられないのは変わらないのだけれど、あそこの住人である道隆がいるから何とかなっているというもの」","「一つめの推測として、ボクが桜花荘から離れられないのは変わらないのだけれど、あそこの住人である道隆がいるから何とかなっているというもの」"
0,448,"道隆","","「なんか携帯のアンテナみたいだな」","",""
0,448,"桜花","","「ボクは電波を飛ばしている訳じゃないけれどね」","",""
0,448,"","","二重の意味で返事に困る事を言いながら、続ける。","",""
0,448,"桜花","","「二つめが道隆がボクを見えて触れられるという事だ。\n触れている限りここにいるのだから、目に見えない力よりも\n強いのだろう」","「二つめが道隆がボクを見えて触れられるという事だ。触れている限りここにいるのだから、目に見えない力よりも強いのだろう」","「二つめが道隆がボクを見えて触れられるという事だ。触れている限りここにいるのだから、目に見えない力よりも強いのだろう」"
0,448,"道隆","","「お前の事さわれない場合もあるんだけど」","",""
0,448,"桜花","","「それは、ボク自身がそうしている時だからだ。\n今は自分自身で道隆に触れるように意識してる。物を持つ時と\n同じ感覚だね」","「それは、ボク自身がそうしている時だからだ。今は自分自身で道隆に触れるように意識してる。物を持つ時と同じ感覚だね」","「それは、ボク自身がそうしている時だからだ。今は自分自身で道隆に触れるように意識してる。物を持つ時と同じ感覚だね」"
0,448,"桜花","","「む。これを使えば風呂場で道隆の背中を流してあげることも\n出来ると思うよ」","「む。これを使えば風呂場で道隆の背中を流してあげることも出来ると思うよ」","「む。これを使えば風呂場で道隆の背中を流してあげることも出来ると思うよ」"
0,448,"道隆","","「……それはいいから」","",""
0,448,"桜花","","「今の間は、ちょっと期待したね？」","",""
0,448,"道隆","","「……やられたら嬉しいかもしれないけど、実際にやられたら\nすごく困りそうなんだよ」","「……やられたら嬉しいかもしれないけど、実際にやられたらすごく困りそうなんだよ」","「……やられたら嬉しいかもしれないけど、実際にやられたらすごく困りそうなんだよ」"
0,448,"桜花","","「だんだん素直になってきたね。良い事だよ」","",""
0,448,"","","一人で勝手に頷いてやがる。","",""
0,448,"桜花","","「結局の所、理由は分からないのは同じだ。\nだから正確な情報ではなく、求めた物と同じ結果を導きだせた\nらそれでいいと思っている」","「結局の所、理由は分からないのは同じだ。だから正確な情報ではなく、求めた物と同じ結果を導きだせたらそれでいいと思っている」","「結局の所、理由は分からないのは同じだ。だから正確な情報ではなく、求めた物と同じ結果を導きだせたらそれでいいと思っている」"
0,448,"道隆","","「…………そっか」","",""
0,464,"","","だから桜花にとっては外に出たいと思い、実際に外に出られた。\nそれが全てであって細かい理由はどうでもいいのだろう。","だから桜花にとっては外に出たいと思い、実際に外に出られた。それが全てであって細かい理由はどうでもいいのだろう。","だから桜花にとっては外に出たいと思い、実際に外に出られた。それが全てであって細かい理由はどうでもいいのだろう。"
0,448,"","","実際は分かるに越した事ないのだろうけれど、突き詰めていく\nと『人間がどうして生きているのか？』と同じく、思考回路が\nパンクしてしまう程の難問になってしまう。","実際は分かるに越した事ないのだろうけれど、突き詰めていくと『人間がどうして生きているのか？』と同じく、思考回路がパンクしてしまう程の難問になってしまう。","実際は分かるに越した事ないのだろうけれど、突き詰めていくと『人間がどうして生きているのか？』と同じく、思考回路がパンクしてしまう程の難問になってしまう。"
