"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","頬を撫でる風を感じて、目が覚めた。","",""
0,448,"道隆","","「……あ……れ……？」","",""
0,448,"","","寝る前に窓は閉めていたはずだ。","",""
0,448,"","","春から夏に変わりゆく季節とはいえ、まだ夜は肌寒い。\nそのため寝る前に気をつけてたはずだ。","春から夏に変わりゆく季節とはいえ、まだ夜は肌寒い。そのため寝る前に気をつけてたはずだ。","春から夏に変わりゆく季節とはいえ、まだ夜は肌寒い。そのため寝る前に気をつけてたはずだ。"
0,448,"道隆","","「――――！？」","",""
0,448,"","","そして不意に感じる人の気配。","",""
0,448,"汐音","","「わ、起きちゃった」","",""
0,448,"","","瞬間、この前の事――汐音がおかしくなって、不本意な初体験\nをしてしまった時の事を思い出した。","瞬間、この前の事――汐音がおかしくなって、不本意な初体験をしてしまった時の事を思い出した。","瞬間、この前の事――汐音がおかしくなって、不本意な初体験をしてしまった時の事を思い出した。"
0,448,"汐音","","「ごめん、びっくりした？」","",""
0,448,"道隆","","「あ、ああ……」","",""
0,448,"","","でもあの時とは違って汐音はまとものようだ。","",""
0,448,"道隆","","「どうしたんだ？　こんな時間に」","",""
0,448,"汐音","","「う――うん。ちょっとね」","",""
0,448,"","","そう言って俺に身を寄せてくる。","",""
0,448,"汐音","","「少しだけこうしてもいい？」","",""
0,448,"道隆","","「いいけど……？」","",""
0,448,"","","体が小さく震えている。\n怖いのを抑えているような、何かを必死に押しとどめている\nような――そんな感じだ。","体が小さく震えている。怖いのを抑えているような、何かを必死に押しとどめているような――そんな感じだ。","体が小さく震えている。怖いのを抑えているような、何かを必死に押しとどめているような――そんな感じだ。"
0,448,"汐音","","「変な夢を見ちゃって……それで眠れなくなって」","",""
0,448,"道隆","","「それで来たのか……」","",""
0,448,"汐音","","「……うん。ごめんね。起こすつもりは無かったんだけど」","",""
0,448,"道隆","","「何の夢見てたんだ？」","",""
0,448,"汐音","","「…………」","",""
0,448,"","","汐音は黙って頭を振った。\n覚えてないのかそれとも言いたくないのか。","汐音は黙って頭を振った。覚えてないのかそれとも言いたくないのか。","汐音は黙って頭を振った。覚えてないのかそれとも言いたくないのか。"
0,448,"","","どちらにしても、どうせ夢の話だ。\n俺も無理に聞きだすつもりはない。","どちらにしても、どうせ夢の話だ。俺も無理に聞きだすつもりはない。","どちらにしても、どうせ夢の話だ。俺も無理に聞きだすつもりはない。"
0,448,"道隆","","「分かった、しばらくこうしてる」","",""
