"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"道隆","","「……悪かったな。今日はありがとう」","",""
0,448,"修平","","「いや……ただの山登りでしかなかったが、本当にあれで\nよかったのか？」","「いや……ただの山登りでしかなかったが、本当にあれでよかったのか？」","「いや……ただの山登りでしかなかったが、本当にあれでよかったのか？」"
0,448,"桜花","","「ああ、本当に感謝している……。\n来てくれなかったら、心底困った事態になっていた」","「ああ、本当に感謝している……。来てくれなかったら、心底困った事態になっていた」","「ああ、本当に感謝している……。来てくれなかったら、心底困った事態になっていた」"
0,448,"修平","","「……そうか？」","",""
0,448,"","","修平自身は自覚がないのか、首を傾げている。","",""
0,448,"桜花","","「では、帰ろうか」","",""
0,448,"","","桜花の言葉に頷く。","",""
0,448,"","","そこで解散になった。","",""
0,464,"","","帰りつくなり、桜花は自室にしている一階の客間に入って\nいった。","帰りつくなり、桜花は自室にしている一階の客間に入っていった。","帰りつくなり、桜花は自室にしている一階の客間に入っていった。"
0,448,"","","俺自身にも休むように、強く念押しをして。","",""
0,448,"","","畳の上に転がりながら、さっきの桜花の様子を思い出してた。","",""
0,464,"道隆","","（……なんで、あんな表情……）","",""
0,464,"","","桜花は何に気づいたんだろう？","",""
0,448,"","","それが全ての元になっているのは間違いない。","",""
0,448,"","","でも、俺自身はそこまで到達出来ていない。","",""
0,448,"","","これが二人の差になっている。","",""
0,448,"道隆","","「……桜花」","",""
0,448,"","","……桜花が何も言わない理由。","",""
0,448,"","","それは多分……いや、間違いなく、俺自身に深く関わる理由が\nあるからだった。","それは多分……いや、間違いなく、俺自身に深く関わる理由があるからだった。","それは多分……いや、間違いなく、俺自身に深く関わる理由があるからだった。"
0,448,"桜花","","「……道隆」","",""
0,448,"道隆","","「……今日は来ないのかと思った」","",""
0,448,"桜花","","「なんだ、待っていたのかい？」","",""
0,448,"","","そう言いながら桜花が袴に手を掛ける。","",""
0,448,"道隆","","「……そっちじゃなくて。\nあ、疲れてる時じゃないならいつでも大歓迎だけど」","「……そっちじゃなくて。あ、疲れてる時じゃないならいつでも大歓迎だけど」","「……そっちじゃなくて。あ、疲れてる時じゃないならいつでも大歓迎だけど」"
0,448,"桜花","","「そうだね、ボクも道隆に抱かれるのは好きだから、\nいつでも求めてくれて構わないよ」","「そうだね、ボクも道隆に抱かれるのは好きだから、いつでも求めてくれて構わないよ」","「そうだね、ボクも道隆に抱かれるのは好きだから、いつでも求めてくれて構わないよ」"
0,448,"道隆","","「……真面目な話、なんだな？」","",""
0,448,"桜花","","「ああ、これ以上ないほどに」","",""
0,448,"","","桜花の様子に、覚悟を決める。","",""
0,448,"","","……居住まいを正して、桜花に向き直った。","",""
0,448,"桜花","","「まず最初に、先ほど見た物の解明をしておこうか」","",""
0,448,"道隆","","「…………分かったのか？」","",""
0,448,"","","桜花が頷く。","",""
0,448,"桜花","","「そもそも、気づいてしまえば簡単だった」","",""
0,448,"桜花","","「いや、違うかな。\nこの場合は気づくという行為自体が、通常の発想の外に\nある物だった」","「いや、違うかな。この場合は気づくという行為自体が、通常の発想の外にある物だった」","「いや、違うかな。この場合は気づくという行為自体が、通常の発想の外にある物だった」"
0,448,"桜花","","「ちょっと来て欲しい」","",""
0,464,"","","桜花が案内してきたのは、書庫だった。","",""
