"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","夕方になって、汐音が帰ってきた。","",""
0,448,"","","あらかじめメールで送っておいた通り、修平と波多野も\n呼んでくれたらしい。","あらかじめメールで送っておいた通り、修平と波多野も呼んでくれたらしい。","あらかじめメールで送っておいた通り、修平と波多野も呼んでくれたらしい。"
0,464,"汐音","","「あ！　良かった、もう起きあがれるんだ」","",""
0,448,"道隆","","「心配かけたな……二人もありがとう。助かった」","",""
0,448,"修平","","「元は俺の迷惑だ。こっちこそすまん」","",""
0,448,"美奈","","「いえ……お礼を言われるほどでは」","",""
0,448,"汐音","","「麗奈ちゃんも後から来るって言ってたよ」","",""
0,448,"道隆","","「一緒に来ればよかったのに、何か用事でもあったのか？」","",""
0,448,"汐音","","「おじさんたちの所に伝えてから行くって」","",""
0,448,"道隆","","「うちの親父達に？」","",""
0,448,"汐音","","「うん、連絡はしてあるのって麗奈ちゃんに聞かれたから、\n昨日伝えてあるって言ったら、心配しないでもいいって\n言ってくるって」","「うん、連絡はしてあるのって麗奈ちゃんに聞かれたから、昨日伝えてあるって言ったら、心配しないでもいいって言ってくるって」","「うん、連絡はしてあるのって麗奈ちゃんに聞かれたから、昨日伝えてあるって言ったら、心配しないでもいいって言ってくるって」"
0,448,"道隆","","「そっか……」","",""
0,448,"","","麗奈も汐音から断片的に聞いているだけだから、色々と\n聞きたい気持ちはあるだろう。","麗奈も汐音から断片的に聞いているだけだから、色々と聞きたい気持ちはあるだろう。","麗奈も汐音から断片的に聞いているだけだから、色々と聞きたい気持ちはあるだろう。"
0,448,"","","それでも俺の家の事に気をまわしてくれるのがありがたかった。","",""
0,448,"桜花","","「それより玄関の前で立ち話をさせるのも申し訳ないよ。\n上がって貰ったらどうかな」","「それより玄関の前で立ち話をさせるのも申し訳ないよ。上がって貰ったらどうかな」","「それより玄関の前で立ち話をさせるのも申し訳ないよ。上がって貰ったらどうかな」"
0,448,"美奈","","「――――っ」","",""
0,448,"","","桜花が姿を見せた事で、波多野が息を飲んだ。","",""
0,448,"","","……昨日見られているはずだから、この反応も当然だ。","",""
0,448,"道隆","","「それもそうだな……上がってくれ」","",""
0,464,"道隆","","「改めて、二人とも昨日は助かった。ありがとう」","",""
0,448,"桜花","","「ボクからも礼を言う。助太刀感謝するよ」","",""
0,448,"修平","","「いや……元々は俺の用件だ。迷惑かけたな」","",""
0,448,"道隆","","「それはさっきも聞いたって」","",""
0,448,"美奈","","「……あの、それでこちらの方は……？」","",""
0,448,"汐音","","「桜花さんって言うの。ここに住んでいる……えっと……」","",""
0,448,"桜花","","「世間的には幽霊みたいなものだよ」","",""
0,448,"修平","","「ほぉ」","",""
0,448,"美奈","","「…………」","",""
0,448,"美奈","","「……昨日、新堂君の体からすぅって出てくるの見た……けど」","",""
0,448,"汐音","","「ええっ！？」","",""
0,448,"道隆","","「ああ……あれか……」","",""
0,448,"桜花","","「別に取り憑いていた訳じゃないよ」","",""
0,448,"","","桜花が苦笑する。","",""
0,448,"","","さっきまでのぎくしゃくした感じも無くなっている。\nすっかり普段の桜花だった。","さっきまでのぎくしゃくした感じも無くなっている。すっかり普段の桜花だった。","さっきまでのぎくしゃくした感じも無くなっている。すっかり普段の桜花だった。"
0,448,"桜花","","「ただボクも道隆も腕っぷしには自信がなくてね。\nそれであんな合わせ技を使っていたんだ」","「ただボクも道隆も腕っぷしには自信がなくてね。それであんな合わせ技を使っていたんだ」","「ただボクも道隆も腕っぷしには自信がなくてね。それであんな合わせ技を使っていたんだ」"
0,448,"修平","","「その割には良い動きをしていたが」","",""
0,448,"桜花","","「見ていたのかい？」","",""
0,448,"修平","","「見えたんだ」","",""
0,448,"桜花","","「道隆のたぐいまれな能力のおかげでね」","",""
0,448,"","","波多野は考え込んでいるようだった。","",""
0,448,"美奈","","「……そう……でも、どうしてあんな事に？」","",""
0,448,"道隆","","「正直、俺にもよく分からない。\nただ、一番の原因を上げるとしたら、コレなんだと思う」","「正直、俺にもよく分からない。ただ、一番の原因を上げるとしたら、コレなんだと思う」","「正直、俺にもよく分からない。ただ、一番の原因を上げるとしたら、コレなんだと思う」"
0,448,"","","拾ってきた『石』は今も変わらず手元にある。","",""
0,448,"","","ハンカチに包んだまま、机の上に置いてあった。\n多分千歳さんが置いたのだろう。","ハンカチに包んだまま、机の上に置いてあった。多分千歳さんが置いたのだろう。","ハンカチに包んだまま、机の上に置いてあった。多分千歳さんが置いたのだろう。"
0,448,"汐音","","「ああーっ。これ！　どうしたの？\n昨日の人、これが無いって途中から騒いでたよ」","「ああーっ。これ！　どうしたの？昨日の人、これが無いって途中から騒いでたよ」","「ああーっ。これ！　どうしたの？昨日の人、これが無いって途中から騒いでたよ」"
0,448,"道隆","","「そういやあいつは？」","",""
0,448,"汐音","","「さあ……わたしまっすぐ帰ってきたから……。\n家に戻ったんじゃないかな？」","「さあ……わたしまっすぐ帰ってきたから……。家に戻ったんじゃないかな？」","「さあ……わたしまっすぐ帰ってきたから……。家に戻ったんじゃないかな？」"
0,448,"桜花","","「その可能性は高いだろうね。もしくは現場に戻っていたか。\n動機がメディアで語られた所を見ると、警察に被害を訴えたの\nかもしれないしね」","「その可能性は高いだろうね。もしくは現場に戻っていたか。動機がメディアで語られた所を見ると、警察に被害を訴えたのかもしれないしね」","「その可能性は高いだろうね。もしくは現場に戻っていたか。動機がメディアで語られた所を見ると、警察に被害を訴えたのかもしれないしね」"
0,448,"道隆","","「そっか……」","",""
0,448,"修平","","「こいつは結局なんなんだ？」","",""
0,448,"","","修平が摘まみあげる。","",""
0,448,"桜花","","「それで自分を切らないように気をつけてくれ」","",""
0,448,"修平","","「ああ」","",""
0,448,"美奈","","「綺麗な石……だけど、なんだか変な形。\nナイフみたい」","「綺麗な石……だけど、なんだか変な形。ナイフみたい」","「綺麗な石……だけど、なんだか変な形。ナイフみたい」"
0,448,"道隆","","「多分その用途で使われてたのは間違いないと思う」","",""
0,448,"汐音","","「なんだかおかしかったよねぇ。昨日の人もいきなり自分を\n切ったりとか……」","「なんだかおかしかったよねぇ。昨日の人もいきなり自分を切ったりとか……」","「なんだかおかしかったよねぇ。昨日の人もいきなり自分を切ったりとか……」"
0,448,"汐音","","「でも……うう～～～ん……どこかで見た事あるなぁ」","",""
0,448,"道隆","","「そうなのか？」","",""
0,448,"汐音","","「うん、なんだかすごく見覚えがあって、でも……う～～ん。\n全然思い出せない……」","「うん、なんだかすごく見覚えがあって、でも……う～～ん。全然思い出せない……」","「うん、なんだかすごく見覚えがあって、でも……う～～ん。全然思い出せない……」"
0,448,"桜花","","「あるいは過去に手に取った事があるのかもしれないね」","",""
0,448,"道隆","","「それこそまさかだろ」","",""
0,448,"桜花","","「いや、結局は出所不明の物にすぎない。偶然にしろ何にしろ\n子供の頃に見たり触れた可能性もある」","「いや、結局は出所不明の物にすぎない。偶然にしろ何にしろ子供の頃に見たり触れた可能性もある」","「いや、結局は出所不明の物にすぎない。偶然にしろ何にしろ子供の頃に見たり触れた可能性もある」"
0,448,"汐音","","「でもそんな気がするってだけだから」","",""
0,448,"修平","","「何に使われていた物なんだ？　ナイフか？」","",""
0,448,"","","結局そこが分からない。","",""
0,464,"","","昨日の様子はどちらも異常だった。","",""
