"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","森から外に出た時には、お昼も大きく回っていた。","",""
0,464,"美緒","","「ありがとうございましたっ」","",""
0,448,"桜花","","「礼なんて構わないよ」","",""
0,448,"道隆","","「そうそう。無事に見つかってよかった」","",""
0,448,"美緒","","「それじゃあ、届けにいってきますっ」","",""
0,448,"","","女の子物の靴を手に満面の笑顔の美緒ちゃんは、とても\nまぶしいくらいの喜びにあふれていた。","女の子物の靴を手に満面の笑顔の美緒ちゃんは、とてもまぶしいくらいの喜びにあふれていた。","女の子物の靴を手に満面の笑顔の美緒ちゃんは、とてもまぶしいくらいの喜びにあふれていた。"
0,448,"道隆","","「デートの途中だったのに、ちょっと時間取られちまったな」","",""
0,448,"","","桜花に手を出す。","",""
0,448,"","","……その手が泥にまみれて真っ黒だった。","",""
0,448,"桜花","","「引っ込めなくて構わない。ボクも同じようなものだ」","",""
0,448,"","","桜花は俺の泥まみれの手を取った。","",""
0,448,"桜花","","「まずは洗いにでも行こうか。\nその先どこに行くかは、それから考えよう」","「まずは洗いにでも行こうか。その先どこに行くかは、それから考えよう」","「まずは洗いにでも行こうか。その先どこに行くかは、それから考えよう」"
0,448,"道隆","","「ああ」","",""
0,464,"","","泥にまみれた手でも桜花は俺を掴んでくれる。","",""
0,448,"","","そして逆も同じだ。","",""
0,448,"","","桜花の手が泥まみれであっても、俺はこうして掴んでいる。","",""
0,448,"","","きっと綺麗なままにしておくよりも、俺たちは泥臭い事が\n似合っているのだろう。","きっと綺麗なままにしておくよりも、俺たちは泥臭い事が似合っているのだろう。","きっと綺麗なままにしておくよりも、俺たちは泥臭い事が似合っているのだろう。"
0,464,"桜花","","「……なんだい？」","",""
0,448,"","","横顔を見ているのに気づいたのか、桜花が聞いてくる。","",""
0,448,"道隆","","「いや、何でも。\n今日も美人だなと思ってた」","「いや、何でも。今日も美人だなと思ってた」","「いや、何でも。今日も美人だなと思ってた」"
0,448,"桜花","","「…………熱でもあるのかな？\nやはり帰って看病をしてあげた方がいいのかもしれない」","「…………熱でもあるのかな？やはり帰って看病をしてあげた方がいいのかもしれない」","「…………熱でもあるのかな？やはり帰って看病をしてあげた方がいいのかもしれない」"
0,448,"道隆","","「ああ、そんなんじゃないって！」","",""
0,448,"桜花","","「ふふ、わかってるよ」","",""
0,448,"","","桜花が照れ隠しに笑う。","",""
0,448,"","","こんな日がずっと続く事を祈って――二人で公園の中を\n駆けだした。","こんな日がずっと続く事を祈って――二人で公園の中を駆けだした。","こんな日がずっと続く事を祈って――二人で公園の中を駆けだした。"
2,464,"","","手洗いの水で泥を落として、ハンカチで拭った。","",""
2,448,"道隆","","「使うか？」","",""
2,448,"桜花","","「すまない」","",""
2,448,"","","桜花にハンカチを渡す。","",""
2,448,"","","――ズキン。","",""
2,448,"道隆","","「――――っ」","",""
2,448,"","","さっき、過去の色まで見ようとしたせいだろうか。","",""
2,448,"","","鋭く刺すような頭痛に、一瞬目の前が暗くなった。","",""
2,448,"桜花","","「道隆？　大丈夫かい……？」","",""
2,448,"道隆","","「あ、ああ。平気だ。何ともない……」","",""
2,448,"桜花","","「……そうか。安心した。\n今一瞬目の色が……ああ、いや、見間違いかな」","「……そうか。安心した。今一瞬目の色が……ああ、いや、見間違いかな」","「……そうか。安心した。今一瞬目の色が……ああ、いや、見間違いかな」"
2,448,"道隆","","「ああ、大丈夫。いきなり走ったから酸素が足りなくなった\nのかも……」","「ああ、大丈夫。いきなり走ったから酸素が足りなくなったのかも……」","「ああ、大丈夫。いきなり走ったから酸素が足りなくなったのかも……」"
2,448,"","","桜花の姿が、瞬間かすむ。","",""
2,448,"","","ノイズが走ったように、桜花の体が大気に解けたような\n気がした。","ノイズが走ったように、桜花の体が大気に解けたような気がした。","ノイズが走ったように、桜花の体が大気に解けたような気がした。"
2,448,"道隆","","「…………え？」","",""
2,448,"桜花","","「それはこっちの台詞だ。本当に大丈夫か？」","",""
2,448,"道隆","","「あ、……ああ、大丈夫」","",""
2,448,"","","周囲を見渡しても、特に何ともない。","",""
2,448,"","","桜花も全く変わっていなかった。","",""
2,448,"桜花","","「まだまだ遊びに行くのだろう？\n体調が悪かったら無理せずに帰ってもいいんだよ」","「まだまだ遊びに行くのだろう？体調が悪かったら無理せずに帰ってもいいんだよ」","「まだまだ遊びに行くのだろう？体調が悪かったら無理せずに帰ってもいいんだよ」"
2,448,"道隆","","「平気だって。それじゃ次はどこに行こうか」","",""
2,448,"桜花","","「そうだな……映画なんか良いかもしれないね。\n恋人同士の定番だ」","「そうだな……映画なんか良いかもしれないね。恋人同士の定番だ」","「そうだな……映画なんか良いかもしれないね。恋人同士の定番だ」"
2,448,"道隆","","「分かった。それじゃ行こう」","",""
2,464,"","","桜花と手を取りあって、歩きだす。","",""
2,448,"","","この先の道は、どこまで続くか分からない。","",""
2,448,"","","でも二人一緒に、行ける先まで……。","",""
