"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"汐音","","「おはよう～～。タカちゃんなんだか元気だね」","",""
0,448,"道隆","","「そうか？　桜花荘に住むようになってから、規則正しく\nなってきた感じはするけど」","「そうか？　桜花荘に住むようになってから、規則正しくなってきた感じはするけど」","「そうか？　桜花荘に住むようになってから、規則正しくなってきた感じはするけど」"
0,448,"汐音","","「桜花さんいるからじゃない？」","",""
0,448,"道隆","","「……やっぱそう思うか」","",""
0,448,"汐音","","「桜花さんの前だと、自分もちゃんとしなくちゃって気分に\nなるもん」","「桜花さんの前だと、自分もちゃんとしなくちゃって気分になるもん」","「桜花さんの前だと、自分もちゃんとしなくちゃって気分になるもん」"
0,448,"桜花","","「その評価は不本意だけれどね」","",""
0,448,"汐音","","「あ、桜花さん」","",""
0,448,"桜花","","「ただ自分を律するという意味では、道隆自身が頑張って\nいるのだろう」","「ただ自分を律するという意味では、道隆自身が頑張っているのだろう」","「ただ自分を律するという意味では、道隆自身が頑張っているのだろう」"
0,448,"道隆","","「……こういう風にさりげなく評価出されるから、下手な事が\n出来ないってのは自覚して欲しい」","「……こういう風にさりげなく評価出されるから、下手な事が出来ないってのは自覚して欲しい」","「……こういう風にさりげなく評価出されるから、下手な事が出来ないってのは自覚して欲しい」"
0,448,"汐音","","「そういうのあるかも……ところで桜花さんは？\nお見送りにきてくれたの？」","「そういうのあるかも……ところで桜花さんは？お見送りにきてくれたの？」","「そういうのあるかも……ところで桜花さんは？お見送りにきてくれたの？」"
0,448,"桜花","","「そのついでに少し朝の散歩をしようと思ってね。\n適度に日にあたって歩いた方が、健康には良いらしいから」","「そのついでに少し朝の散歩をしようと思ってね。適度に日にあたって歩いた方が、健康には良いらしいから」","「そのついでに少し朝の散歩をしようと思ってね。適度に日にあたって歩いた方が、健康には良いらしいから」"
0,448,"汐音","","「それじゃ今日は早いから、歩きにしようっか。\n桜花さんも途中まで一緒に行こう」","「それじゃ今日は早いから、歩きにしようっか。桜花さんも途中まで一緒に行こう」","「それじゃ今日は早いから、歩きにしようっか。桜花さんも途中まで一緒に行こう」"
0,448,"桜花","","「ああ、よろしく頼むよ」","",""
0,448,"","","慣れた物で幽霊が『日に当たる』とか『健康』といった部分は\nもう二人とも突っ込まなかった。","慣れた物で幽霊が『日に当たる』とか『健康』といった部分はもう二人とも突っ込まなかった。","慣れた物で幽霊が『日に当たる』とか『健康』といった部分はもう二人とも突っ込まなかった。"
0,456,"","","汐音と連れだって学園までの道のりを歩いていく。","",""
0,456,"","","桜花は一歩遅れた位置から、回りを物珍しそうに見ていた。","",""
0,456,"桜花","","「同じ制服を着た人達が同じ目的地に向かって歩いてるのは\nこれはこれで物珍しく見える」","「同じ制服を着た人達が同じ目的地に向かって歩いてるのはこれはこれで物珍しく見える」","「同じ制服を着た人達が同じ目的地に向かって歩いてるのはこれはこれで物珍しく見える」"
0,456,"汐音","","「わたしはタカちゃんが一緒の道歩いてるのが、今でも\nすごく珍しく思うよ」","「わたしはタカちゃんが一緒の道歩いてるのが、今でもすごく珍しく思うよ」","「わたしはタカちゃんが一緒の道歩いてるのが、今でもすごく珍しく思うよ」"
0,456,"道隆","","「そうだな。汐音と一緒に行く事ってあんまりなかったし」","",""
0,456,"汐音","","「例外みたいなのはあったけど」","",""
0,456,"桜花","","「例外？　どんな状況だったんだい？」","",""
0,456,"汐音","","「昔の話だけどね。涼子ちゃんが怪我しちゃった時があって\nわたしとタカちゃんで登校の送り迎えしてた時があったの」","「昔の話だけどね。涼子ちゃんが怪我しちゃった時があってわたしとタカちゃんで登校の送り迎えしてた時があったの」","「昔の話だけどね。涼子ちゃんが怪我しちゃった時があってわたしとタカちゃんで登校の送り迎えしてた時があったの」"
0,456,"桜花","","「へぇ」","",""
0,456,"汐音","","「その時は朝と帰り待ち合わせて、三人で一緒に行ってたんだ」","",""
0,456,"桜花","","「なるほどね……涼子がずいぶん慕っている様子だったのは\nそういった経緯もあったからなのか」","「なるほどね……涼子がずいぶん慕っている様子だったのはそういった経緯もあったからなのか」","「なるほどね……涼子がずいぶん慕っている様子だったのはそういった経緯もあったからなのか」"
0,456,"汐音","","「うう～～ん、どうなんだろう。そこは単に涼子ちゃんの\n性格って感じもするけれど」","「うう～～ん、どうなんだろう。そこは単に涼子ちゃんの性格って感じもするけれど」","「うう～～ん、どうなんだろう。そこは単に涼子ちゃんの性格って感じもするけれど」"
0,456,"","","そんな話をしながら歩いていく。","",""
0,464,"桜花","","「おや？　こっちを通るのかい？」","",""
0,448,"道隆","","「歩きだとここを突っ切った方が早く行けるんだ」","",""
0,448,"桜花","","「なるほど、こういうのも徒歩の醍醐味だね。\n朝の空気が気持ちいい」","「なるほど、こういうのも徒歩の醍醐味だね。朝の空気が気持ちいい」","「なるほど、こういうのも徒歩の醍醐味だね。朝の空気が気持ちいい」"
0,448,"汐音","","「森の中って散歩に丁度いいよね」","",""
0,448,"道隆","","「この奥に秘密基地作った事もあったっけな……」","",""
0,448,"汐音","","「麗奈ちゃんとでしょ？　もー」","",""
0,448,"道隆","","「お前とも作っただろ」","",""
0,448,"桜花","","「それは別の所に？」","",""
0,448,"道隆","","「子供の頃って、ちょっと遠くにいっていい所見つけると\n勝手に自分の秘密基地にしてたんだよ」","「子供の頃って、ちょっと遠くにいっていい所見つけると勝手に自分の秘密基地にしてたんだよ」","「子供の頃って、ちょっと遠くにいっていい所見つけると勝手に自分の秘密基地にしてたんだよ」"
0,448,"道隆","","「汐音と作ったのは、もっと山の方に行った所だよな」","",""
0,448,"汐音","","「うん。こっち側じゃなく大通り進んでいった所」","",""
0,448,"桜花","","「なるほどね」","",""
0,448,"道隆","","「今でも当時の場所にいったら、案外痕跡くらいは残ってる\nかもしれないな……」","「今でも当時の場所にいったら、案外痕跡くらいは残ってるかもしれないな……」","「今でも当時の場所にいったら、案外痕跡くらいは残ってるかもしれないな……」"
0,448,"汐音","","「懐かしいね。今度探しにいってみようか」","",""
0,448,"道隆","","「……暇があったらな」","",""
0,448,"","","時間も掛かるし森の中を歩くから、ある程度準備は必要だ。","",""
0,464,"桜花","","「ここが猫を預かって貰っていた神社だね」","",""
0,448,"汐音","","「そうだよー」","",""
0,448,"桜花","","「さて、あんまりついていくと今度は帰りが大変になる。\n話に聞いていた神社に来られたし、せっかくなのでお参りを\nしていくとしよう」","「さて、あんまりついていくと今度は帰りが大変になる。話に聞いていた神社に来られたし、せっかくなのでお参りをしていくとしよう」","「さて、あんまりついていくと今度は帰りが大変になる。話に聞いていた神社に来られたし、せっかくなのでお参りをしていくとしよう」"
0,448,"道隆","","「……お参り？　お前が？」","",""
0,448,"桜花","","「何かおかしいかな」","",""
0,448,"汐音","","「そうだよー。桜花さんだって神社行くくらい良いじゃない」","",""
0,448,"道隆","","「…………いや、お前がそれなら、それでいいんだが」","",""
0,448,"","","とても以前ここで幽霊を怖がってた人間の台詞と思えない。","",""
0,448,"桜花","","「大丈夫だよ。最低限の作法は学んでいる」","",""
0,448,"道隆","","「……今さらいいけど」","",""
0,448,"","","神社の石段の辺りに、見慣れた銀の『色』が見える。","",""
0,448,"","","空間に残った色はもうとっくに薄れて消えている。","",""
0,448,"","","麗奈の色が石段にあるという事は、ここでしばらく立ち\n止まっていたか、腰掛けていたのだろう。","麗奈の色が石段にあるという事は、ここでしばらく立ち止まっていたか、腰掛けていたのだろう。","麗奈の色が石段にあるという事は、ここでしばらく立ち止まっていたか、腰掛けていたのだろう。"
0,448,"道隆","","「麗奈もここに寄ってるっぽいしな。\nさすがにもう居なくなってるだろうけど」","「麗奈もここに寄ってるっぽいしな。さすがにもう居なくなってるだろうけど」","「麗奈もここに寄ってるっぽいしな。さすがにもう居なくなってるだろうけど」"
0,448,"","","桜花が苦笑する。","",""
0,448,"桜花","","「もしも境内に残っていたら、登校するように言っておくよ」","",""
0,448,"汐音","","「それじゃいってきまーす」","",""
0,448,"道隆","","「帰り気をつけろよ」","",""
0,448,"","","真面目に言ったのだが、桜花は楽しげに笑った。","",""
0,448,"桜花","","「汐音になんだかんだといっても、道隆もずいぶんと\n毒されてしまっているね。\nこちらとしては嬉しい事だ」","「汐音になんだかんだといっても、道隆もずいぶんと毒されてしまっているね。こちらとしては嬉しい事だ」","「汐音になんだかんだといっても、道隆もずいぶんと毒されてしまっているね。こちらとしては嬉しい事だ」"
0,448,"道隆","","「……う……」","",""
0,448,"","","姿を消せば一瞬で家に戻れるような幽霊に、確かに何を\n言ってるんだって話だ……。","姿を消せば一瞬で家に戻れるような幽霊に、確かに何を言ってるんだって話だ……。","姿を消せば一瞬で家に戻れるような幽霊に、確かに何を言ってるんだって話だ……。"
0,448,"道隆","","「じ、事故にでもあって、また妙な怪談話を作るんじゃない\nという注意だよっ」","「じ、事故にでもあって、また妙な怪談話を作るんじゃないという注意だよっ」","「じ、事故にでもあって、また妙な怪談話を作るんじゃないという注意だよっ」"
0,448,"桜花","","「はいはい。謹んで受け取っておくよ」","",""
0,448,"","","桜花はますます楽しそうだ。","",""
0,448,"汐音","","「タカちゃんの負けだね～」","",""
0,448,"","","汐音に笑われながら、学園に向かった。","",""
0,464,"涼子","","「先輩方、おはようございます」","",""
0,448,"道隆","","「お、涼子ちゃん。おはよう」","",""
0,448,"汐音","","「涼子ちゃんおはようー。今日も元気いっぱいだ」","",""
0,448,"涼子","","「えっと、はい！　元気ですっ」","",""
0,448,"雫","","「あら、おはよう。集まって何やっているの？」","",""
0,448,"涼子","","「おはようございますっ」","",""
0,448,"道隆","","「おはようございます」","",""
0,448,"汐音","","「先輩、おはようございます」","",""
0,448,"涼子","","「登校中にお会いしたので、ご挨拶をしていました」","",""
0,448,"雫","","「あはは、なるほどね」","",""
0,448,"美奈","","「……おはようございます」","",""
0,448,"道隆","","「ああ、おはよう」","",""
