"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","麗奈の家で倒れて３日――。","",""
0,448,"","","そのまま病院に担ぎ込まれて、意識が戻ったと思ったら\n今度は再び目が見えなくなっていた。","そのまま病院に担ぎ込まれて、意識が戻ったと思ったら今度は再び目が見えなくなっていた。","そのまま病院に担ぎ込まれて、意識が戻ったと思ったら今度は再び目が見えなくなっていた。"
0,448,"","","当然のように検査入院する事になり――今に至る。","",""
0,448,"","","貴重なゴールデンウィークを全部潰して、やっと退院する事が\nできた。","貴重なゴールデンウィークを全部潰して、やっと退院する事ができた。","貴重なゴールデンウィークを全部潰して、やっと退院する事ができた。"
0,464,"","","目を使いすぎたか、それとも脳を酷使したのか。","",""
0,448,"","","オーバーヒートのような状態になって、しばらく何も見えなく\nなってしまっていた。","オーバーヒートのような状態になって、しばらく何も見えなくなってしまっていた。","オーバーヒートのような状態になって、しばらく何も見えなくなってしまっていた。"
0,448,"","","実の所、暗闇の世界には慣れていたし、まあいいかなとも\n思っていた。","実の所、暗闇の世界には慣れていたし、まあいいかなとも思っていた。","実の所、暗闇の世界には慣れていたし、まあいいかなとも思っていた。"
0,448,"","","でも思ったよりもあっけなく解決、色も元通り見えてしまう\nのまで変わらず、退院する事が出来た。","でも思ったよりもあっけなく解決、色も元通り見えてしまうのまで変わらず、退院する事が出来た。","でも思ったよりもあっけなく解決、色も元通り見えてしまうのまで変わらず、退院する事が出来た。"
0,448,"","","……麗奈からは散々怒られて、すさまじく痛いゲンコツを\n落とされるハメになったりとか。","……麗奈からは散々怒られて、すさまじく痛いゲンコツを落とされるハメになったりとか。","……麗奈からは散々怒られて、すさまじく痛いゲンコツを落とされるハメになったりとか。"
0,448,"","","桜花にはもう二度と、過去の色まで見ないようにと誓約書を\n書かされたりとか。","桜花にはもう二度と、過去の色まで見ないようにと誓約書を書かされたりとか。","桜花にはもう二度と、過去の色まで見ないようにと誓約書を書かされたりとか。"
0,448,"","","再び暗闇の世界に戻ってしまった俺の前で、汐音が泣き続けて\nいたりとか。","再び暗闇の世界に戻ってしまった俺の前で、汐音が泣き続けていたりとか。","再び暗闇の世界に戻ってしまった俺の前で、汐音が泣き続けていたりとか。"
0,448,"","","涼子ちゃんが後押しをするような回答をしてしまってと\n謝罪し続けるとか。","涼子ちゃんが後押しをするような回答をしてしまってと謝罪し続けるとか。","涼子ちゃんが後押しをするような回答をしてしまってと謝罪し続けるとか。"
0,448,"","","身も心も置き場のない時間を味わったから、もう二度とやろう\nとは思わないが。","身も心も置き場のない時間を味わったから、もう二度とやろうとは思わないが。","身も心も置き場のない時間を味わったから、もう二度とやろうとは思わないが。"
0,448,"","","先輩や修平に美緒ちゃん。\n波多野に和泉まで見舞いに来てくれたのは嬉しかった。","先輩や修平に美緒ちゃん。波多野に和泉まで見舞いに来てくれたのは嬉しかった。","先輩や修平に美緒ちゃん。波多野に和泉まで見舞いに来てくれたのは嬉しかった。"
0,448,"","","そうして昨日退院出来て――。","",""
0,464,"","","今は麗奈の部屋でくつろいでいた。","",""
0,448,"道隆","","「……ふぅ」","",""
0,448,"","","麗奈の親父さんが部屋を出ていく。","",""
0,448,"","","謝罪と、感謝と――そして、叱られた。","",""
0,448,"","","俺のした無茶を麗奈が話したらしい。\n同時に、手紙の事も教えて貰った。","俺のした無茶を麗奈が話したらしい。同時に、手紙の事も教えて貰った。","俺のした無茶を麗奈が話したらしい。同時に、手紙の事も教えて貰った。"
0,448,"麗奈","","「……これを見つけられるくらい、周りの事に目がいったなら\n私は安心が出来ます。\nそういう出だしだったわ」","「……これを見つけられるくらい、周りの事に目がいったなら私は安心が出来ます。そういう出だしだったわ」","「……これを見つけられるくらい、周りの事に目がいったなら私は安心が出来ます。そういう出だしだったわ」"
0,448,"道隆","","「きっと誰よりも心配してたんだよな。\nだからこそ、無理をしすぎて過労で倒れてしまった……」","「きっと誰よりも心配してたんだよな。だからこそ、無理をしすぎて過労で倒れてしまった……」","「きっと誰よりも心配してたんだよな。だからこそ、無理をしすぎて過労で倒れてしまった……」"
0,448,"麗奈","","「……そうね」","",""
0,448,"","","大切な人を支えようと必死にいきて、その結果命を落とす。\nそれが幸福な事なのか、不幸なのかは分からない。","大切な人を支えようと必死にいきて、その結果命を落とす。それが幸福な事なのか、不幸なのかは分からない。","大切な人を支えようと必死にいきて、その結果命を落とす。それが幸福な事なのか、不幸なのかは分からない。"
0,448,"","","ただ、気持ちだけは痛いほどに分かった。","",""
0,448,"","","視力を失うリスクがあったとしても、俺はやろうと思った。","",""
0,448,"","","前に進むと決めたからには、引き返す選択が出来ない。","",""
0,456,"麗奈","","「ところで、その広げているの何？」","",""
0,456,"道隆","","「うわっ」","",""
0,456,"","","背後に暖かい感触があった。","",""
0,456,"麗奈","","「なにそんなに慌てて……これアルバム？」","",""
0,456,"道隆","","「ああ、昨日家に帰った後に、懐かしくて探した。\nせっかくだから見せようと思って持ってきたんだ」","「ああ、昨日家に帰った後に、懐かしくて探した。せっかくだから見せようと思って持ってきたんだ」","「ああ、昨日家に帰った後に、懐かしくて探した。せっかくだから見せようと思って持ってきたんだ」"
0,456,"麗奈","","「……道隆のアルバム、私ばかり写ってたのね」","",""
0,456,"道隆","","「お袋が女の子欲しいって何度も言ってたからなぁ。\n行事の時も麗奈ばかり写してたっけな」","「お袋が女の子欲しいって何度も言ってたからなぁ。行事の時も麗奈ばかり写してたっけな」","「お袋が女の子欲しいって何度も言ってたからなぁ。行事の時も麗奈ばかり写してたっけな」"
0,456,"","","汐音の写真も、もちろん多く残ってる。\nでも麗奈はお母さんを亡くしていて、親父さんはあまり\n来られなかった経緯がある。","汐音の写真も、もちろん多く残ってる。でも麗奈はお母さんを亡くしていて、親父さんはあまり来られなかった経緯がある。","汐音の写真も、もちろん多く残ってる。でも麗奈はお母さんを亡くしていて、親父さんはあまり来られなかった経緯がある。"
0,456,"","","半ば本気だっただろけど、お袋なりの気遣いだったんだろうと\n今では思う。","半ば本気だっただろけど、お袋なりの気遣いだったんだろうと今では思う。","半ば本気だっただろけど、お袋なりの気遣いだったんだろうと今では思う。"
0,456,"麗奈","","「………………もう、馬鹿」","",""
0,456,"道隆","","「いてっ」","",""
0,456,"","","麗奈は俺の背に抱きついたまま、何も喋らない。","",""
0,456,"","","ただ少しだけ抱きしめる手に力が籠った。","",""
0,456,"","","……将来、うちの娘にならない？","",""
0,456,"","","子供の頃に、お袋が言った言葉だ。","",""
0,456,"","","あの時はただの冗談だったが、俺たちの関係はそんな言葉に\n現実味を覚えてしまくらい進展していた。","あの時はただの冗談だったが、俺たちの関係はそんな言葉に現実味を覚えてしまくらい進展していた。","あの時はただの冗談だったが、俺たちの関係はそんな言葉に現実味を覚えてしまくらい進展していた。"
0,456,"","","……意識すると、俺も恥ずかしくなる。","",""
0,456,"","","でも、それなら……。","",""
0,456,"","","この麗奈で埋まってるアルバムの先にも、やはり麗奈が写って\nいくのだろう。","この麗奈で埋まってるアルバムの先にも、やはり麗奈が写っていくのだろう。","この麗奈で埋まってるアルバムの先にも、やはり麗奈が写っていくのだろう。"
0,456,"","","この先は、何もない白紙だ。","",""
0,456,"","","でもだからこそ、どんな鮮やかな『色』で染まって行くのか。","",""
0,456,"","","俺も楽しみだった。","",""
