"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","とはいえ消化不良の気持ちを抱えている事に変わりない。\n桜花荘に帰りつくまで、胸の奥がどこか重かった。","とはいえ消化不良の気持ちを抱えている事に変わりない。桜花荘に帰りつくまで、胸の奥がどこか重かった。","とはいえ消化不良の気持ちを抱えている事に変わりない。桜花荘に帰りつくまで、胸の奥がどこか重かった。"
0,464,"桜花","","「なんだか重い顔をしているね。学園の事で何かあったかな」","",""
0,448,"道隆","","「……いや、それはもういいんだ。\nひとまずはだけど」","「……いや、それはもういいんだ。ひとまずはだけど」","「……いや、それはもういいんだ。ひとまずはだけど」"
0,448,"","","桜花に事情を話す。\n色々と手を貸してくれたから、何か言ってくるかと思ったが\n結局何も言ってこなかった。","桜花に事情を話す。色々と手を貸してくれたから、何か言ってくるかと思ったが結局何も言ってこなかった。","桜花に事情を話す。色々と手を貸してくれたから、何か言ってくるかと思ったが結局何も言ってこなかった。"
0,448,"桜花","","「あくまで道隆の手伝いだからね。そう決めたのなら、こちら\nから言う事は何もないよ」","「あくまで道隆の手伝いだからね。そう決めたのなら、こちらから言う事は何もないよ」","「あくまで道隆の手伝いだからね。そう決めたのなら、こちらから言う事は何もないよ」"
0,448,"道隆","","「……そっか」","",""
0,448,"","","本心なのか気を使ってくれているのか、判断に迷う。","",""
0,448,"","","……が、どちらであったとしても桜花には感謝をしている。","",""
0,448,"","","出会ってからなんだかんだと、手を貸して貰っている。\n最初こそ騙された物の、それ以後はずっと変わらない。","出会ってからなんだかんだと、手を貸して貰っている。最初こそ騙された物の、それ以後はずっと変わらない。","出会ってからなんだかんだと、手を貸して貰っている。最初こそ騙された物の、それ以後はずっと変わらない。"
0,448,"桜花","","「ところでずっと待っている間にお腹が空いてしまったよ。\n道隆も何か食べるだろう？」","「ところでずっと待っている間にお腹が空いてしまったよ。道隆も何か食べるだろう？」","「ところでずっと待っている間にお腹が空いてしまったよ。道隆も何か食べるだろう？」"
0,448,"道隆","","「ああ……そうだな……」","",""
0,448,"","","なんだか胸の奥の重さは変わらず、今から飯を作る気もしない。","",""
0,448,"","","桜花がいるとはいえ望んだ一人暮らしなんだから、待ってた所\nで飯は出てこない。","桜花がいるとはいえ望んだ一人暮らしなんだから、待ってた所で飯は出てこない。","桜花がいるとはいえ望んだ一人暮らしなんだから、待ってた所で飯は出てこない。"
0,448,"","","そこで一つひらめいた。","",""
0,448,"道隆","","「飯でも食いに行くか。\n今回も桜花にはなんだかんだと世話になってるから、パフェ\nくらいは奢るよ」","「飯でも食いに行くか。今回も桜花にはなんだかんだと世話になってるから、パフェくらいは奢るよ」","「飯でも食いに行くか。今回も桜花にはなんだかんだと世話になってるから、パフェくらいは奢るよ」"
0,448,"桜花","","「いいのかい？」","",""
0,448,"道隆","","「……そう言いつつも、食いたそうな顔をしているぞ」","",""
0,448,"桜花","","「おや？」","",""
0,448,"","","言いながら、自分の頬を触ったり引っ張ったりしている。","",""
0,448,"桜花","","「どうやら自分でも思っていた以上に楽しみなようだ。\n直ぐに支度するよ。待っていてくれ」","「どうやら自分でも思っていた以上に楽しみなようだ。直ぐに支度するよ。待っていてくれ」","「どうやら自分でも思っていた以上に楽しみなようだ。直ぐに支度するよ。待っていてくれ」"
0,448,"","","そう言いながら袴の帯を緩める。","",""
0,448,"道隆","","「だからここで脱ぐんじゃねぇよ！　着替えは別の部屋でやれ」","",""
0,448,"桜花","","「急いで着替えをした方が良いと思ったんだけれどね……」","",""
0,448,"","","ぶつぶつ言いながら部屋を出ていく。\nあいつ、次行くのをあんなに楽しみにしてたのか……。","ぶつぶつ言いながら部屋を出ていく。あいつ、次行くのをあんなに楽しみにしてたのか……。","ぶつぶつ言いながら部屋を出ていく。あいつ、次行くのをあんなに楽しみにしてたのか……。"
0,464,"","","私服に着替えた桜花と外に出た。","",""
0,448,"汐音","","「あ！　これからお出かけ？」","",""
0,448,"道隆","","「ああ、ファミレスまで晩飯食いに行こうと思ってな。\n汐音は？」","「ああ、ファミレスまで晩飯食いに行こうと思ってな。汐音は？」","「ああ、ファミレスまで晩飯食いに行こうと思ってな。汐音は？」"
0,448,"汐音","","「今日はお姉ちゃんも遅いから、わたしも何かご飯食べようと\n思って……」","「今日はお姉ちゃんも遅いから、わたしも何かご飯食べようと思って……」","「今日はお姉ちゃんも遅いから、わたしも何かご飯食べようと思って……」"
0,448,"道隆","","「じゃあ一緒に行くか？」","",""
0,448,"汐音","","「うう～～ん、どうしようっかな」","",""
0,448,"","","汐音は財布の中を見ている。","",""
0,448,"汐音","","「コンビニとかスーパーいっても結局色々と買っちゃってお金\n掛かるし……それならご飯だけ食べた方が……」","「コンビニとかスーパーいっても結局色々と買っちゃってお金掛かるし……それならご飯だけ食べた方が……」","「コンビニとかスーパーいっても結局色々と買っちゃってお金掛かるし……それならご飯だけ食べた方が……」"
0,448,"","","なんかぶつぶつ言っているし。","",""
0,448,"汐音","","「うん、行く！」","",""
0,448,"道隆","","「あ、ああ」","",""
0,448,"","","なんか切実な現状を見てしまったが、俺もあまり人の事は\n言えないのだった。","なんか切実な現状を見てしまったが、俺もあまり人の事は言えないのだった。","なんか切実な現状を見てしまったが、俺もあまり人の事は言えないのだった。"
0,464,"","","いつも来る昼間とは違い、夜はそれなりに混んでいる。","",""
0,448,"","","しばらく入り口で待った後に、涼子ちゃんが席まで案内を\nしてくれた。","しばらく入り口で待った後に、涼子ちゃんが席まで案内をしてくれた。","しばらく入り口で待った後に、涼子ちゃんが席まで案内をしてくれた。"
0,448,"和泉","","「いらっしゃい。夜来るのは珍しいわね」","",""
0,448,"道隆","","「ああ、そっちは放課後そのままバイト？」","",""
0,448,"和泉","","「そうよー、これから夜の９時まで。\n５時からの４時間ね」","「そうよー、これから夜の９時まで。５時からの４時間ね」","「そうよー、これから夜の９時まで。５時からの４時間ね」"
0,448,"汐音","","「へ～～、そういう時間割り振りになってたんだ」","",""
0,448,"和泉","","「あれ？　言わなかったっけ」","",""
0,448,"汐音","","「夜はあんまり来ないからね」","",""
0,448,"和泉","","「それもそっか。で、注文何にする？」","",""
0,448,"道隆","","「ええっと……」","",""
0,448,"","","メニューを見ていく。\n昼のランチタイムとメニューが違うので、何にしようか考えて\nしまう。","メニューを見ていく。昼のランチタイムとメニューが違うので、何にしようか考えてしまう。","メニューを見ていく。昼のランチタイムとメニューが違うので、何にしようか考えてしまう。"
0,448,"和泉","","「ねえねえ、こっちの子たまに一緒にいるの見かけるけど\n知り合い？」","「ねえねえ、こっちの子たまに一緒にいるの見かけるけど知り合い？」","「ねえねえ、こっちの子たまに一緒にいるの見かけるけど知り合い？」"
0,448,"汐音","","「そうだよ、桜花さんっていってうちの隣に住んでるの」","",""
0,448,"和泉","","「桜花荘に住む桜花さん？」","",""
0,448,"汐音","","「うん」","",""
0,448,"桜花","","「よろしく頼むよ」","",""
0,448,"和泉","","「あ、うん、よろしく」","",""
0,448,"","","目立つ外見の美少女からぶっきらぼうに差し出された手を\n和泉はぎこちなく握っている。","目立つ外見の美少女からぶっきらぼうに差し出された手を和泉はぎこちなく握っている。","目立つ外見の美少女からぶっきらぼうに差し出された手を和泉はぎこちなく握っている。"
0,448,"","","そんな光景を横目に見ながらも、俺はメニューを前に悩んで\nいた。","そんな光景を横目に見ながらも、俺はメニューを前に悩んでいた。","そんな光景を横目に見ながらも、俺はメニューを前に悩んでいた。"
0,448,"道隆","","「……うぐぐ」","",""
0,448,"汐音","","「わたしは何にしようかなぁ」","",""
0,448,"桜花","","「お勧めはあるかい？」","",""
0,448,"和泉","","「ええっと……今日だと春の限定メニューかなぁ。\n嫌いな物はあります？」","「ええっと……今日だと春の限定メニューかなぁ。嫌いな物はあります？」","「ええっと……今日だと春の限定メニューかなぁ。嫌いな物はあります？」"
0,448,"桜花","","「今のところは無いつもりだよ」","",""
0,448,"和泉","","「じゃあ、こちらの春野菜の季節パスタとイチゴのタルトの\nセットはいかがでしょう？」","「じゃあ、こちらの春野菜の季節パスタとイチゴのタルトのセットはいかがでしょう？」","「じゃあ、こちらの春野菜の季節パスタとイチゴのタルトのセットはいかがでしょう？」"
0,448,"桜花","","「美味しそうだね。これを頂くよ」","",""
0,448,"和泉","","「はい、かしこまりました。汐音は？」","",""
0,448,"汐音","","「じゃあ……この和風ハンバーグを」","",""
0,448,"和泉","","「セットはどうする？」","",""
0,448,"汐音","","「ライスとサラダで」","",""
0,448,"和泉","","「はいはいっと、あんたは？」","",""
0,448,"道隆","","「……汐音と同じのを」","",""
0,448,"和泉","","「二つっと。セットはドリンクバーつけられるけどどうする？」","",""
0,448,"道隆","","「お願いする」","",""
0,448,"和泉","","「ドリンクバー３つっと。\nかしこまりましたー、少々お待ち下さい」","「ドリンクバー３つっと。かしこまりましたー、少々お待ち下さい」","「ドリンクバー３つっと。かしこまりましたー、少々お待ち下さい」"
0,448,"","","最後だけお仕事モードで挨拶すると、和泉はオーダーを通しに\nカウンターに向かった。","最後だけお仕事モードで挨拶すると、和泉はオーダーを通しにカウンターに向かった。","最後だけお仕事モードで挨拶すると、和泉はオーダーを通しにカウンターに向かった。"
0,448,"桜花","","「ああいう仕事も大変そうだね」","",""
0,448,"道隆","","「そうだな……」","",""
0,448,"汐音","","「アルバイトかぁ」","",""
0,448,"","","汐音ががっくりと肩を落とす。","",""
0,448,"道隆","","「どうしたんだよ」","",""
0,448,"汐音","","「実はアルバイトをやろうかなぁって思ってたんだ」","",""
0,448,"道隆","","「……初耳だ」","",""
0,448,"汐音","","「はじめて言ったもん。自分のお小遣いも欲しいし、いい経験\nになるかなって思って」","「はじめて言ったもん。自分のお小遣いも欲しいし、いい経験になるかなって思って」","「はじめて言ったもん。自分のお小遣いも欲しいし、いい経験になるかなって思って」"
0,448,"桜花","","「その様子では出来ないようだね」","",""
0,448,"汐音","","「うん……うちって今、お父さんもお母さんも働いてるし\nお姉ちゃんも仕事いってるから、家に誰もいない時って多い\nでしょ？」","「うん……うちって今、お父さんもお母さんも働いてるしお姉ちゃんも仕事いってるから、家に誰もいない時って多いでしょ？」","「うん……うちって今、お父さんもお母さんも働いてるしお姉ちゃんも仕事いってるから、家に誰もいない時って多いでしょ？」"
0,448,"汐音","","「だから家に誰もいなくなっちゃうから、困るんだって。\n桜花荘の様子も見なくちゃいけないし……」","「だから家に誰もいなくなっちゃうから、困るんだって。桜花荘の様子も見なくちゃいけないし……」","「だから家に誰もいなくなっちゃうから、困るんだって。桜花荘の様子も見なくちゃいけないし……」"
0,448,"道隆","","「うっ！　……なんか、悪いな、俺のせいで」","",""
0,448,"汐音","","「謝る事じゃないよ。今はタカちゃんしかいないけど、もしか\nしたら、そのうち人増えるかもしれないしね。\n桜花さんだっているもん」","「謝る事じゃないよ。今はタカちゃんしかいないけど、もしかしたら、そのうち人増えるかもしれないしね。桜花さんだっているもん」","「謝る事じゃないよ。今はタカちゃんしかいないけど、もしかしたら、そのうち人増えるかもしれないしね。桜花さんだっているもん」"
0,448,"桜花","","「なるほどね。大家である以上、連絡がつかない状況には\n出来ないという訳だね」","「なるほどね。大家である以上、連絡がつかない状況には出来ないという訳だね」","「なるほどね。大家である以上、連絡がつかない状況には出来ないという訳だね」"
0,448,"汐音","","「うん」","",""
0,448,"道隆","","「……バイトかぁ」","",""
