"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","昼食が終わった頃、食器を片づけて部屋に戻ると、桜花が\n聞いてきた。","昼食が終わった頃、食器を片づけて部屋に戻ると、桜花が聞いてきた。","昼食が終わった頃、食器を片づけて部屋に戻ると、桜花が聞いてきた。"
0,448,"桜花","","「先ほどの話だと暗闇を怖がる理由は出てなかったよね。\n何かあったのかい？」","「先ほどの話だと暗闇を怖がる理由は出てなかったよね。何かあったのかい？」","「先ほどの話だと暗闇を怖がる理由は出てなかったよね。何かあったのかい？」"
0,448,"道隆","","「いや……一応汐音が言った通りだ。\n俺の当時の世界……真っ暗な所を知りたいと思って真似する\nあまり、暗闇が苦手になっていったって本人は言ってる」","「いや……一応汐音が言った通りだ。俺の当時の世界……真っ暗な所を知りたいと思って真似するあまり、暗闇が苦手になっていったって本人は言ってる」","「いや……一応汐音が言った通りだ。俺の当時の世界……真っ暗な所を知りたいと思って真似するあまり、暗闇が苦手になっていったって本人は言ってる」"
0,448,"桜花","","「……ふむ」","",""
0,448,"道隆","","「でも、明確な切っ掛けはあったと思う。\n同じように汐音と公園で歩く練習している時があったんだ」","「でも、明確な切っ掛けはあったと思う。同じように汐音と公園で歩く練習している時があったんだ」","「でも、明確な切っ掛けはあったと思う。同じように汐音と公園で歩く練習している時があったんだ」"
0,448,"道隆","","「練習は公園で場所を変えてやってたんだよ。\n障害物あった方が街中歩く練習にもなるしな」","「練習は公園で場所を変えてやってたんだよ。障害物あった方が街中歩く練習にもなるしな」","「練習は公園で場所を変えてやってたんだよ。障害物あった方が街中歩く練習にもなるしな」"
0,448,"桜花","","「そうだろうね。木をよけながらでも方角を間違えないなら\nかなり安定しているだろうし」","「そうだろうね。木をよけながらでも方角を間違えないならかなり安定しているだろうし」","「そうだろうね。木をよけながらでも方角を間違えないならかなり安定しているだろうし」"
0,448,"道隆","","「そんな時に、汐音の方が居場所が分からなくなった。\n森の中でやっていて、ほんの数分の事だったんだけど、汐音に\n話しかけても返事がこない」","「そんな時に、汐音の方が居場所が分からなくなった。森の中でやっていて、ほんの数分の事だったんだけど、汐音に話しかけても返事がこない」","「そんな時に、汐音の方が居場所が分からなくなった。森の中でやっていて、ほんの数分の事だったんだけど、汐音に話しかけても返事がこない」"
0,448,"道隆","","「当時は色も見えない……というか目も見えないんだから\n当たり前といえばそうなんだけど、探す手段がなかった」","「当時は色も見えない……というか目も見えないんだから当たり前といえばそうなんだけど、探す手段がなかった」","「当時は色も見えない……というか目も見えないんだから当たり前といえばそうなんだけど、探す手段がなかった」"
0,448,"桜花","","「何か事件に巻き込まれた？」","",""
